C_kind,mean,median,std,count
C9,0.10299410637055534,0.1101839705660077,0.051724637340881466,337
C7,0.09759073367202653,0.10829707078993556,0.06620514966045474,340
C11,0.10016584791411545,0.10729883888749647,0.0724050134771596,327
C10,0.09909968005753325,0.10622211643472856,0.0581898134901404,331
C4,0.09701092271839161,0.10605525330182353,0.07345653594710752,329
C2,0.09544161378899413,0.10467987424150982,0.058792389480891126,339
C3,0.09326261314833996,0.10268938656050097,0.061286923908208,337
C8,0.08638579518670463,0.10048123861654124,0.06377461636912538,337
C14,0.09367845612108948,0.09972144211083966,0.05818173991095627,337
C1,0.08598535133049404,0.09843830565291001,0.05865562232015369,340
C12,0.08343879638334041,0.09053410730250688,0.05809190941966891,338
C5,0.07616771111326728,0.08489639884438882,0.059620511866843695,340
C6,0.07605274711108434,0.08237600085552188,0.05936937970469117,340
C13,0.07410348489422952,0.07996373612873742,0.05741321125390835,338
None,0.06894976851731524,0.07913534804729194,0.04676539032720525,340
C20,0.06508565933179988,0.07612170445433086,0.05623620297630316,340
C19,0.06271206899849975,0.07504520807697801,0.06586298682396823,340
C15,0.0604691337521461,0.0732267700734972,0.05765175723760967,340
C16,0.054581738824508334,0.06776751953241955,0.061636064488999165,340
C17,0.030388383849733372,0.040654533866587794,0.0649601159030948,339
C18,0.030642249957143215,0.02635636817046949,0.06055180952210468,334
