,min,p25,median,p75,max,mean,std
CAGR,-0.1952894533531302,0.04111119314453249,0.08706130826044944,0.11996925395753544,0.3392709352681387,0.07773760118146628,0.0641489636784358
max_drawdown,-0.9900686349594735,-0.6952739697327752,-0.6122304987958134,-0.5332304654857152,-0.11834240731133117,-0.6177276573548836,0.13197305684679256
daily_sharpe,8.83,18.86,23.83,34.495000000000005,810.79,31.706559367499647,29.584573073069905
win_ratio,0.0,0.4253689465132251,0.4601113172541744,0.4907112500369775,1.0,0.45202200196838227,0.06728854227041584
