C_kind,mean,median,std,count
C9,0.10257015241552973,0.11219271526557684,0.05960795875568923,336
C7,0.09872730813377796,0.1114413741851249,0.07011227440259303,340
C2,0.0962982316389247,0.10412289712042977,0.0644168227294226,339
C11,0.09663433927500725,0.10246964945681192,0.07916980857810907,324
C8,0.08644786633313119,0.10099445812743646,0.07031343497487205,337
C1,0.0872822473197555,0.10062086643175405,0.0650124562027758,340
C10,0.09353052908410198,0.09994306825297383,0.06756012713344593,331
C14,0.09413157873332269,0.09882946746568044,0.06439498267656715,337
C4,0.09538803831894974,0.09538802754650488,0.08037427434110869,326
C3,0.0890213240911335,0.09391699219662408,0.0686414210762298,334
C12,0.08351210973440781,0.09072207693109646,0.06346807576368721,338
C5,0.07770334387480335,0.08678451328382963,0.06623689540578874,340
C6,0.07886862622258882,0.0832412192310279,0.06633700360637158,340
None,0.07210067235266872,0.08141567501399605,0.056550697560814135,340
C13,0.07645893752477718,0.07994793316967141,0.06156572257136155,338
C20,0.06762185818632517,0.07547769436878149,0.06324334273043707,340
C19,0.06488354516879584,0.07308565729964367,0.07514715490705406,340
C15,0.0604769651488554,0.0673154540838341,0.06568389771812243,340
C16,0.05715495031528562,0.06621002548498123,0.07051893725168636,340
C17,0.03011227273847957,0.03341642181904636,0.06867695226522147,338
C18,0.03108912179739276,0.023724023822638385,0.0672035194734575,331
