F1_factor,mean,median,std,count
FCF_P,0.11700945754822045,0.12126942739707458,0.04882071518999371,210
EV_EBITDA,0.10324364539446984,0.10785550534029953,0.060571017838311994,210
ROE,0.0941759773874935,0.10462901991487494,0.058594441119588656,210
EPS,0.09526987932436064,0.10348560357464087,0.056855751631371326,210
