C_kind,mean,median,std,count
C7,0.09300659673890606,0.10645263135855454,0.06874431992322468,339
C9,0.09720804860784907,0.10529007737014728,0.05469162484765874,336
C11,0.09589264084795805,0.10326002907173937,0.07508899421429349,328
C4,0.09271504681762241,0.10232712150233703,0.07527054228369698,326
C10,0.09203998250216361,0.10134087234925993,0.06357855248579772,332
C2,0.09038017375920847,0.10020442167019139,0.06123239763342929,338
C14,0.08898861096011897,0.0979613386880267,0.06099062385149381,336
C8,0.0820429031694753,0.09688373458913213,0.06751551154278683,336
C1,0.08008206576168897,0.09428813327923469,0.06178105122700345,339
C3,0.08623639697060868,0.09363914943754992,0.06429197411763411,337
C12,0.07912598388546874,0.08708377899962216,0.062170554669966925,337
C13,0.07080963576521287,0.0794315600407074,0.060751692109445164,337
C5,0.07110073174325492,0.07823413788931877,0.06382610894838821,339
C6,0.07307033106516611,0.07774235698024556,0.062348850767117374,339
None,0.06618842741692105,0.07602299923340206,0.050116195160155655,340
C20,0.06473063156287792,0.07521346244199978,0.058012033538056146,338
C19,0.06025574716611666,0.07372226663862413,0.07202924379755807,338
C15,0.05625146086062961,0.06631161813708997,0.061896404631613666,336
C16,0.050621142202684044,0.0642307471752166,0.06722785143262708,337
C17,0.025826285715794258,0.02549300400022525,0.0661606233084077,338
C18,0.026845595217435573,0.016418291851730604,0.06130281357744968,331
