F1,mean,median,std,count
ROE_>=20,0.11462870219209652,0.09534729581867607,0.10131092360913309,180
FCF_P_0_0.05,0.1139433067043622,0.12034590921334376,0.06512932669963602,216
EPS_0_2,0.11194306585665978,0.11978394717485674,0.07211672205799123,216
DEBTRATIO_>=0.55,0.10421096110649464,0.10280915524285217,0.10861637020755771,216
ROE_5_10,0.09935966649014802,0.11082384293611547,0.0761024208085533,176
DEBTRATIO_0.35_0.55,0.09659466472857257,0.09841525238029492,0.05906002287943303,216
ROE_<5,0.08809974900424496,0.09089901875817963,0.0677735426575187,180
EPS_<0,0.08507939088473422,0.05088449366916126,0.10907615782859918,190
DEBTRATIO_0_0.35,0.08366781675581929,0.07320932408118463,0.07912389888151007,216
FCF_P_>=0.05,0.082346110113391,0.06800729826446772,0.08036649288656031,216
EPS_>=2,0.06968356324237826,0.06891641013064942,0.060092080792278346,216
FCF_P_<0,0.06680867313205661,0.04607696702557884,0.10504178098486411,214
ROE_10_15,0.06476786806367252,0.0560147873908492,0.06644488128234635,168
ROE_15_20,0.06413970506028387,0.04765461079843847,0.08933855539540106,168
