strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio,ytd
FCF_P_>=0.05__None__C6_EPS_QOQ_yoy__v1,FCF_P_>=0.05,None,C6_EPS_QOQ_yoy,v1,0.0679231292734368,72.17,-0.2014148816302983,0.6923076923076923,0.0
DEBTRATIO_0.35_0.55__FCF_P_0_0.05__C6_EPS_QOQ_yoy__v1,DEBTRATIO_0.35_0.55,FCF_P_0_0.05,C6_EPS_QOQ_yoy,v1,0.06776909089948546,60.52,-0.5827013020546772,0.6137931034482759,0.013327267545325094
ROE_10_15__DEBTRATIO_>=0.55__C4_REVENUE_GROWTH_qmax5__v1,ROE_10_15,DEBTRATIO_>=0.55,C4_REVENUE_GROWTH_qmax5,v1,0.06709136865638277,83.41,-0.47713806097970324,0.6410256410256411,0.02774293581650511
ROE_<5__FCF_P_>=0.05__C2_ROE_SEQ_riseq1__v1,ROE_<5,FCF_P_>=0.05,C2_ROE_SEQ_riseq1,v1,0.06683340334994248,173.95,-0.08022388059701513,1.0,0.0
ROE_>=20__EPS_0_2__C2_ROE_SEQ_riseq1__v0,ROE_>=20,EPS_0_2,C2_ROE_SEQ_riseq1,v0,0.0665805744122665,92.2,-0.1866024835247141,0.625,0.0
EPS_>=2__DEBTRATIO_0_0.35__C8_FCF_MOM_riseq2__v1,EPS_>=2,DEBTRATIO_0_0.35,C8_FCF_MOM_riseq2,v1,0.06655047819445548,82.0,-0.22755137557203653,0.6101694915254238,-0.1351780324143359
DEBTRATIO_0.35_0.55__None__C2_ROE_SEQ_riseq1__v1,DEBTRATIO_0.35_0.55,None,C2_ROE_SEQ_riseq1,v1,0.06625517739004017,75.1,-0.31630465131520746,0.6170212765957447,-0.03247813024793156
DEBTRATIO_>=0.55__ROE_5_10__C3_ROE_SEQ_yoy__v1,DEBTRATIO_>=0.55,ROE_5_10,C3_ROE_SEQ_yoy,v1,0.06586386687245205,110.22,-0.4072652482991467,0.6666666666666666,0.0
EPS_0_2__ROE_10_15__C6_EPS_QOQ_yoy__v1,EPS_0_2,ROE_10_15,C6_EPS_QOQ_yoy,v1,0.06568405448902603,80.02,-0.21255888909971854,0.6363636363636364,-0.04940073370098763
EPS_>=2__ROE_10_15__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,EPS_>=2,ROE_10_15,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.06548397035587783,128.42,-0.3497654478897172,0.5475285171102662,0.19314417997825095
FCF_P_0_0.05__EPS_>=2__C8_FCF_MOM_riseq2__v1,FCF_P_0_0.05,EPS_>=2,C8_FCF_MOM_riseq2,v1,0.0654163358925608,92.13,-0.2043102267913779,0.5568181818181818,-0.03393671211276872
EPS_>=2__ROE_<5__C2_ROE_SEQ_riseq1__v0,EPS_>=2,ROE_<5,C2_ROE_SEQ_riseq1,v0,0.06518068432752067,88.57,-0.3819187817292923,0.6567164179104478,-0.009942952256576487
EPS_>=2__ROE_>=20__C2_ROE_SEQ_riseq1__v1,EPS_>=2,ROE_>=20,C2_ROE_SEQ_riseq1,v1,0.0650041002939521,263.34,-0.11638549544308696,0.8333333333333334,0.26000072489365
EPS_<0__DEBTRATIO_0_0.35__C8_FCF_MOM_riseq2__v0,EPS_<0,DEBTRATIO_0_0.35,C8_FCF_MOM_riseq2,v0,0.06493715260011923,55.55,-0.2902833600238469,0.5,-0.05188324354206775
EPS_0_2__ROE_>=20__C2_ROE_SEQ_riseq1__v1,EPS_0_2,ROE_>=20,C2_ROE_SEQ_riseq1,v1,0.06486640611539674,161.43,-0.08425318031044016,0.6,0.0
EPS_0_2__FCF_P_<0__C2_ROE_SEQ_riseq1__v0,EPS_0_2,FCF_P_<0,C2_ROE_SEQ_riseq1,v0,0.06456070495757205,76.32,-0.48167034505718154,0.5977011494252874,0.1101257921440646
FCF_P_0_0.05__ROE_<5__C6_EPS_QOQ_yoy__v0,FCF_P_0_0.05,ROE_<5,C6_EPS_QOQ_yoy,v0,0.06434998430410732,83.82,-0.40840634287603894,0.597478176527643,-0.0232266119807788
DEBTRATIO_0_0.35__FCF_P_0_0.05__C3_ROE_SEQ_yoy__v0,DEBTRATIO_0_0.35,FCF_P_0_0.05,C3_ROE_SEQ_yoy,v0,0.06433930747012018,69.42,-0.372604974299223,0.5685785536159601,-0.06860675988933329
DEBTRATIO_>=0.55__ROE_10_15__None__v1,DEBTRATIO_>=0.55,ROE_10_15,None,v1,0.06406634982527781,82.19,-0.4900545442079147,0.631578947368421,0.027742935816504666
ROE_15_20__None__C6_EPS_QOQ_yoy__v1,ROE_15_20,None,C6_EPS_QOQ_yoy,v1,0.06403654757239985,66.05,-0.24933629981589944,0.6363636363636364,-0.08661822634866723
ROE_>=20__FCF_P_0_0.05__C3_ROE_SEQ_yoy__v0,ROE_>=20,FCF_P_0_0.05,C3_ROE_SEQ_yoy,v0,0.06402460759857398,74.75,-0.5538780285638172,0.580110497237569,0.09124263258807086
ROE_>=20__DEBTRATIO_>=0.55__C8_FCF_MOM_riseq2__v0,ROE_>=20,DEBTRATIO_>=0.55,C8_FCF_MOM_riseq2,v0,0.06400866631236579,80.61,-0.164390766298121,0.72,-0.12516335504410825
DEBTRATIO_0_0.35__FCF_P_>=0.05__C3_ROE_SEQ_yoy__v0,DEBTRATIO_0_0.35,FCF_P_>=0.05,C3_ROE_SEQ_yoy,v0,0.06398345449429454,109.65,-0.4152883261016652,0.5957446808510638,0.088653589162766
