strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio,ytd
FCF_P_<0__DEBTRATIO_>=0.55__C1_ROE_SEQ_qmax4__v1,FCF_P_<0,DEBTRATIO_>=0.55,C1_ROE_SEQ_qmax4,v1,0.4349350294727652,19.84,-0.4641183644976088,0.654320987654321,0.4275763324429618
DEBTRATIO_>=0.55__FCF_P_<0__None__v1,DEBTRATIO_>=0.55,FCF_P_<0,None,v1,0.42490259303056166,19.08,-0.4725298513764722,0.6962025316455697,0.29667450817629826
DEBTRATIO_>=0.55__FCF_P_<0__C4_REVENUE_GROWTH_qmax5__v1,DEBTRATIO_>=0.55,FCF_P_<0,C4_REVENUE_GROWTH_qmax5,v1,0.36202789787668976,21.24,-0.6885136474953101,0.6708860759493671,0.33517453629254046
FCF_P_<0__EPS_<0__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,FCF_P_<0,EPS_<0,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.3529784564967906,18.96,-0.416706305756536,0.5703703703703704,0.4695794011527099
FCF_P_0_0.05__ROE_>=20__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,FCF_P_0_0.05,ROE_>=20,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.34804256519858656,23.8,-0.33758812371188374,0.5859872611464968,0.6653431114208517
DEBTRATIO_>=0.55__ROE_15_20__C1_ROE_SEQ_qmax4__v0,DEBTRATIO_>=0.55,ROE_15_20,C1_ROE_SEQ_qmax4,v0,0.3455097232049904,19.52,-0.33232278523421666,0.8125,-0.06450072004357243
ROE_>=20__None__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,ROE_>=20,None,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.33650314912609525,26.01,-0.35460159238438427,0.6,0.6721103233603811
DEBTRATIO_>=0.55__ROE_15_20__None__v0,DEBTRATIO_>=0.55,ROE_15_20,None,v0,0.3337598229874965,21.11,-0.31029731635632796,0.8085106382978723,-0.05206465609947453
DEBTRATIO_>=0.55__ROE_15_20__C4_REVENUE_GROWTH_qmax5__v0,DEBTRATIO_>=0.55,ROE_15_20,C4_REVENUE_GROWTH_qmax5,v0,0.33166651765422017,20.0,-0.3323227852342169,0.7959183673469388,-0.11951723568029915
FCF_P_>=0.05__DEBTRATIO_0.35_0.55__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,FCF_P_>=0.05,DEBTRATIO_0.35_0.55,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.32823386259482557,36.97,-0.20771299615465322,0.65625,0.6742589227494198
EPS_<0__FCF_P_<0__C4_REVENUE_GROWTH_qmax5__v0,EPS_<0,FCF_P_<0,C4_REVENUE_GROWTH_qmax5,v0,0.32653521674595787,20.89,-0.47360681113720426,0.6054794520547945,1.3372735934054116
EPS_<0__FCF_P_<0__None__v0,EPS_<0,FCF_P_<0,None,v0,0.3231420198165351,20.6,-0.4367703945918777,0.6267806267806267,1.2679740625574483
FCF_P_<0__EPS_<0__C1_ROE_SEQ_qmax4__v0,FCF_P_<0,EPS_<0,C1_ROE_SEQ_qmax4,v0,0.32270117008249466,20.75,-0.539182382865319,0.6200527704485488,1.337273593404499
EPS_<0__DEBTRATIO_>=0.55__C1_ROE_SEQ_qmax4__v0,EPS_<0,DEBTRATIO_>=0.55,C1_ROE_SEQ_qmax4,v0,0.31565210223722495,19.61,-0.5004653854290655,0.6230769230769231,-0.19863558502411194
ROE_>=20__EPS_0_2__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,ROE_>=20,EPS_0_2,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.3142502537038565,28.15,-0.37670268558584385,0.6547619047619048,0.48446919581120484
ROE_>=20__None__C4_REVENUE_GROWTH_qmax5__v1,ROE_>=20,None,C4_REVENUE_GROWTH_qmax5,v1,0.3122238983896146,23.03,-0.38206652986407796,0.5680933852140078,0.6750750346668479
ROE_>=20__None__None__v1,ROE_>=20,None,None,v1,0.31208223387438716,22.8,-0.41234325399378735,0.5965665236051502,0.6750750346668486
ROE_>=20__None__C1_ROE_SEQ_qmax4__v1,ROE_>=20,None,C1_ROE_SEQ_qmax4,v1,0.31206426136400234,23.42,-0.41234325549669726,0.5868725868725869,0.7793229961650288
ROE_>=20__FCF_P_<0__C4_REVENUE_GROWTH_qmax5__v0,ROE_>=20,FCF_P_<0,C4_REVENUE_GROWTH_qmax5,v0,0.31017869582011004,17.88,-0.3826679677018815,0.6052631578947368,-0.2407795290453174
DEBTRATIO_>=0.55__ROE_15_20__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,DEBTRATIO_>=0.55,ROE_15_20,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.30535095010813884,23.24,-0.36055234436307515,0.6944444444444444,0.021899661744982035
DEBTRATIO_0.35_0.55__ROE_>=20__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,DEBTRATIO_0.35_0.55,ROE_>=20,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.29020951690748586,35.71,-0.3386762265184001,0.6235294117647059,0.6691823056631101
ROE_>=20__FCF_P_0_0.05__C4_REVENUE_GROWTH_qmax5__v1,ROE_>=20,FCF_P_0_0.05,C4_REVENUE_GROWTH_qmax5,v1,0.2899591048312009,24.81,-0.37035481343999366,0.5442477876106194,0.6313048791346363
ROE_>=20__FCF_P_0_0.05__C1_ROE_SEQ_qmax4__v1,ROE_>=20,FCF_P_0_0.05,C1_ROE_SEQ_qmax4,v1,0.28805831339634747,25.48,-0.40194811978715783,0.5614035087719298,0.732758463838856
FCF_P_<0__DEBTRATIO_>=0.55__C1_ROE_SEQ_qmax4__v0,FCF_P_<0,DEBTRATIO_>=0.55,C1_ROE_SEQ_qmax4,v0,0.2876782469743706,29.16,-0.4512380270400478,0.6848484848484848,0.28543058324320425
FCF_P_0_0.05__ROE_>=20__None__v1,FCF_P_0_0.05,ROE_>=20,None,v1,0.2834898677084181,25.3,-0.40194811850099244,0.5658536585365853,0.6313048791346347
FCF_P_<0__DEBTRATIO_>=0.55__None__v0,FCF_P_<0,DEBTRATIO_>=0.55,None,v0,0.2804737844345062,30.46,-0.45355276680865275,0.7083333333333334,0.27929047035404375
DEBTRATIO_>=0.55__EPS_<0__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,DEBTRATIO_>=0.55,EPS_<0,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.2803481452852514,24.97,-0.4416342715916285,0.6545454545454545,0.0
EPS_<0__DEBTRATIO_>=0.55__None__v0,EPS_<0,DEBTRATIO_>=0.55,None,v0,0.27922857768081943,22.25,-0.5215937785367246,0.6238532110091743,-0.198636608564143
EPS_0_2__ROE_>=20__None__v1,EPS_0_2,ROE_>=20,None,v1,0.2770261765831812,24.52,-0.39011626870952654,0.6434782608695652,0.5061988970621887
EPS_<0__ROE_>=20__C1_ROE_SEQ_qmax4__v0,EPS_<0,ROE_>=20,C1_ROE_SEQ_qmax4,v0,0.2769420927549373,23.18,-0.37532975671298474,0.65,0.1725076992758603
ROE_>=20__FCF_P_<0__C1_ROE_SEQ_qmax4__v0,ROE_>=20,FCF_P_<0,C1_ROE_SEQ_qmax4,v0,0.2769393262084474,19.82,-0.3623398586980576,0.6125,-0.24077699551447052
ROE_>=20__EPS_<0__C4_REVENUE_GROWTH_qmax5__v0,ROE_>=20,EPS_<0,C4_REVENUE_GROWTH_qmax5,v0,0.276053288271253,22.88,-0.37735442689446197,0.6486486486486487,0.17250769927586052
ROE_>=20__DEBTRATIO_>=0.55__C4_REVENUE_GROWTH_qmax5__v0,ROE_>=20,DEBTRATIO_>=0.55,C4_REVENUE_GROWTH_qmax5,v0,0.276006530920923,21.26,-0.3636243535610304,0.6782608695652174,-0.03424075041450769
FCF_P_0_0.05__EPS_<0__C1_ROE_SEQ_qmax4__v1,FCF_P_0_0.05,EPS_<0,C1_ROE_SEQ_qmax4,v1,0.2758447970087674,23.44,-0.4923309342636383,0.5688888888888889,0.030073565805474267
ROE_>=20__FCF_P_>=0.05__C4_REVENUE_GROWTH_qmax5__v0,ROE_>=20,FCF_P_>=0.05,C4_REVENUE_GROWTH_qmax5,v0,0.27487012099329067,24.51,-0.409095416928428,0.75,0.09359583455558784
DEBTRATIO_>=0.55__FCF_P_<0__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,DEBTRATIO_>=0.55,FCF_P_<0,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.2709470016773381,36.27,-0.4181948023909001,0.6415094339622641,0.3353406203877405
ROE_>=20__EPS_<0__None__v0,ROE_>=20,EPS_<0,None,v0,0.27080575648218197,23.44,-0.3727169745285762,0.6666666666666666,0.17250769927586074
DEBTRATIO_>=0.55__ROE_>=20__C1_ROE_SEQ_qmax4__v0,DEBTRATIO_>=0.55,ROE_>=20,C1_ROE_SEQ_qmax4,v0,0.2673979610813151,22.31,-0.3673001657591951,0.6666666666666666,-0.0205283041222859
FCF_P_<0__DEBTRATIO_>=0.55__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,FCF_P_<0,DEBTRATIO_>=0.55,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.2649881650381585,38.91,-0.3519837613443101,0.6041666666666666,0.5985786892071883
FCF_P_0_0.05__EPS_<0__C4_REVENUE_GROWTH_qmax5__v1,FCF_P_0_0.05,EPS_<0,C4_REVENUE_GROWTH_qmax5,v1,0.2641961189328066,24.68,-0.4863902128582316,0.5670995670995671,0.02333813671325702
EPS_0_2__ROE_>=20__C4_REVENUE_GROWTH_qmax5__v1,EPS_0_2,ROE_>=20,C4_REVENUE_GROWTH_qmax5,v1,0.26156543512452224,26.48,-0.3907386725055948,0.5952380952380952,0.5061988970621873
FCF_P_>=0.05__DEBTRATIO_0.35_0.55__None__v1,FCF_P_>=0.05,DEBTRATIO_0.35_0.55,None,v1,0.26067142104299856,36.55,-0.37725163016073815,0.5614035087719298,0.8533570885785493
EPS_<0__None__C3_ROE_SEQ_yoy__v0,EPS_<0,None,C3_ROE_SEQ_yoy,v0,0.2603605777724398,26.75,-0.3312723467042906,0.6,0.1751654928848645
DEBTRATIO_>=0.55__ROE_>=20__C1_ROE_SEQ_qmax4__v1,DEBTRATIO_>=0.55,ROE_>=20,C1_ROE_SEQ_qmax4,v1,0.2598072647392091,18.42,-0.3973499350175803,0.5352112676056338,-0.05507393704670227
DEBTRATIO_>=0.55__EPS_0_2__C4_REVENUE_GROWTH_qmax5__v1,DEBTRATIO_>=0.55,EPS_0_2,C4_REVENUE_GROWTH_qmax5,v1,0.2578013553266192,22.62,-0.3891358015539286,0.6294820717131474,0.1009123528796394
EPS_<0__ROE_<5__C3_ROE_SEQ_yoy__v0,EPS_<0,ROE_<5,C3_ROE_SEQ_yoy,v0,0.2560699549423586,26.77,-0.2989621475138666,0.6111111111111112,0.17516549288486472
DEBTRATIO_>=0.55__ROE_>=20__None__v0,DEBTRATIO_>=0.55,ROE_>=20,None,v0,0.25604029835107944,22.61,-0.3673001657484073,0.6979166666666666,-0.022897067127320647
ROE_>=20__DEBTRATIO_>=0.55__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,ROE_>=20,DEBTRATIO_>=0.55,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.255408118555456,29.49,-0.32852242330484827,0.6790123456790124,-0.041777218326972454
DEBTRATIO_0.35_0.55__FCF_P_>=0.05__C4_REVENUE_GROWTH_qmax5__v1,DEBTRATIO_0.35_0.55,FCF_P_>=0.05,C4_REVENUE_GROWTH_qmax5,v1,0.25440416831463186,37.1,-0.37725163016073815,0.5789473684210527,0.8533568337005129
DEBTRATIO_>=0.55__EPS_<0__C4_REVENUE_GROWTH_qmax5__v0,DEBTRATIO_>=0.55,EPS_<0,C4_REVENUE_GROWTH_qmax5,v0,0.2536244079782539,21.85,-0.6083337109735585,0.6333333333333333,-0.1986355850241126
DEBTRATIO_>=0.55__EPS_0_2__C1_ROE_SEQ_qmax4__v1,DEBTRATIO_>=0.55,EPS_0_2,C1_ROE_SEQ_qmax4,v1,0.2527058174223762,23.15,-0.38974696907161566,0.6224899598393574,0.1009058792563402
DEBTRATIO_>=0.55__FCF_P_<0__C4_REVENUE_GROWTH_qmax5__v0,DEBTRATIO_>=0.55,FCF_P_<0,C4_REVENUE_GROWTH_qmax5,v0,0.25253671314943826,32.8,-0.5386207831594299,0.6730769230769231,0.22899063676379705
FCF_P_<0__ROE_>=20__None__v0,FCF_P_<0,ROE_>=20,None,v0,0.2512093165978013,20.6,-0.3698299058703267,0.6266666666666667,-0.24077952904531752
EPS_0_2__DEBTRATIO_>=0.55__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,EPS_0_2,DEBTRATIO_>=0.55,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.2507146435971359,30.1,-0.36092707997062334,0.575,0.15665508251011562
EPS_<0__None__C6_EPS_QOQ_yoy__v0,EPS_<0,None,C6_EPS_QOQ_yoy,v0,0.25006686132106837,29.54,-0.4195435300228334,0.5930232558139535,0.17516549288486383
FCF_P_>=0.05__DEBTRATIO_0.35_0.55__C1_ROE_SEQ_qmax4__v1,FCF_P_>=0.05,DEBTRATIO_0.35_0.55,C1_ROE_SEQ_qmax4,v1,0.2497690380183779,38.26,-0.3926459701787478,0.5714285714285714,0.8533570885785491
DEBTRATIO_0_0.35__ROE_>=20__C4_REVENUE_GROWTH_qmax5__v1,DEBTRATIO_0_0.35,ROE_>=20,C4_REVENUE_GROWTH_qmax5,v1,0.24892700244943788,24.95,-0.45935979976399244,0.6268656716417911,0.8016345730144236
ROE_5_10__DEBTRATIO_>=0.55__C6_EPS_QOQ_yoy__v0,ROE_5_10,DEBTRATIO_>=0.55,C6_EPS_QOQ_yoy,v0,0.24871663582989,41.87,-0.4676122598211987,0.6851851851851852,0.7819279434492181
ROE_5_10__DEBTRATIO_>=0.55__C3_ROE_SEQ_yoy__v0,ROE_5_10,DEBTRATIO_>=0.55,C3_ROE_SEQ_yoy,v0,0.24697900920860483,41.71,-0.4676122598211987,0.6909090909090909,0.7819279434492179
EPS_<0__FCF_P_0_0.05__None__v1,EPS_<0,FCF_P_0_0.05,None,v1,0.2466254849161702,26.46,-0.4863902128582316,0.5545851528384279,0.04504536734046116
ROE_>=20__FCF_P_>=0.05__None__v0,ROE_>=20,FCF_P_>=0.05,None,v0,0.24639474425371022,24.89,-0.423201922245095,0.75,0.09359583455558784
DEBTRATIO_>=0.55__ROE_>=20__C4_REVENUE_GROWTH_qmax5__v1,DEBTRATIO_>=0.55,ROE_>=20,C4_REVENUE_GROWTH_qmax5,v1,0.24629366272631015,19.14,-0.3943966065497526,0.5277777777777778,-0.055073937046702603
EPS_<0__None__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,EPS_<0,None,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.24603340580158917,34.74,-0.3469584710755219,0.5714285714285714,0.3502704892802775
EPS_<0__None__C1_ROE_SEQ_qmax4__v1,EPS_<0,None,C1_ROE_SEQ_qmax4,v1,0.24578675837039032,28.82,-0.462904091856463,0.5503875968992248,0.11202558910513316
ROE_>=20__DEBTRATIO_>=0.55__None__v1,ROE_>=20,DEBTRATIO_>=0.55,None,v1,0.2450534005842917,18.75,-0.3973499313623863,0.5373134328358209,-0.05507393704670216
ROE_>=20__EPS_>=2__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,ROE_>=20,EPS_>=2,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.2443675841933346,36.6,-0.33310034499488583,0.5233644859813084,0.7673479562976937
EPS_0_2__FCF_P_>=0.05__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,EPS_0_2,FCF_P_>=0.05,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.24432931825489979,32.86,-0.5881820830399771,0.6153846153846154,0.4354608654445431
FCF_P_>=0.05__ROE_>=20__C1_ROE_SEQ_qmax4__v0,FCF_P_>=0.05,ROE_>=20,C1_ROE_SEQ_qmax4,v0,0.23987719256707352,25.3,-0.423201922245095,0.7560975609756098,0.09359583455558829
DEBTRATIO_>=0.55__EPS_0_2__None__v1,DEBTRATIO_>=0.55,EPS_0_2,None,v1,0.2396076083777121,24.87,-0.3897469690684583,0.6506550218340611,0.1199652699448781
ROE_>=20__DEBTRATIO_0_0.35__None__v1,ROE_>=20,DEBTRATIO_0_0.35,None,v1,0.23938988849031828,25.71,-0.45935979976399244,0.6212121212121212,0.8016345730144256
EPS_<0__ROE_<5__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,EPS_<0,ROE_<5,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.23911540040327606,36.65,-0.3903952056692944,0.5653409090909091,0.35027048928027704
EPS_0_2__ROE_15_20__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,EPS_0_2,ROE_15_20,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.2378942411030256,28.98,-0.4316305022522835,0.671875,0.0673627602325495
FCF_P_>=0.05__ROE_5_10__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,FCF_P_>=0.05,ROE_5_10,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.23768179594664707,28.32,-0.5124027251643916,0.6060606060606061,0.11577040296113306
EPS_<0__ROE_<5__C1_ROE_SEQ_qmax4__v1,EPS_<0,ROE_<5,C1_ROE_SEQ_qmax4,v1,0.23757278690774886,29.98,-0.4629040918564631,0.5466666666666666,0.08522758978983647
EPS_0_2__ROE_15_20__C1_ROE_SEQ_qmax4__v0,EPS_0_2,ROE_15_20,C1_ROE_SEQ_qmax4,v0,0.23469367061295365,23.37,-0.385025777853922,0.653179190751445,0.006869715054590664
FCF_P_>=0.05__EPS_0_2__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,FCF_P_>=0.05,EPS_0_2,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.23351800108661047,30.97,-0.4494672083033161,0.6147859922178989,0.20629844702420153
ROE_>=20__EPS_0_2__C4_REVENUE_GROWTH_qmax5__v0,ROE_>=20,EPS_0_2,C4_REVENUE_GROWTH_qmax5,v0,0.23261031682576383,31.39,-0.37425101895485446,0.6504854368932039,0.28592924543882536
DEBTRATIO_0_0.35__ROE_10_15__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,DEBTRATIO_0_0.35,ROE_10_15,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.2324429564601025,33.28,-0.28878917806613325,0.5555555555555556,0.07243924278279312
EPS_0_2__ROE_>=20__None__v0,EPS_0_2,ROE_>=20,None,v0,0.2323068569520781,31.14,-0.37576313012427853,0.7073170731707317,0.26635842897506135
ROE_>=20__DEBTRATIO_0_0.35__C1_ROE_SEQ_qmax4__v1,ROE_>=20,DEBTRATIO_0_0.35,C1_ROE_SEQ_qmax4,v1,0.23121398748123823,26.26,-0.45935979976399244,0.6176470588235294,0.8706416036926299
EPS_<0__None__None__v1,EPS_<0,None,None,v1,0.23115372986410243,30.98,-0.43375748979673634,0.5470737913486005,0.1075104141799641
ROE_>=20__EPS_0_2__C1_ROE_SEQ_qmax4__v1,ROE_>=20,EPS_0_2,C1_ROE_SEQ_qmax4,v1,0.231040805338929,30.58,-0.3901162799983575,0.6124031007751938,0.4097699526081102
FCF_P_>=0.05__None__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,FCF_P_>=0.05,None,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.2301093911419072,33.32,-0.46145854888056803,0.6111111111111112,0.23276650266288468
EPS_0_2__ROE_15_20__None__v0,EPS_0_2,ROE_15_20,None,v0,0.22995547450513332,24.51,-0.383123925889869,0.6363636363636364,0.022482228836519846
EPS_<0__FCF_P_0_0.05__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,EPS_<0,FCF_P_0_0.05,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.22959659851589054,37.82,-0.34629372096852573,0.5407725321888412,0.3812806110635085
EPS_0_2__ROE_15_20__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,EPS_0_2,ROE_15_20,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.22855528890116528,32.46,-0.3732536072161273,0.6557377049180327,-0.21843862304823247
DEBTRATIO_0_0.35__FCF_P_>=0.05__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,DEBTRATIO_0_0.35,FCF_P_>=0.05,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.22794492003349465,34.38,-0.48030373362662104,0.5983379501385041,0.22435127693327894
EPS_<0__None__C4_REVENUE_GROWTH_qmax5__v1,EPS_<0,None,C4_REVENUE_GROWTH_qmax5,v1,0.22684274977315,30.77,-0.5093060748589748,0.5314861460957179,0.10298577936151143
ROE_5_10__FCF_P_0_0.05__C5_REVENUE_GROWTH_yoy__v1,ROE_5_10,FCF_P_0_0.05,C5_REVENUE_GROWTH_yoy,v1,0.22672290466770928,31.95,-0.4397370231489962,0.5548780487804879,0.09202082324632643
EPS_<0__ROE_<5__C6_EPS_QOQ_yoy__v0,EPS_<0,ROE_<5,C6_EPS_QOQ_yoy,v0,0.22588773737615164,29.88,-0.41954353002283373,0.6075949367088608,0.17516549288486494
ROE_>=20__EPS_0_2__C1_ROE_SEQ_qmax4__v0,ROE_>=20,EPS_0_2,C1_ROE_SEQ_qmax4,v0,0.22568002717857016,32.42,-0.3676664883125893,0.6527777777777778,0.252584296809677
DEBTRATIO_0_0.35__EPS_<0__C4_REVENUE_GROWTH_qmax5__v0,DEBTRATIO_0_0.35,EPS_<0,C4_REVENUE_GROWTH_qmax5,v0,0.22428055265859892,31.93,-0.4266234836736059,0.578,0.18336624466822737
EPS_<0__None__C4_REVENUE_GROWTH_qmax5__v0,EPS_<0,None,C4_REVENUE_GROWTH_qmax5,v0,0.2240724521592663,32.35,-0.44833242072777435,0.5915032679738562,0.18069474037664923
EPS_0_2__ROE_15_20__C4_REVENUE_GROWTH_qmax5__v0,EPS_0_2,ROE_15_20,C4_REVENUE_GROWTH_qmax5,v0,0.2239775182501227,24.76,-0.3850257778539219,0.6411764705882353,0.00686971505459022
EPS_<0__None__None__v0,EPS_<0,None,None,v0,0.22351780619878858,32.04,-0.4312679766107136,0.5916473317865429,0.17057657088180878
DEBTRATIO_0_0.35__EPS_<0__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,DEBTRATIO_0_0.35,EPS_<0,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.22129032037194207,37.76,-0.5306760923239862,0.5567010309278351,0.47196842479834267
DEBTRATIO_0_0.35__ROE_>=20__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,DEBTRATIO_0_0.35,ROE_>=20,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.22113247627869947,31.53,-0.4593597997639922,0.6226415094339622,0.8016345730144239
EPS_<0__DEBTRATIO_0_0.35__None__v0,EPS_<0,DEBTRATIO_0_0.35,None,v0,0.2208332092969687,32.28,-0.4096713694477818,0.5803757828810021,0.17630725641063405
EPS_<0__ROE_<5__None__v1,EPS_<0,ROE_<5,None,v1,0.22046624720358832,32.66,-0.43375748979673634,0.5433070866141733,0.08082122311904372
FCF_P_>=0.05__ROE_5_10__C1_ROE_SEQ_qmax4__v0,FCF_P_>=0.05,ROE_5_10,C1_ROE_SEQ_qmax4,v0,0.219554786097375,29.75,-0.532333185568602,0.5952380952380952,0.29459411424753923
EPS_<0__None__C1_ROE_SEQ_qmax4__v0,EPS_<0,None,C1_ROE_SEQ_qmax4,v0,0.21946434332949205,33.5,-0.4489262135507288,0.5901814300960512,0.20420410670738565
FCF_P_>=0.05__EPS_>=2__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,FCF_P_>=0.05,EPS_>=2,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.21851848001077068,35.07,-0.4933022213476128,0.6275510204081632,0.15249877823319946
FCF_P_>=0.05__ROE_5_10__None__v0,FCF_P_>=0.05,ROE_5_10,None,v0,0.2177445372858524,29.65,-0.5323331855686018,0.5952380952380952,0.27726518405970046
FCF_P_<0__ROE_5_10__C4_REVENUE_GROWTH_qmax5__v1,FCF_P_<0,ROE_5_10,C4_REVENUE_GROWTH_qmax5,v1,0.21721217716704588,33.87,-0.4157656707455213,0.5935483870967742,0.057153777527402916
DEBTRATIO_0_0.35__EPS_<0__C1_ROE_SEQ_qmax4__v0,DEBTRATIO_0_0.35,EPS_<0,C1_ROE_SEQ_qmax4,v0,0.21689140859498646,32.85,-0.47217554788643523,0.5788461538461539,0.20754726473778495
DEBTRATIO_0.35_0.55__ROE_>=20__C4_REVENUE_GROWTH_qmax5__v1,DEBTRATIO_0.35_0.55,ROE_>=20,C4_REVENUE_GROWTH_qmax5,v1,0.21652525849707094,42.28,-0.3537692166863663,0.5625,0.6434523592037895
FCF_P_>=0.05__ROE_5_10__C4_REVENUE_GROWTH_qmax5__v0,FCF_P_>=0.05,ROE_5_10,C4_REVENUE_GROWTH_qmax5,v0,0.2155099953776376,29.73,-0.5323331855686019,0.6046511627906976,0.2772651840597009
DEBTRATIO_>=0.55__FCF_P_>=0.05__None__v0,DEBTRATIO_>=0.55,FCF_P_>=0.05,None,v0,0.21529901494311932,27.74,-0.5344674975018783,0.6842105263157895,0.16215334884436383
EPS_>=2__FCF_P_<0__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,EPS_>=2,FCF_P_<0,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.21497271157630182,28.07,-0.5990484458717238,0.6166666666666667,0.19288346893544372
EPS_<0__ROE_<5__C4_REVENUE_GROWTH_qmax5__v1,EPS_<0,ROE_<5,C4_REVENUE_GROWTH_qmax5,v1,0.2139601320525495,32.96,-0.5093060748589748,0.5274151436031331,0.07644336843392141
EPS_<0__ROE_<5__C1_ROE_SEQ_qmax4__v0,EPS_<0,ROE_<5,C1_ROE_SEQ_qmax4,v0,0.21311551441825172,35.01,-0.4391316776690055,0.5853658536585366,0.2002783587268433
DEBTRATIO_>=0.55__None__C1_ROE_SEQ_qmax4__v0,DEBTRATIO_>=0.55,None,C1_ROE_SEQ_qmax4,v0,0.21018943133457713,34.01,-0.3680516340621537,0.6504297994269341,0.08080978474147904
ROE_15_20__DEBTRATIO_0_0.35__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,ROE_15_20,DEBTRATIO_0_0.35,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.21011210824827464,48.46,-0.21680484538743272,0.5137614678899083,0.09441657414478688
DEBTRATIO_>=0.55__None__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,DEBTRATIO_>=0.55,None,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.20983952483322277,41.47,-0.3383202417212794,0.6233333333333333,0.06467421757274128
EPS_0_2__DEBTRATIO_>=0.55__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,EPS_0_2,DEBTRATIO_>=0.55,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.2096020578276836,43.0,-0.35650976401583045,0.6264591439688716,0.11689939949655459
EPS_<0__FCF_P_0_0.05__C1_ROE_SEQ_qmax4__v0,EPS_<0,FCF_P_0_0.05,C1_ROE_SEQ_qmax4,v0,0.2089930577141792,33.67,-0.45162343368843605,0.5632911392405063,0.118912358005274
FCF_P_0_0.05__EPS_<0__None__v0,FCF_P_0_0.05,EPS_<0,None,v0,0.20885518060960107,33.68,-0.45707011323145974,0.5582922824302134,0.10375760925589717
