C,mean,median,iqr,pos_rate,n
C7_EPS_QOQ_ytdavg_gt_lyytdavg,-0.004729606559478896,0.0023226501490154483,0.0210489089101491,0.5512820512820513,156
C1_ROE_SEQ_qmax4,0.0006016710566883978,-0.00044084973404046046,0.0066802484058891,0.4430379746835443,158
C4_REVENUE_GROWTH_qmax5,-0.0010554613306204574,-0.0005849792388051833,0.005563971150970515,0.37341772151898733,158
C3_ROE_SEQ_yoy,-0.08830984494310758,-0.0897332328500301,0.10422266975414446,0.14556962025316456,158
C6_EPS_QOQ_yoy,-0.0919106850511097,-0.08616439508504181,0.08563873770398084,0.1038961038961039,154
C5_REVENUE_GROWTH_yoy,-0.11347128933581319,-0.11375080463450704,0.09492142797871655,0.0759493670886076,158
C2_ROE_SEQ_riseq1,-0.11773662655636435,-0.11373138674321415,0.1063167358522541,0.06329113924050633,158
C8_FCF_MOM_riseq2,-0.12486186527636156,-0.11213454401119027,0.06717072405117236,0.01282051282051282,156
