F2,mean,median,std,count
None,0.11311454627452733,0.11797363984140496,0.0688898723753655,252
FCF_P_0_0.05,0.11276355841772329,0.11868679381725245,0.0670728330729238,198
EPS_0_2,0.1116703588774422,0.11836308493667469,0.07420845656302452,198
ROE_>=20,0.10916288549449674,0.080283478476176,0.09998850697361926,162
DEBTRATIO_>=0.55,0.10052884965597629,0.0898543231557849,0.11149534140527927,198
ROE_5_10,0.09482327506402094,0.10183375717231347,0.07792144136829152,158
DEBTRATIO_0.35_0.55,0.09467929714444338,0.0968389085868776,0.06033803202397756,198
ROE_<5,0.08731873158157946,0.08981099249208502,0.06901917619708968,162
DEBTRATIO_0_0.35,0.08267285211768184,0.07320932408118463,0.08062006618231927,198
EPS_<0,0.07935501737166951,0.04620724929281417,0.10775709856597597,172
FCF_P_>=0.05,0.07921482717068562,0.06196738915097921,0.0812022837697484,198
EPS_>=2,0.06880272602971635,0.06836874076009092,0.06150887507627618,198
FCF_P_<0,0.06653205170492177,0.036953183694309666,0.10709104958177121,196
ROE_10_15,0.06233602018774387,0.05328342360236604,0.0677037960320332,150
ROE_15_20,0.06033748304446533,0.04040270728111972,0.09046997251816744,150
