C編號,C,C來源,增益中位數,增益平均,增益為正比例,CAGR中位數,持股數中位數,n
12,C12_EPS_DYN_yoy,EPS,0.023477562485453074,0.03342222563572098,0.8149466192170819,0.27051055090276366,100.11333333333333,281
13,C13_EPS_DYN_ytdavg_gt_lyytdavg,EPS,0.019609730308248974,0.02820260024820167,0.7758007117437722,0.2713730964844172,104.74666666666667,281
5,C5_ROE_DYN_yoy,ROE,0.015232032817364516,0.021594341372609394,0.7188612099644128,0.2651297672941635,89.48675496688742,281
10,C10_EPS_DYN_qmax4,EPS,0.01435634375245165,0.018031872827086164,0.6263345195729537,0.24942513202986305,57.911184210526315,281
9,C9_EPS_DYN_riseq2,EPS,0.012796041146020842,0.010618111023961888,0.6370106761565836,0.25393492106492244,99.07792207792208,281
14,C14_EPS_DYN_ytdavg_gt_lyavg,EPS,0.011668404560756906,0.013746005612613408,0.6263345195729537,0.25028464000752115,104.10333333333334,281
16,C16_FCF_P_DYN_riseq2,FCF_P,0.006972431348515107,0.008038820116378166,0.6298932384341637,0.25281556313936515,101.13725490196079,281
8,C8_EPS_DYN_riseq1,EPS,0.006167689225788253,0.00671845150402506,0.6441281138790036,0.2497246551993899,98.14516129032258,281
17,C17_FCF_P_DYN_qmax4,FCF_P,0.0052133575563093615,0.005029639926689408,0.5836298932384342,0.2520233861190646,52.36963696369637,281
6,C6_ROE_DYN_ytdavg_gt_lyytdavg,ROE,0.002857349293186262,0.009579460300397087,0.5800711743772242,0.2528705481224851,90.97666666666667,281
19,C19_FCF_P_DYN_yoy,FCF_P,-0.0015726100609587679,-0.0014923832188843906,0.4697508896797153,0.2435694420591379,96.59666666666666,281
15,C15_FCF_P_DYN_riseq1,FCF_P,-0.0026739368330712665,-7.503909438263334e-05,0.4234875444839858,0.2461302208503109,103.23870967741935,281
7,C7_ROE_DYN_ytdavg_gt_lyavg,ROE,-0.0042520653370270445,-0.004889949627903056,0.45195729537366547,0.2395288586623352,89.37333333333333,281
2,C2_ROE_DYN_riseq2,ROE,-0.005498511206435186,-0.00853162104134428,0.3914590747330961,0.22873110008339492,92.35504885993485,281
11,C11_EPS_DYN_qmax8,EPS,-0.0055231046297432584,0.01330487683890351,0.4555160142348754,0.2401963884592495,36.33105802047782,281
1,C1_ROE_DYN_riseq1,ROE,-0.006292680707703058,-0.009818391836336477,0.3701067615658363,0.2288788197264784,93.41800643086816,281
20,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,FCF_P,-0.007697230950800105,-0.007404019689666468,0.30604982206405695,0.23731970908260736,96.96333333333334,281
18,C18_FCF_P_DYN_qmax8,FCF_P,-0.008568158014156335,-0.0023907694695450795,0.45195729537366547,0.22970045449930576,28.705479452054796,281
3,C3_ROE_DYN_qmax4,ROE,-0.022284133502465275,-0.024976007247380413,0.23843416370106763,0.21562757661833043,48.431372549019606,281
4,C4_ROE_DYN_qmax8,ROE,-0.02476130835975665,-0.02846676995063793,0.2206405693950178,0.20985394663849455,25.93448275862069,281
