C編號,C,C來源,增益中位數,增益平均,增益為正比例,CAGR中位數,持股數中位數,n
4,C4_ROE_DYN_qmax8,ROE,0.03465092805312975,0.043694436457700644,0.7878787878787878,0.19075942839347393,31.015094339622642,99
11,C11_EPS_DYN_qmax8,EPS,0.034063216798884355,0.03547755413237731,0.8888888888888888,0.18341993741335516,33.15057915057915,99
7,C7_ROE_DYN_ytdavg_gt_lyavg,ROE,0.02980547783457088,0.03335336235791839,1.0,0.17798214252492017,78.58775510204082,99
9,C9_EPS_DYN_riseq2,EPS,0.028687461511292645,0.030018367860140286,0.98989898989899,0.17576095650113244,93.58775510204082,99
10,C10_EPS_DYN_qmax4,EPS,0.02709576987230511,0.02731375110237995,0.9393939393939394,0.1745149254053071,55.93469387755102,99
14,C14_EPS_DYN_ytdavg_gt_lyavg,EPS,0.026250857649788184,0.03003025777879514,0.9696969696969697,0.17680777438785444,84.18775510204081,99
12,C12_EPS_DYN_yoy,EPS,0.021985524450488958,0.022863100297490373,0.9191919191919192,0.16822679546163766,87.55918367346939,99
2,C2_ROE_DYN_riseq2,ROE,0.019633242275216567,0.021094639604856837,0.8888888888888888,0.16559710031010666,90.81224489795919,99
8,C8_EPS_DYN_riseq1,EPS,0.018013485980549193,0.0216890965668201,0.9393939393939394,0.16534321358696946,91.83265306122449,99
1,C1_ROE_DYN_riseq1,ROE,0.017054139405013657,0.018407663030163626,0.8484848484848485,0.1620959102849593,90.15510204081633,99
3,C3_ROE_DYN_qmax4,ROE,0.015540348220187683,0.021445830402288032,0.7575757575757576,0.1668507560467214,53.49795918367347,99
15,C15_FCF_P_DYN_riseq1,FCF_P,0.012644402622255857,0.016727048883344274,0.7777777777777778,0.1587692700129506,74.6734693877551,99
20,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,FCF_P,0.012581797812665663,0.015520550668605942,0.7878787878787878,0.15736074327464378,76.10460251046025,99
19,C19_FCF_P_DYN_yoy,FCF_P,0.011930497767643766,0.016275424244464202,0.7777777777777778,0.15505944245345815,75.01632653061225,99
5,C5_ROE_DYN_yoy,ROE,0.011387848403870526,0.01546319403828392,0.7777777777777778,0.15902357389835253,83.65306122448979,99
16,C16_FCF_P_DYN_riseq2,FCF_P,0.007962293699252054,0.012615460592344255,0.7171717171717171,0.15452529289931594,79.02631578947368,99
13,C13_EPS_DYN_ytdavg_gt_lyytdavg,EPS,0.005183607970119519,0.006881045794144266,0.6161616161616161,0.14967848008777862,86.44351464435147,99
6,C6_ROE_DYN_ytdavg_gt_lyytdavg,ROE,0.003123635040552797,0.007888370157147198,0.5555555555555556,0.15216160718191274,81.23849372384937,99
17,C17_FCF_P_DYN_qmax4,FCF_P,-0.03840437290275478,-0.025622127426880723,0.24242424242424243,0.11413413959269358,45.1265306122449,99
18,C18_FCF_P_DYN_qmax8,FCF_P,-0.04258748772492171,-0.03462746792777349,0.1919191919191919,0.10477076774438365,26.263157894736842,99
