strategy,F組合,C,CAGR,None基準CAGR,C增益,max_drawdown,win_ratio,daily_sharpe,平均持股數
P_IC_qb0of3__REVENUE_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,P_IC_qb0of3__REVENUE_qb0of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.28952772998804255,0.24055303039082032,0.04897469959722223,-0.5303760617815566,0.509478672985782,10.98,45.02456140350877
P_IC_qb0of3__VOL_qb2of3__C5_ROE_DYN_yoy__v0,P_IC_qb0of3__VOL_qb2of3,C5_ROE_DYN_yoy,0.289284846798709,0.22561198135881777,0.06367286543989126,-0.6045304560911866,0.49940155595451824,12.87,63.276
EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,EV_S_qb0of3__ACCRUAL_qb0of3,C4_ROE_DYN_qmax8,0.28880528877031764,0.15570838337066473,0.1330969053996529,-0.40480927664468047,0.5218267293485561,15.16,21.90557939914163
MOM_qb2of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,MOM_qb2of3__ACCRUAL_qb0of3,C3_ROE_DYN_qmax4,0.2887562498284342,0.15505270527372694,0.13370354455470723,-0.6074670720189526,0.5316030534351145,12.89,43.58015267175573
PB_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,PB_qb0of3__CROIC_qb1of3,C4_ROE_DYN_qmax8,0.28872081802969385,0.1862212988540406,0.10249951917565325,-0.5779669526413387,0.5470991890205864,13.4,23.798283261802574
P_IC_qb0of3__REVENUE_qb0of3__C9_EPS_DYN_riseq2__v0,P_IC_qb0of3__REVENUE_qb0of3,C9_EPS_DYN_riseq2,0.28783589309117086,0.24055303039082032,0.047282862700350536,-0.5389494217208052,0.5278730703259005,11.3,49.12408759124087
P_IC_qb0of3__REVENUE_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,P_IC_qb0of3__REVENUE_qb0of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.28414038196440994,0.24055303039082032,0.04358735157358962,-0.5366341082202009,0.5109306683322923,11.09,43.69122807017544
P_IC_qb0of3__DEBTRATIO_qb0of3__C5_ROE_DYN_yoy__v0,P_IC_qb0of3__DEBTRATIO_qb0of3,C5_ROE_DYN_yoy,0.28181157824026215,0.20424156536402682,0.07757001287623533,-0.5920756175785715,0.5313351498637602,13.0,25.228
EV_S_qb0of3__REVENUE_qb0of3__C1_ROE_DYN_riseq1__v0,EV_S_qb0of3__REVENUE_qb0of3,C1_ROE_DYN_riseq1,0.28130541587739266,0.2016024825109346,0.07970293336645806,-0.4248754198912106,0.49554140127388535,10.92,39.32846715328467
PB_qb0of3__FCF_OI_qb1of3__C4_ROE_DYN_qmax8__v0,PB_qb0of3__FCF_OI_qb1of3,C4_ROE_DYN_qmax8,0.28103477833573964,0.19021651029963826,0.09081826803610138,-0.5675621193409861,0.5535006605019815,12.88,22.553648068669528
