C編號,C,C來源,增益中位數,增益平均,增益為正比例,CAGR中位數,持股數中位數,n
4,C4_ROE_DYN_qmax8,ROE,0.06283986116503804,0.06230248221300604,0.9069148936170213,0.1897271494951649,27.2599598543871,376
11,C11_EPS_DYN_qmax8,EPS,0.05184403965363793,0.05228755892548395,0.9414893617021277,0.18266687828814332,31.327470573291556,376
7,C7_ROE_DYN_ytdavg_gt_lyavg,ROE,0.033820574867070574,0.036374081826781667,1.0,0.16672970330760728,77.287833931856,376
10,C10_EPS_DYN_qmax4,EPS,0.0335060775698518,0.03558929745646475,0.9680851063829787,0.16538442971947864,54.3754756139744,376
9,C9_EPS_DYN_riseq2,EPS,0.03293286544197338,0.03412787866537717,0.9920212765957447,0.16347734870971375,92.57337304020321,376
3,C3_ROE_DYN_qmax4,ROE,0.031223860697686234,0.03383414618049232,0.9095744680851063,0.16319575410869136,50.754355400696866,376
14,C14_EPS_DYN_ytdavg_gt_lyavg,EPS,0.028335580195438914,0.030690590486628734,0.9840425531914894,0.1588054394590077,84.41171060698957,376
2,C2_ROE_DYN_riseq2,ROE,0.026132713441642585,0.027679641845138683,0.9601063829787234,0.1583112344911204,91.1341070333713,376
8,C8_EPS_DYN_riseq1,EPS,0.021763803384221347,0.023516475776697136,0.973404255319149,0.15380470785111422,92.1,376
12,C12_EPS_DYN_yoy,EPS,0.021326288981208363,0.023197874143323166,0.9069148936170213,0.1516030841162206,87.11502145922748,376
1,C1_ROE_DYN_riseq1,ROE,0.020482538002593365,0.021864140419768117,0.9388297872340425,0.1530216409395755,90.25710051655517,376
5,C5_ROE_DYN_yoy,ROE,0.01106601899392079,0.014512705283664773,0.7712765957446809,0.14242286946754124,82.53555316863589,376
6,C6_ROE_DYN_ytdavg_gt_lyytdavg,ROE,0.006365487702836181,0.009896895643887274,0.6436170212765957,0.13751117569226268,81.3616339607529,376
13,C13_EPS_DYN_ytdavg_gt_lyytdavg,EPS,0.006062176502275363,0.00838984289338729,0.6941489361702128,0.13723295571481353,87.10669456066945,376
20,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,FCF_P,0.003940513968801129,0.007472693716839158,0.6462765957446809,0.13473608514557422,80.17961218734447,376
15,C15_FCF_P_DYN_riseq1,FCF_P,0.0034003730412184296,0.006351169650035172,0.5718085106382979,0.13352502377801911,77.00408163265305,376
19,C19_FCF_P_DYN_yoy,FCF_P,0.002927363586432974,0.006522511119254519,0.5664893617021277,0.1342711253975135,78.82040816326531,376
16,C16_FCF_P_DYN_riseq2,FCF_P,0.0011663793561437208,0.0036704646838814125,0.5319148936170213,0.1337687415832599,81.4469387755102,376
17,C17_FCF_P_DYN_qmax4,FCF_P,-0.019519162892506325,-0.01767335195114854,0.26861702127659576,0.10875350196095668,42.7734693877551,376
18,C18_FCF_P_DYN_qmax8,FCF_P,-0.02789979032376544,-0.025744440344858774,0.2154255319148936,0.10229222467110621,22.89800609899132,376
