C編號,C,C來源,增益中位數,增益平均,增益為正比例,CAGR中位數,持股數中位數,n
14,C14_EPS_DYN_ytdavg_gt_lyavg,EPS,0.00786406514114113,0.012485860440384687,0.6542553191489362,0.2713702621956745,104.75166666666667,188
11,C11_EPS_DYN_qmax8,EPS,0.0025176265769695227,0.002543508310651289,0.6861702127659575,0.2643476833983902,185.5801282051282,188
10,C10_EPS_DYN_qmax4,EPS,0.002098598723874967,0.0022524841815735577,0.7606382978723404,0.2636735273608649,188.0448717948718,188
4,C4_ROE_DYN_qmax8,ROE,0.0019265572281687016,0.0020967807829703872,0.675531914893617,0.2639841146342893,185.2852564102564,188
3,C3_ROE_DYN_qmax4,ROE,0.0015384239412943312,0.0014769648911638403,0.6914893617021277,0.26287245997557007,187.80608974358975,188
17,C17_FCF_P_DYN_qmax4,FCF_P,0.0005912423530841648,0.0007883295512521446,0.5691489361702128,0.26087864305897956,186.7147435897436,188
18,C18_FCF_P_DYN_qmax8,FCF_P,0.0003529268961006693,0.0008840303782719967,0.5851063829787234,0.2619369411098049,183.35576923076923,188
7,C7_ROE_DYN_ytdavg_gt_lyavg,ROE,-0.005328409885238972,-0.006591197658533358,0.35106382978723405,0.25179333128341264,90.85666666666667,188
13,C13_EPS_DYN_ytdavg_gt_lyytdavg,EPS,-0.013613351576171162,-0.013288481952282404,0.2765957446808511,0.24785696782825628,102.85087719298247,188
20,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,FCF_P,-0.02296275206862597,-0.023498128098201426,0.13297872340425532,0.23382729717877193,92.69755244755245,188
6,C6_ROE_DYN_ytdavg_gt_lyytdavg,ROE,-0.023512801269262584,-0.027225748613717436,0.12234042553191489,0.23393465485694542,88.5472027972028,188
5,C5_ROE_DYN_yoy,ROE,-0.1004322037025005,-0.10596616620227693,0.031914893617021274,0.1564008534219985,6.326516766815274,188
19,C19_FCF_P_DYN_yoy,FCF_P,-0.10320422587480438,-0.11417897664574891,0.02127659574468085,0.1506011681409164,6.9636163346366295,188
12,C12_EPS_DYN_yoy,EPS,-0.11107112878963898,-0.11627153950653783,0.031914893617021274,0.14724169370018558,6.599526535227192,188
2,C2_ROE_DYN_riseq2,ROE,-0.12640082622045834,-0.13392840211163703,0.026595744680851064,0.1205408842033373,4.879631836053854,188
9,C9_EPS_DYN_riseq2,EPS,-0.1376614226775702,-0.14071664945697057,0.02127659574468085,0.11977313639674103,5.031540523584098,188
16,C16_FCF_P_DYN_riseq2,FCF_P,-0.14250657031310365,-0.15817719135590466,0.010638297872340425,0.09421237713294461,5.3584766749213575,188
1,C1_ROE_DYN_riseq1,ROE,-0.17118315929798744,-0.1732218551967212,0.0,0.08760866149734048,3.4819401444788443,188
8,C8_EPS_DYN_riseq1,EPS,-0.19289428926610752,-0.18692768744852029,0.005319148936170213,0.07352188263201254,3.591171265648555,188
15,C15_FCF_P_DYN_riseq1,FCF_P,-0.19356938984349137,-0.18980442262139632,0.005319148936170213,0.07342588091327351,3.734965782720274,188
