strategy,F組合,C,CAGR,None基準CAGR,C增益,max_drawdown,win_ratio,daily_sharpe,平均持股數
P_IC_qb0of3__MOM_qb2of3__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__MOM_qb2of3,C4_ROE_DYN_qmax8,0.25761290961945793,0.1767227601889707,0.08089014943048722,-0.41993538423748544,0.5246038365304421,12.4,34.416
P_IC_qb0of3__MOM_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,P_IC_qb0of3__MOM_qb2of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.2574277201413002,0.1767227601889707,0.08070495995232951,-0.5092423495279028,0.4897999603881957,13.9,87.84016393442623
MOM_qb2of3__DEBTRATIO_qb2of3__C5_ROE_DYN_yoy__v0,MOM_qb2of3__DEBTRATIO_qb2of3,C5_ROE_DYN_yoy,0.257162070260448,0.15297367080313573,0.10418839945731229,-0.6974608417204977,0.47867924528301886,15.44,92.38775510204081
PB_qb0of3__MOM_qb2of3__C12_EPS_DYN_yoy__v0,PB_qb0of3__MOM_qb2of3,C12_EPS_DYN_yoy,0.25601459111797564,0.16625729900929054,0.0897572921086851,-0.6421265895460894,0.5060049452490286,14.56,90.152
PB_qb0of3__MOM_qb2of3__C4_ROE_DYN_qmax8__v0,PB_qb0of3__MOM_qb2of3,C4_ROE_DYN_qmax8,0.25583861884179115,0.16625729900929054,0.08958131983250062,-0.3968652097481361,0.5192226446979299,13.09,34.008
EV_S_qb0of3__REVENUE_qb0of3__C1_ROE_DYN_riseq1__v0,EV_S_qb0of3__REVENUE_qb0of3,C1_ROE_DYN_riseq1,0.25555460360869153,0.2040896822855236,0.051464921323167934,-0.41026363134176214,0.45421831267493,11.88,45.30204081632653
MOM_qb1of3__EV_S_qb0of3__C11_EPS_DYN_qmax8__v0,MOM_qb1of3__EV_S_qb0of3,C11_EPS_DYN_qmax8,0.25502835445675287,0.13437957267285827,0.1206487817838946,-0.3610792597469866,0.529655990510083,13.6,22.250980392156862
P_IC_qb0of3__MOM_qb1of3__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__MOM_qb1of3,C4_ROE_DYN_qmax8,0.25429972393055134,0.1453941377342549,0.10890558619629642,-0.43178574513306256,0.5311036789297658,13.93,20.723577235772357
PS_qb1of3__EV_S_qb0of3__C11_EPS_DYN_qmax8__v0,PS_qb1of3__EV_S_qb0of3,C11_EPS_DYN_qmax8,0.2541097591751782,0.1578660361763582,0.09624372299882,-0.41374944045992446,0.5147232037691402,15.76,12.419753086419753
EV_S_qb0of3__REVENUE_qb0of3__C15_FCF_P_DYN_riseq1__v0,EV_S_qb0of3__REVENUE_qb0of3,C15_FCF_P_DYN_riseq1,0.25380615665040684,0.2040896822855236,0.049716474364883245,-0.48163200338226797,0.47121993127147765,13.73,36.63265306122449
MOM_qb2of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__NETDEBT_EBITDA_qb2of3,C4_ROE_DYN_qmax8,0.2536711496591493,0.13806047219066953,0.11561067746847975,-0.417897339881121,0.521865889212828,12.62,26.854077253218883
PB_qb0of3__ROE_qb2of3__C15_FCF_P_DYN_riseq1__v0,PB_qb0of3__ROE_qb2of3,C15_FCF_P_DYN_riseq1,0.2536581392534134,0.13825793066544723,0.11540020858796618,-0.5756542133104694,0.4972510690287111,16.79,20.538775510204083
PS_qb0of3__REVENUE_qb0of3__C1_ROE_DYN_riseq1__v0,PS_qb0of3__REVENUE_qb0of3,C1_ROE_DYN_riseq1,0.25317396083715593,0.19889012074620505,0.054283840090950886,-0.4367926912283363,0.4249201277955272,10.43,34.1265306122449
P_IC_qb0of3__MOM_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,P_IC_qb0of3__MOM_qb2of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.2529898905876271,0.1767227601889707,0.0762671303986564,-0.6388043072832066,0.4947141738449491,13.73,85.98015873015873
P_IC_qb0of3__MOM_qb1of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,P_IC_qb0of3__MOM_qb1of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.252064731642065,0.1453941377342549,0.10667059390781009,-0.5718051995571091,0.5475540104296002,15.28,66.75984251968504
MOM_qb2of3__REVENUE_qb1of3__C3_ROE_DYN_qmax4__v0,MOM_qb2of3__REVENUE_qb1of3,C3_ROE_DYN_qmax4,0.25178773034352897,0.16328519162187272,0.08850253872165625,-0.6781810471545147,0.5090807488125174,15.21,53.64081632653061
PS_qb0of3__DEBTRATIO_qb2of3__C4_ROE_DYN_qmax8__v0,PS_qb0of3__DEBTRATIO_qb2of3,C4_ROE_DYN_qmax8,0.25154982904178813,0.1491212638550079,0.10242856518678023,-0.3330866651858404,0.4931891025641026,14.07,41.88979591836735
PS_qb0of3__MOM_qb2of3__C11_EPS_DYN_qmax8__v0,PS_qb0of3__MOM_qb2of3,C11_EPS_DYN_qmax8,0.25059028797518845,0.1725570384302506,0.07803324954493784,-0.5340219931820281,0.5091375440846425,12.79,44.84169884169884
PB_qb0of3__MOM_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,PB_qb0of3__MOM_qb2of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.24917211034041298,0.16625729900929054,0.08291481133112244,-0.5261874358310549,0.4944422389837237,14.9,84.62295081967213
MOM_qb2of3__OCF_E_qb2of3__C11_EPS_DYN_qmax8__v0,MOM_qb2of3__OCF_E_qb2of3,C11_EPS_DYN_qmax8,0.2489522801375541,0.14339948615136855,0.10555279398618556,-0.4487301271383949,0.5151262836525118,14.16,46.86120996441281
P_IC_qb0of3__REVENUE_qb0of3__C15_FCF_P_DYN_riseq1__v0,P_IC_qb0of3__REVENUE_qb0of3,C15_FCF_P_DYN_riseq1,0.24886673325322906,0.2242906969048153,0.024576036348413766,-0.5606741973973821,0.49389416553595655,13.4,49.114285714285714
MOM_qb2of3__REVENUE_qb1of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,MOM_qb2of3__REVENUE_qb1of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,0.24812882588242613,0.16328519162187272,0.08484363426055341,-0.5334232840024072,0.4730927166630646,16.35,82.24686192468619
P_IC_qb0of3__REVENUE_qb0of3__C19_FCF_P_DYN_yoy__v0,P_IC_qb0of3__REVENUE_qb0of3,C19_FCF_P_DYN_yoy,0.24809931356981973,0.2242906969048153,0.023808616665004445,-0.564928850631795,0.507895860008536,12.41,48.67755102040816
MOM_qb1of3__EV_S_qb0of3__C4_ROE_DYN_qmax8__v0,MOM_qb1of3__EV_S_qb0of3,C4_ROE_DYN_qmax8,0.24769499978212228,0.13437957267285827,0.11331542710926401,-0.3474949896401577,0.5279789335088875,13.28,20.882113821138212
PS_qb0of3__REVENUE_qb0of3__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v0,PS_qb0of3__REVENUE_qb0of3,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,0.24742820767088758,0.19889012074620505,0.04853808692468253,-0.4121971711497404,0.5013574660633484,11.75,27.577405857740587
