C編號,C,C來源,增益中位數,增益平均,增益為正比例,CAGR中位數,持股數中位數,n
4,C4_ROE_DYN_qmax8,ROE,0.06954381649606567,0.06988071958527414,0.9855769230769231,0.21387267891839146,28.26824034334764,208
11,C11_EPS_DYN_qmax8,EPS,0.047600551012061176,0.04959644017654803,0.9567307692307693,0.193549202437598,32.21265072552626,208
3,C3_ROE_DYN_qmax4,ROE,0.039990827519995054,0.04022648597378652,0.9711538461538461,0.18230849613093358,49.88167938931298,208
5,C5_ROE_DYN_yoy,ROE,0.03798570906678189,0.038692583974048136,1.0,0.1764811107083032,88.03200000000001,208
12,C12_EPS_DYN_yoy,EPS,0.03479198677009221,0.03539354652870977,0.9951923076923077,0.16962946378564914,92.916,208
10,C10_EPS_DYN_qmax4,EPS,0.03260171657386901,0.033433693360489854,0.9567307692307693,0.17450431987836446,54.32251908396947,208
9,C9_EPS_DYN_riseq2,EPS,0.030923153415699955,0.02994973328252011,0.9951923076923077,0.16374591201853883,90.21350364963504,208
2,C2_ROE_DYN_riseq2,ROE,0.02892118368210539,0.028875118433096442,0.9855769230769231,0.16704897985981915,89.0492700729927,208
7,C7_ROE_DYN_ytdavg_gt_lyavg,ROE,0.025461206567581218,0.025703179350884134,0.9855769230769231,0.15937926287027704,76.11754385964912,208
14,C14_EPS_DYN_ytdavg_gt_lyavg,EPS,0.024959052775656243,0.02510447649163933,0.9951923076923077,0.16021002782353988,81.55964912280702,208
6,C6_ROE_DYN_ytdavg_gt_lyytdavg,ROE,0.021303506339764966,0.021885591306815975,0.9951923076923077,0.1557156462536814,79.77543859649123,208
13,C13_EPS_DYN_ytdavg_gt_lyytdavg,EPS,0.019412151643203424,0.019901796862780742,0.9711538461538461,0.15303585063907654,83.95614035087719,208
8,C8_EPS_DYN_riseq1,EPS,0.017550455975153367,0.016218419145015508,0.9134615384615384,0.15543464381386995,89.25087719298246,208
1,C1_ROE_DYN_riseq1,ROE,0.0158860859206863,0.01521776479953615,0.8798076923076923,0.15338583785035742,87.6719298245614,208
16,C16_FCF_P_DYN_riseq2,FCF_P,-0.002749228597093256,-0.0017352370413563879,0.42788461538461536,0.1358440351968223,81.80656934306569,208
20,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,FCF_P,-0.00691267847514021,-0.0071906447396034015,0.2932692307692308,0.13133860509110462,79.82105263157894,208
19,C19_FCF_P_DYN_yoy,FCF_P,-0.007907328901717636,-0.0075379277812195646,0.25961538461538464,0.1323681392174798,82.75399999999999,208
15,C15_FCF_P_DYN_riseq1,FCF_P,-0.0185811960533111,-0.016840458845816475,0.125,0.12101777124399282,77.10175438596491,208
18,C18_FCF_P_DYN_qmax8,FCF_P,-0.023271723841890912,-0.02331019937130001,0.22596153846153846,0.12046975257413006,19.29184549356223,208
17,C17_FCF_P_DYN_qmax4,FCF_P,-0.0287080095519896,-0.029903364403333053,0.10576923076923077,0.10990177328102735,39.099236641221374,208
