strategy,F組合,C,CAGR,None基準CAGR,C增益,max_drawdown,win_ratio,daily_sharpe,平均持股數
P_IC_qb0of3__VOL_qb2of3__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__VOL_qb2of3,C4_ROE_DYN_qmax8,0.29487947361530886,0.20650776845494145,0.08837170516036741,-0.40985528794184156,0.4863064396743153,11.61,21.333333333333332
PS_qb0of3__MOM_qb2of3__C4_ROE_DYN_qmax8__v0,PS_qb0of3__MOM_qb2of3,C4_ROE_DYN_qmax8,0.29484570162199697,0.1725570384302506,0.12228866319174636,-0.4209697150479742,0.5180164109882269,12.4,40.5098814229249
REVENUE_qb1of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,REVENUE_qb1of3__NETDEBT_EBITDA_qb2of3,C4_ROE_DYN_qmax8,0.29423098681594895,0.11592729137667823,0.17830369543927072,-0.42318163170829926,0.4876385336743393,12.18,19.991596638655462
P_IC_qb0of3__VOL_qb2of3__C18_FCF_P_DYN_qmax8__v0,P_IC_qb0of3__VOL_qb2of3,C18_FCF_P_DYN_qmax8,0.2939101730895908,0.20650776845494145,0.08740240463464932,-0.7677114600892415,0.4768976897689769,9.66,17.057915057915057
P_IC_qb0of3__VOL_qb2of3__C8_EPS_DYN_riseq1__v0,P_IC_qb0of3__VOL_qb2of3,C8_EPS_DYN_riseq1,0.29269444333988237,0.20650776845494145,0.08618667488494092,-0.65474483442382,0.49933739729658094,12.88,61.63673469387755
P_IC_qb0of3__VOL_qb2of3__C9_EPS_DYN_riseq2__v0,P_IC_qb0of3__VOL_qb2of3,C9_EPS_DYN_riseq2,0.29189682014608564,0.20650776845494145,0.08538905169114419,-0.6441017075813417,0.5067607289829512,13.39,62.60408163265306
NETDEBT_EBITDA_qb2of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,NETDEBT_EBITDA_qb2of3__CROIC_qb1of3,C4_ROE_DYN_qmax8,0.29180349996129107,0.11649742857001666,0.1753060713912744,-0.3179752864971619,0.514525993883792,13.39,19.180257510729614
P_IC_qb0of3__VOL_qb2of3__C11_EPS_DYN_qmax8__v0,P_IC_qb0of3__VOL_qb2of3,C11_EPS_DYN_qmax8,0.29148620656595914,0.20650776845494145,0.08497843811101768,-0.584192667659758,0.4617467840216655,12.02,23.23715415019763
MOM_qb2of3__None__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__None,C4_ROE_DYN_qmax8,0.28964925247849616,0.11856824252898823,0.17108100994950792,-0.4104764681422107,0.5062819916240112,12.97,86.07368421052631
PS_qb0of3__VOL_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,PS_qb0of3__VOL_qb2of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.2895070251677416,0.15811478322245298,0.13139224194528865,-0.6070147501959174,0.48458574181117536,15.9,66.22857142857143
REVENUE_qb1of3__EV_EBITDA_qb1of3__C4_ROE_DYN_qmax8__v0,REVENUE_qb1of3__EV_EBITDA_qb1of3,C4_ROE_DYN_qmax8,0.2839296666565392,0.12142052424466354,0.16250914241187564,-0.3544534227820494,0.503968253968254,16.27,26.568464730290458
NETDEBT_EBITDA_qb2of3__FCF_OI_qb1of3__C4_ROE_DYN_qmax8__v0,NETDEBT_EBITDA_qb2of3__FCF_OI_qb1of3,C4_ROE_DYN_qmax8,0.2830398370874829,0.1223965638209017,0.16064327326658123,-0.3398685026422458,0.5203442879499217,14.12,18.851063829787233
PB_qb0of3__VOL_qb2of3__C12_EPS_DYN_yoy__v0,PB_qb0of3__VOL_qb2of3,C12_EPS_DYN_yoy,0.28073603886999177,0.1823150297346725,0.09842100913531926,-0.620429006485028,0.4807692307692308,15.07,54.52479338842975
MOM_qb2of3__EV_EBITDA_qb0of3__C3_ROE_DYN_qmax4__v0,MOM_qb2of3__EV_EBITDA_qb0of3,C3_ROE_DYN_qmax4,0.28026342407340965,0.19063749535668162,0.08962592871672803,-0.5837122045216028,0.5188294010889292,14.15,63.070038910505836
P_IC_qb0of3__FCF_P_qb0of3__C3_ROE_DYN_qmax4__v0,P_IC_qb0of3__FCF_P_qb0of3,C3_ROE_DYN_qmax4,0.27932730881127954,0.17385292192184343,0.10547438688943611,-0.49042037020522045,0.4801314610098596,14.55,49.94285714285714
DEBTRATIO_qb2of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,DEBTRATIO_qb2of3__CROIC_qb1of3,C4_ROE_DYN_qmax8,0.27899528418964503,0.1242820978541912,0.15471318633545383,-0.36822696318855985,0.5100267379679144,14.28,21.435684647302903
MOM_qb2of3__DEBTRATIO_qb1of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__DEBTRATIO_qb1of3,C4_ROE_DYN_qmax8,0.2778272760473257,0.14781380080414097,0.13001347524318474,-0.452034198536417,0.5165105963528832,15.0,31.574468085106382
PS_qb0of3__VOL_qb1of3__C4_ROE_DYN_qmax8__v0,PS_qb0of3__VOL_qb1of3,C4_ROE_DYN_qmax8,0.27731308510122354,0.13520274871957372,0.14211033638164983,-0.5819905013790809,0.5138061721710883,12.71,26.10931174089069
