strategy,F組合,C,CAGR,None基準CAGR,C增益,max_drawdown,win_ratio,daily_sharpe,平均持股數
EV_S_qb0of3__DEBTRATIO_qb0of3__C17_FCF_P_DYN_qmax4__v0,EV_S_qb0of3__DEBTRATIO_qb0of3,C17_FCF_P_DYN_qmax4,0.21840865832710699,0.10228716598326537,0.11612149234384161,-0.24815794742323327,0.4576271186440678,134.72,29.42105263157895
EV_S_qb0of3__REVENUE_qb0of3__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v0,EV_S_qb0of3__REVENUE_qb0of3,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,0.21689527993348,0.185020676859164,0.031874603074316,-0.20410262126744672,0.5235602094240838,101.0,41.61764705882353
MOM_qb2of3__ROIC_qb2of3__C17_FCF_P_DYN_qmax4__v0,MOM_qb2of3__ROIC_qb2of3,C17_FCF_P_DYN_qmax4,0.21675676888900597,0.11668465297800812,0.10007211591099785,-0.28073980137319565,0.5138282387190685,133.54,55.36842105263158
EV_S_qb0of3__NETDEBT_EBITDA_qb0of3__C17_FCF_P_DYN_qmax4__v0,EV_S_qb0of3__NETDEBT_EBITDA_qb0of3,C17_FCF_P_DYN_qmax4,0.21495745529221177,0.12828527868128847,0.0866721766109233,-0.2843974525428187,0.4467713787085515,97.71,50.5
EV_S_qb0of3__PS_qb1of3__C12_EPS_DYN_yoy__v0,EV_S_qb0of3__PS_qb1of3,C12_EPS_DYN_yoy,0.2129846556943802,0.1494327236674522,0.06355193202692799,-0.28450172555954667,0.4813664596273292,144.36,43.88235294117647
MOM_qb2of3__PB_qb1of3__C17_FCF_P_DYN_qmax4__v0,MOM_qb2of3__PB_qb1of3,C17_FCF_P_DYN_qmax4,0.2119411979982031,0.1239109750667835,0.0880302229314196,-0.24466581788753505,0.46441947565543074,111.51,42.55263157894737
MOM_qb2of3__NETDEBT_EBITDA_qb0of3__C17_FCF_P_DYN_qmax4__v0,MOM_qb2of3__NETDEBT_EBITDA_qb0of3,C17_FCF_P_DYN_qmax4,0.21083437070470934,0.11953653739992554,0.0912978333047838,-0.2605284031300027,0.4383838383838384,123.25,41.78947368421053
EV_S_qb0of3__PS_qb1of3__C1_ROE_DYN_riseq1__v0,EV_S_qb0of3__PS_qb1of3,C1_ROE_DYN_riseq1,0.20901064309047568,0.1494327236674522,0.059577919423023484,-0.2282805307889666,0.4869215291750503,68.76,47.68181818181818
EV_S_qb0of3__REVENUE_qb0of3__C9_EPS_DYN_riseq2__v0,EV_S_qb0of3__REVENUE_qb0of3,C9_EPS_DYN_riseq2,0.20697813135694232,0.185020676859164,0.021957454497778306,-0.2559456033318037,0.46646341463414637,85.3,43.390243902439025
EV_S_qb0of3__REVENUE_qb0of3__C19_FCF_P_DYN_yoy__v0,EV_S_qb0of3__REVENUE_qb0of3,C19_FCF_P_DYN_yoy,0.20597217134202017,0.185020676859164,0.02095149448285616,-0.24386145626488354,0.48120300751879697,113.91,40.294117647058826
EV_S_qb0of3__PS_qb1of3__C16_FCF_P_DYN_riseq2__v0,EV_S_qb0of3__PS_qb1of3,C16_FCF_P_DYN_riseq2,0.20470429399386147,0.1494327236674522,0.05527157032640928,-0.2619026359846235,0.47890295358649787,85.85,48.146341463414636
MOM_qb2of3__EV_EBITDA_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,MOM_qb2of3__EV_EBITDA_qb0of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.20341630505952257,0.12258619904852153,0.08083010601100105,-0.24577938655475784,0.4519230769230769,141.73,104.3529411764706
EV_S_qb0of3__REV_G_qb2of3__C17_FCF_P_DYN_qmax4__v0,EV_S_qb0of3__REV_G_qb2of3,C17_FCF_P_DYN_qmax4,0.20318570075598186,0.09866234162717791,0.10452335912880395,-0.32487962552999794,0.48484848484848486,128.85,40.78947368421053
EV_S_qb0of3__REVENUE_qb0of3__C15_FCF_P_DYN_riseq1__v0,EV_S_qb0of3__REVENUE_qb0of3,C15_FCF_P_DYN_riseq1,0.20201789539811688,0.185020676859164,0.016997218538952863,-0.21847782071593502,0.4604966139954853,77.26,37.72727272727273
EV_S_qb0of3__PB_qb1of3__C17_FCF_P_DYN_qmax4__v0,EV_S_qb0of3__PB_qb1of3,C17_FCF_P_DYN_qmax4,0.20182607182767653,0.10150379242012786,0.10032227940754868,-0.3029247843539602,0.4666666666666667,113.7,45.078947368421055
MOM_qb2of3__PS_qb0of3__C17_FCF_P_DYN_qmax4__v0,MOM_qb2of3__PS_qb0of3,C17_FCF_P_DYN_qmax4,0.20093418689337783,0.12480219953312033,0.0761319873602575,-0.22453436444110386,0.4815436241610738,112.83,50.473684210526315
EV_S_qb0of3__PS_qb1of3__C8_EPS_DYN_riseq1__v0,EV_S_qb0of3__PS_qb1of3,C8_EPS_DYN_riseq1,0.19698723926911166,0.1494327236674522,0.047554515601659464,-0.2370696988646288,0.4839357429718876,75.32,47.65909090909091
MOM_qb2of3__EV_EBITDA_qb0of3__C17_FCF_P_DYN_qmax4__v0,MOM_qb2of3__EV_EBITDA_qb0of3,C17_FCF_P_DYN_qmax4,0.1962497315987881,0.12258619904852153,0.07366353255026659,-0.25012399281240727,0.4745762711864407,124.2,48.0
EV_S_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,EV_S_qb0of3__REVENUE_qb0of3,C10_EPS_DYN_qmax4,0.1954840112454812,0.185020676859164,0.010463334386317191,-0.26948471876855085,0.46320346320346323,101.7,23.894736842105264
