C_kind,mean,median,std,count
C9,0.10495458990922053,0.11580041367247507,0.061198998134746205,337
C11,0.10387872302179815,0.11476323380378806,0.07881110135096343,326
C7,0.10038996738421664,0.11173823568585395,0.07292751863968988,340
C2,0.09874838983262117,0.10918542093388828,0.06719229668986813,339
C10,0.1006199495370645,0.10615794336552109,0.06800351453247394,330
C8,0.09117105362258385,0.10551833916766085,0.07253452117378066,337
C4,0.09996712130613007,0.10530854464144168,0.07949847750876537,328
C1,0.09128297006316652,0.1034901509334768,0.06754563758631561,340
C14,0.09756233781162876,0.10296617266544694,0.06611078999182997,337
C3,0.09488492457176466,0.10154885105789013,0.07092895999876617,337
C12,0.08573249193933083,0.09396645022030559,0.066799739066314,338
C5,0.07822166869168365,0.08865574788182207,0.06760598134346298,340
C6,0.08114940840151284,0.08683809436566081,0.06487606272930103,340
C13,0.07892746794843483,0.08538323570469919,0.061669216885720496,338
None,0.07234644794384111,0.08378859707899167,0.0605966168125586,340
C20,0.06956301367131852,0.0788276516335299,0.0686795784363487,340
C19,0.06437760478821142,0.07699612404918443,0.07580807681418691,340
C15,0.06400019381455743,0.07274644692660959,0.07192164771802687,340
C16,0.05897873597376616,0.0688231546630872,0.07290671166303231,340
C17,0.03364355980561083,0.04271855102883171,0.07044403770618027,339
C18,0.03332012728004838,0.029561748530556597,0.06685466750802808,331
