strategy,primary,secondary,CAGR,primary_solo_CAGR,配對增益,max_drawdown,win_ratio,平均持股數,持股月份覆蓋率,持股數p10,晉升,未過原因
MOM_qb2of3__ACCRUAL_qb2of3__None__v0,MOM_qb2,ACCRUAL_qb2,0.11763516061125423,0.11806777849564609,-0.00043261788439186155,-0.6836105789188782,0.4709830563968241,149.59259259259258,1.0,78.0,True,
EV_S_qb1of3__ROE_qb2of3__None__v0,EV_S_qb1,ROE_qb2,0.11697884944628889,0.11690579369850362,7.305574778526669e-05,-0.5670381963761455,0.4878250786814643,153.3973063973064,1.0,74.0,True,
EV_S_qb1of3__None__None__v0,EV_S_qb1,（空集合）,0.11690579369850362,0.11690579369850362,0.0,-0.6197572699356556,0.49661498143699495,460.3164983164983,1.0,260.0,True,
PB_qb1of3__NETDEBT_EBITDA_qb0of3__None__v0,PB_qb1,NETDEBT_EBITDA_qb0,0.11680507484049185,0.10751637456446095,0.009288700276030903,-0.6274800287515389,0.4987696850393701,152.88552188552188,1.0,70.0,True,
EV_S_qb1of3__FCF_OI_qb2of3__None__v0,EV_S_qb1,FCF_OI_qb2,0.11669571151307889,0.11690579369850362,-0.00021008218542473145,-0.6551665634369508,0.47369991051009247,160.24579124579125,1.0,115.0,True,
EV_S_qb1of3__OCF_E_qb1of3__None__v0,EV_S_qb1,OCF_E_qb1,0.11661669962271093,0.11690579369850362,-0.0002890940757926952,-0.6218023202709251,0.4826258954346199,173.11111111111111,1.0,112.0,True,
EV_S_qb1of3__DEBTRATIO_qb1of3__None__v0,EV_S_qb1,DEBTRATIO_qb1,0.11604034731042145,0.11690579369850362,-0.0008654463880821694,-0.6211643699685019,0.4919658797857568,173.43771043771045,1.0,100.0,True,
EV_S_qb1of3__ACCRUAL_qb1of3__None__v0,EV_S_qb1,ACCRUAL_qb1,0.11564064478310487,0.11690579369850362,-0.0012651489153987505,-0.6232325771214301,0.4848815631481279,159.23232323232324,1.0,112.0,True,
P_IC_qb1of3__OCF_E_qb2of3__None__v0,P_IC_qb1,OCF_E_qb2,0.11536649529775045,0.10927398071020056,0.006092514587549891,-0.5844082230440799,0.4747364594692839,137.02693602693603,1.0,67.0,True,
PB_qb1of3__NETDEBT_EBITDA_qb1of3__None__v0,PB_qb1,NETDEBT_EBITDA_qb1,0.11518524454398116,0.10751637456446095,0.00766886997952021,-0.5943977859634052,0.4937229882691912,147.31986531986533,1.0,90.0,True,
ROE_qb2of3__ACCRUAL_qb0of3__None__v0,ROE_qb2,ACCRUAL_qb0,0.1151828149211398,0.1096895179268933,0.005493296994246499,-0.469112426150868,0.45535336436732965,146.57575757575756,1.0,88.0,True,
MOM_qb2of3__FCF_OI_qb0of3__None__v0,MOM_qb2,FCF_OI_qb0,0.11480569700354648,0.11806777849564609,-0.003262081492099611,-0.7001175314978499,0.4643503750323304,139.63636363636363,1.0,82.0,True,
PB_qb1of3__FCF_OI_qb1of3__None__v0,PB_qb1,FCF_OI_qb1,0.11455659643931759,0.10751637456446095,0.007040221874856645,-0.6002386534501534,0.4871370210886607,163.32323232323233,1.0,84.0,True,
P_IC_qb1of3__NETDEBT_EBITDA_qb1of3__None__v0,P_IC_qb1,NETDEBT_EBITDA_qb1,0.11425449559436518,0.10927398071020056,0.004980514884164622,-0.5999830759022444,0.4876,161.04040404040404,1.0,104.0,True,
EV_S_qb1of3__ROIC_qb2of3__None__v0,EV_S_qb1,ROIC_qb2,0.1141413742374382,0.11690579369850362,-0.002764419461065426,-0.5777161446227119,0.4855215531424811,163.07407407407408,1.0,80.0,True,
P_IC_qb1of3__FCF_P_qb1of3__None__v0,P_IC_qb1,FCF_P_qb1,0.1123350134573704,0.10927398071020056,0.003061032747169845,-0.6396841170742322,0.4844488405319266,151.4882154882155,1.0,81.0,True,
ROE_qb2of3__OCF_E_qb2of3__None__v0,ROE_qb2,OCF_E_qb2,0.11121481636596298,0.1096895179268933,0.0015252984390696778,-0.48888512770156045,0.45863413824578875,271.4208754208754,1.0,214.0,True,
