F1,k1,CAGR,max_drawdown,win_ratio,平均持股數,角色池,贏大盤,可當primary,可當secondary
EPS,0,0.26560293444647587,-0.5428774244157335,0.5657167963846347,588.7692307692307,primary,0.14208537226710272,True,True
REVENUE,0,0.26113072634453705,-0.4650407831161243,0.6277756868648852,589.25,primary,0.1376131641651639,True,True
EV_EBITDA,0,0.25599388902078135,-0.5693412546305765,0.5877140200207867,586.5865384615385,primary,0.1324763268414082,True,True
VOL,2,0.25285819442136814,-0.5896150294650706,0.5607757726612735,583.7307692307693,primary,0.129340632241995,True,True
PB,0,0.24792669849479632,-0.5806299598109389,0.6600412071264089,587.6634615384615,primary,0.12440913631542316,True,True
PS,0,0.24461023704239326,-0.5952503833016418,0.6707105719237435,578.9583333333334,primary,0.12109267486302011,True,True
ACCRUAL,0,0.2416909795257831,-0.5147904751885592,0.5433279428985669,608.8621794871794,primary,0.11817341734640996,True,True
EV_S,0,0.23313276131624505,-0.5867884365151597,0.652967380370743,578.9583333333334,primary,0.1096151991368719,True,True
ROIC,0,0.23271673984712682,-0.5568085182760159,0.5640691615348177,608.8653846153846,primary,0.10919917766775367,True,True
OCF_E,2,0.2237152181000417,-0.500400900021587,0.5594893786775705,609.7948717948718,primary,0.10019765592066854,True,True
ROE,0,0.22160804851507998,-0.5949553682916198,0.5634646015268853,589.1955128205128,primary,0.09809048633570683,True,True
NETDEBT_EBITDA,0,0.216130590957474,-0.49595866799787225,0.5805550381821568,574.9807692307693,primary,0.09261302877810085,True,True
CROIC,2,0.21148042991260296,-0.4911355411615572,0.5631205196378689,609.5641025641025,primary,0.08796286773322981,True,True
P_IC,0,0.2081868827440878,-0.6184759395496886,0.6771777690185258,587.6346153846154,primary,0.08466932056471466,True,True
DEBTRATIO,0,0.2003392721028312,-0.5054788136518225,0.5471556886227545,589.1923076923077,primary,0.07682170992345805,True,True
REV_G,2,0.197448584199321,-0.5238449042738933,0.5396197384327948,588.6987179487179,primary,0.07393102201994783,True,True
FCF_OI,2,0.19362484361283427,-0.5088226636138917,0.568692230595048,599.7724358974359,primary,0.07010728143346112,True,True
MOM,0,0.19300761625623375,-0.5916546531644109,0.589268464037938,589.5512820512821,primary,0.0694900540768606,True,True
FCF_P,2,0.192608634647216,-0.5292393407032314,0.5763032294055662,589.5641025641025,primary,0.06909107246784285,True,True
DEBTRATIO,2,0.1893628607641744,-0.5573732918363663,0.6138769993241721,589.8044871794872,primary,0.06584529858480126,True,True
FCF_P,0,0.18888422753630585,-0.5418690574232308,0.5536940499730362,588.9294871794872,primary,0.0653666653569327,True,True
CROIC,0,0.1855582949980068,-0.528092900823905,0.5526240831731112,608.8653846153846,primary,0.06204073281863365,True,True
REV_G,0,0.18452611969373822,-0.5937816043038369,0.5848477221243393,587.974358974359,primary,0.06100855751436507,True,True
ROE,2,0.18220226347162116,-0.4820054983371723,0.5529187413920966,589.8205128205128,primary,0.05868470129224801,True,True
FCF_OI,0,0.1818988266346524,-0.5322216031186835,0.5521440284707442,599.125,primary,0.05838126445527925,True,True
OCF_E,0,0.17986769852544482,-0.5344599159515675,0.5510917629314778,609.1378205128206,primary,0.056350136346071666,True,True
P_IC,1,0.17262268734172137,-0.5246545923271992,0.5791127541589649,587.974358974359,primary,0.04910512516234822,True,True
MOM,2,0.1709149143504185,-0.5425048263508443,0.5179710394759525,590.2147435897435,primary,0.04739735217104535,True,True
NETDEBT_EBITDA,2,0.16273191936113118,-0.5934385132465916,0.6037543358498265,575.650641025641,primary,0.03921435718175803,True,True
EV_S,1,0.1615394213063195,-0.5202510674640275,0.5810778056071746,579.2403846153846,primary,0.038021859126946334,True,True
DEBTRATIO,1,0.15900128548088444,-0.5271624761130896,0.5777407253022092,589.5096153846154,primary,0.03548372330151128,True,True
ROIC,2,0.15882188257301122,-0.481352464235673,0.5424793976403628,609.5673076923077,primary,0.03530432039363807,True,True
ACCRUAL,2,0.15755477900966564,-0.5292782677036207,0.5536614521074789,609.5641025641025,primary,0.03403721683029248,True,True
FCF_OI,1,0.1571723025719216,-0.5461557111406479,0.5648317950876349,599.4294871794872,primary,0.033654740392548455,True,True
REV_G,1,0.1561070689408699,-0.4908516554897805,0.5808289363003747,588.3269230769231,primary,0.032589506761496745,True,True
NETDEBT_EBITDA,1,0.1560424069562878,-0.5108020068854593,0.576316572448676,575.3012820512821,primary,0.03252484477691464,True,True
REVENUE,1,0.1555425319936541,-0.5705731956987472,0.5935586300748469,589.5608974358975,primary,0.032024969814280935,True,True
EPS,1,0.15387632968116116,-0.5033529519001356,0.574331299859221,589.349358974359,primary,0.03035876750178801,True,True
FCF_P,1,0.1534547550392218,-0.5276080899581082,0.5558226752572363,589.224358974359,primary,0.029937192859848638,True,True
PS,1,0.14877249053726738,-0.5296743611793304,0.5768833028398695,579.2371794871794,primary,0.025254928357894224,True,True
EV_EBITDA,1,0.14872946822528932,-0.5175490357350276,0.5920602327173169,586.8910256410256,primary,0.025211906045916166,True,True
ROIC,1,0.14823204742339935,-0.5457869361080754,0.5638935610471385,609.2339743589744,primary,0.024714485244026196,True,True
MOM,1,0.14692397093559828,-0.5189737077365472,0.5646468014987152,589.8846153846154,primary,0.023406408756225128,True,True
PB,1,0.1452505229196135,-0.5254387933348117,0.5563550921506718,588.0064102564103,primary,0.021732960740240337,True,True
P_IC,2,0.14508857664127173,-0.5072393811028935,0.45383360522022836,588.3237179487179,primary,0.021571014461898574,True,True
CROIC,1,0.13943504695814934,-0.5627964808747579,0.560765701629489,609.2371794871794,primary,0.015917484778776192,False,True
VOL,1,0.13884743171264913,-0.5859114100592868,0.5742678388436439,583.4294871794872,primary,0.015329869533275975,False,True
ROE,1,0.137364631456387,-0.5154080753028625,0.5706580835979296,589.5576923076923,primary,0.013847069277013846,False,True
ACCRUAL,1,0.13718364825923057,-0.543350626686968,0.5570314904092728,609.2403846153846,primary,0.01366608607985742,False,True
PB,2,0.1366685026616441,-0.5406504977622495,0.48326331481230517,588.3653846153846,primary,0.013150940482270945,False,True
OCF_E,1,0.13403660731959177,-0.5450564002033368,0.5625305623471882,609.4871794871794,primary,0.01051904514021862,False,True
REVENUE,2,0.13393484480116613,-0.5514434606801553,0.5376696303228825,589.8525641025641,primary,0.010417282621792978,False,True
PS,2,0.13040643850899958,-0.5286119977244057,0.48768618197905916,579.5705128205128,primary,0.0068888763296264255,False,True
EV_S,2,0.12991464798828445,-0.549442997760597,0.4987349307932728,579.5673076923077,primary,0.006397085808911296,False,True
VOL,0,0.12446720557868418,-0.4750974351497579,0.5888769670958512,583.0608974358975,primary,0.0009496433993110287,False,True
EPS,2,0.12442734117696341,-0.5447128396769898,0.5525086736055511,589.8365384615385,primary,0.0009097789975902604,False,True
EV_EBITDA,2,0.12046756363746747,-0.5573894213635832,0.5544723618090452,587.2339743589744,primary,-0.003049998541905685,False,True
