F1,k1,CAGR,max_drawdown,win_ratio,平均持股數,角色池,贏大盤,可當primary,可當secondary
P_IC,0,0.18180748761405363,-0.5713605856280459,0.6817834394904458,463.010101010101,primary,0.09506574511739507,True,True
PB,0,0.1813653578473695,-0.5768943950261596,0.6850670771937541,463.010101010101,primary,0.09462361535071095,True,True
PS,0,0.16620841805915898,-0.5642915094913403,0.5786202610316967,462.6363636363636,primary,0.07946667556250042,True,True
EV_S,0,0.15765702596425268,-0.5633380668436074,0.5770816158285244,460.2154882154882,primary,0.07091528346759413,True,True
EV_EBITDA,0,0.15064716102265807,-0.5737599554508981,0.49773462783171524,460.35690235690237,primary,0.06390541852599951,True,True
FCF_P,2,0.12567515980674515,-0.6039548276972119,0.4813273025657447,461.71380471380473,primary,0.03893341731008659,True,True
EV_EBITDA,1,0.12356383507689372,-0.5927523404080606,0.4938528241373166,460.53198653198655,primary,0.036822092580235166,True,True
MOM,2,0.11806777849564609,-0.6749403235113278,0.45593506219692176,434.9220779220779,primary,0.031326035998987534,True,True
NETDEBT_EBITDA,2,0.11778601592399163,-0.5911590883118479,0.5148460909833833,497.3063973063973,primary,0.03104427342733307,True,True
DEBTRATIO,2,0.11698700412155238,-0.5516048240193174,0.474744831196022,511.2121212121212,primary,0.030245261624893827,True,True
EV_S,1,0.11690579369850362,-0.6197572699356556,0.49661498143699495,460.3164983164983,primary,0.030164051201845066,True,True
FCF_OI,1,0.10989163129119928,-0.576924181233468,0.46005848201042504,503.7037037037037,primary,0.02314988879454072,True,True
ROE,2,0.1096895179268933,-0.5019894135854195,0.4582043343653251,511.2121212121212,primary,0.02294777543023474,True,True
P_IC,1,0.10927398071020056,-0.6080612428504042,0.5077608142493639,463.32996632996634,primary,0.022532238213542,True,True
PS,1,0.10831162240253711,-0.6206788459712123,0.48773690078037907,463.020202020202,primary,0.021569879905878553,True,True
OCF_E,2,0.10792679302177266,-0.544066802743969,0.46367096271948793,506.67003367003366,primary,0.021185050525114102,True,True
PB,1,0.10751637456446095,-0.6074961184260653,0.4971537001897533,463.32996632996634,primary,0.02077463206780239,True,True
ACCRUAL,0,0.10636680593739234,-0.5645716063073112,0.4557523816811417,506.04713804713805,primary,0.01962506344073378,False,True
ROIC,2,0.10505604288421111,-0.516654385221615,0.45209968095197034,511.2121212121212,primary,0.01831430038755255,False,True
OCF_E,1,0.10437267279244389,-0.5955875000527586,0.47133947133947135,506.5286195286195,primary,0.01763093029578533,False,True
ROIC,1,0.10419308686815976,-0.5892529149843367,0.47358490566037736,510.962962962963,primary,0.0174513443715012,False,True
NETDEBT_EBITDA,0,0.10323572627656574,-0.5980140604686823,0.51,496.64646464646466,primary,0.016493983779907184,False,True
ACCRUAL,1,0.10166432979979123,-0.6019818059895501,0.4677714146460339,506.5286195286195,primary,0.014922587303132673,False,True
DEBTRATIO,1,0.1010507758318886,-0.5871577329299873,0.46202943858277973,511.0,primary,0.014309033335230037,False,True
FCF_OI,2,0.0999354803809176,-0.6179713842139697,0.45878163944577754,504.013468013468,primary,0.013193737884259038,False,True
FCF_P,0,0.09987064883895647,-0.5990031547080754,0.45995264532984975,461.06734006734007,primary,0.013128906342297908,False,True
DEBTRATIO,0,0.09949932385621052,-0.5831867871313579,0.47715496938294866,510.62626262626264,primary,0.012757581359551962,False,True
ROE,1,0.09917292828372215,-0.5991987176752325,0.47485786830049126,510.962962962963,primary,0.012431185787063592,False,True
NETDEBT_EBITDA,1,0.0990534221085615,-0.5662582461190384,0.4514398974000233,497.050505050505,primary,0.012311679611902937,False,True
FCF_P,1,0.09629700998048984,-0.6365260875401146,0.47277042767350885,461.3636363636364,primary,0.009555267483831287,False,True
ROE,0,0.09376024590336063,-0.6198228392841544,0.46474976946936036,510.54882154882154,primary,0.00701850340670207,False,True
ROIC,0,0.09374972906904011,-0.6171582197666041,0.4677864126347456,510.54882154882154,primary,0.007007986572381553,False,True
FCF_OI,0,0.08486416982305767,-0.5612950367100733,0.4389158097939566,503.38047138047136,primary,-0.0018775726736008913,False,True
MOM,1,0.08403132886471498,-0.6160700934659336,0.5037487775725307,434.6331168831169,primary,-0.0027104136319435757,False,True
ACCRUAL,2,0.08394888055176253,-0.5920766848864192,0.44884742887980883,506.67003367003366,primary,-0.00279286194489603,False,True
OCF_E,0,0.08278311109875669,-0.616290136429144,0.447708269491748,506.04713804713805,primary,-0.003958631397901868,False,True
EV_S,2,0.07544328001949108,-0.6444176028859074,0.41171700790593957,460.6835016835017,primary,-0.011298462477167481,False,False
PS,2,0.07412776537170718,-0.640696136789326,0.42656916514320536,463.17845117845116,primary,-0.012613977124951381,False,False
EV_EBITDA,2,0.06175502325262383,-0.6662551171541351,0.45245486221095976,460.8552188552189,primary,-0.024986719244034727,False,False
PB,2,0.057497269240119886,-0.6445018161422393,0.36131687242798355,463.5993265993266,primary,-0.029244473256538672,False,False
P_IC,2,0.0563883475755631,-0.6481778967043184,0.36867013724562236,463.5993265993266,primary,-0.030353394921095456,False,False
MOM,0,0.05355289341883318,-0.6539820805872301,0.49896620561813776,434.32142857142856,primary,-0.03318884907782538,False,False
