F1,k1,CAGR,max_drawdown,win_ratio,平均持股數,角色池,贏大盤,可當primary,可當secondary
EPS,0,0.2652658902359273,-0.5417411279462454,0.5658423299020838,589.125,secondary,0.14175601734536403,False,True
REVENUE,0,0.26112168680381176,-0.4650407831161243,0.6271122793841533,589.2564102564103,secondary,0.1376118139132485,False,True
EV_EBITDA,0,0.2563621791341588,-0.5689588200677114,0.5881323489198796,586.4198717948718,secondary,0.13285230624359556,False,True
VOL,2,0.2531106287587148,-0.5883205614875159,0.5609452736318408,583.5897435897435,secondary,0.12960075586815156,False,True
PB,0,0.24810685252001274,-0.581639111022691,0.661896677176813,587.5,primary,0.12459697962944949,True,True
PS,0,0.2448726637138916,-0.5944347366663864,0.6717755928282244,578.7564102564103,primary,0.12136279082332835,True,True
ACCRUAL,0,0.24174979519951645,-0.514790475188559,0.5433885449779711,608.849358974359,secondary,0.1182399223089532,False,True
EV_S,0,0.233233900543095,-0.5866109051627698,0.6534923828686404,578.7596153846154,primary,0.10972402765253175,True,True
ROIC,0,0.23273760296901402,-0.5568085182760165,0.5640843402037432,608.849358974359,secondary,0.10922773007845077,False,True
OCF_E,2,0.22358325253138944,-0.5006857019431925,0.5595265800059842,609.7820512820513,secondary,0.10007337964082619,False,True
ROE,0,0.22160804851507998,-0.5949553682916198,0.5634646015268853,589.1955128205128,secondary,0.09809817562451673,False,True
NETDEBT_EBITDA,0,0.21611138529272655,-0.49595866799787225,0.5799664866877676,574.9647435897435,secondary,0.0926015124021633,False,True
CROIC,2,0.21144267385061943,-0.49113554116155733,0.563105815831987,609.5448717948718,secondary,0.08793280096005618,False,True
P_IC,0,0.2086141354225064,-0.618044825154177,0.6778193269041527,587.4839743589744,primary,0.08510426253194314,True,True
DEBTRATIO,0,0.2003392721028312,-0.5054788136518225,0.5471556886227545,589.1923076923077,secondary,0.07682939921226795,False,True
REV_G,2,0.19758966606621353,-0.524071803972187,0.5393536330658458,588.7628205128206,secondary,0.07407979317565028,False,True
FCF_OI,2,0.19361797098466083,-0.5088226636138917,0.5686973308089245,599.7596153846154,secondary,0.07010809809409757,False,True
MOM,0,0.19300761625623375,-0.5916546531644109,0.589268464037938,589.5512820512821,primary,0.0694977433656705,True,True
FCF_P,2,0.192608634647216,-0.5292393407032314,0.5763032294055662,589.5641025641025,secondary,0.06909876175665275,False,True
DEBTRATIO,2,0.1893628607641744,-0.5573732918363663,0.6138769993241721,589.8044871794872,secondary,0.06585298787361116,False,True
FCF_P,0,0.18888422753630585,-0.5418690574232308,0.5536940499730362,588.9294871794872,secondary,0.0653743546457426,False,True
CROIC,0,0.1855792694860383,-0.5280929008239079,0.5525800363234927,608.8461538461538,secondary,0.06206939659547506,False,True
REV_G,0,0.18455032501829782,-0.5932591228779119,0.5847137606364231,588.0865384615385,secondary,0.06104045212773457,False,True
ROE,2,0.18220226347162116,-0.4820054983371723,0.5529187413920966,589.8205128205128,secondary,0.05869239058105791,False,True
FCF_OI,0,0.18187392998197183,-0.5322216031186835,0.552120048857093,599.1185897435897,secondary,0.05836405709140857,False,True
OCF_E,0,0.17983764542802239,-0.5345151874943221,0.5512323883308765,609.125,secondary,0.05632777253745913,False,True
P_IC,1,0.17236760960399167,-0.5257768843965398,0.5760236620759774,587.7852564102565,primary,0.04885773671342841,True,True
MOM,2,0.1709149143504185,-0.5425048263508443,0.5179710394759525,590.2147435897435,primary,0.047405041459855246,True,True
NETDEBT_EBITDA,2,0.16269204636561163,-0.5934385132465916,0.6030596634370219,575.6410256410256,secondary,0.039182173475048376,False,True
EV_S,1,0.16184177890453855,-0.520305435422546,0.5814461339372371,579.1057692307693,primary,0.03833190601397529,True,True
DEBTRATIO,1,0.15900128548088444,-0.5271624761130896,0.5777407253022092,589.5096153846154,secondary,0.03549141259032118,False,True
ROIC,2,0.15881631197562673,-0.48135246423567224,0.5425557136083452,609.5448717948718,secondary,0.03530643908506348,False,True
ACCRUAL,2,0.15755480987553083,-0.5288583820777434,0.5536262022355082,609.5512820512821,secondary,0.03404493698496758,False,True
FCF_OI,1,0.15721592980761967,-0.5461557112058341,0.5649245203584531,599.4102564102565,secondary,0.033706056917056415,False,True
NETDEBT_EBITDA,1,0.15611528882321668,-0.5108020068854617,0.5763997323221057,575.2884615384615,secondary,0.032605415932653425,False,True
REV_G,1,0.1560691312591891,-0.4914626201490022,0.5804588910133843,588.4326923076923,secondary,0.03255925836862583,False,True
REVENUE,1,0.15549669371292296,-0.5705731956987472,0.5933816863100635,589.5673076923077,secondary,0.03198682082235971,False,True
EPS,1,0.1538671957389628,-0.5038161349494414,0.573721257625528,589.2916666666666,secondary,0.030357322848399537,False,True
FCF_P,1,0.1534547550392218,-0.5276080899581082,0.5558226752572363,589.224358974359,secondary,0.029944882148658536,False,True
PS,1,0.14900718788123002,-0.5305790966633326,0.5774008600095557,579.1057692307693,primary,0.025497314990666764,True,True
EV_EBITDA,1,0.1488832145877088,-0.5174968684070311,0.5923718232711749,586.7179487179487,secondary,0.025373341697145557,False,True
ROIC,1,0.14823560419796955,-0.5456148573447066,0.5639311742636595,609.2339743589744,secondary,0.024725731307406296,False,True
MOM,1,0.14692397093559828,-0.5189737077365472,0.5646468014987152,589.8846153846154,primary,0.023414098045035026,True,True
P_IC,2,0.14537831533409662,-0.5074545178168774,0.45368403855579154,588.1538461538462,primary,0.021868442443533365,True,True
