strategy,primary,secondary,CAGR,primary_solo_CAGR,配對增益,max_drawdown,win_ratio,平均持股數,持股月份覆蓋率,持股數p10,晉升,未過原因
EV_S_qb0of3__OCF_E_qb2of3__None__v0,EV_S_qb0,OCF_E_qb2,0.15462123639236114,0.15703616256886455,-0.002414926176503407,-0.5480216605028541,0.49704903959652325,161.2962962962963,1.0,77.0,True,
EV_S_qb0of3__NETDEBT_EBITDA_qb0of3__None__v0,EV_S_qb0,NETDEBT_EBITDA_qb0,0.15451356457625898,0.15703616256886455,-0.0025225979926055686,-0.5624340526254373,0.585321655089097,186.53872053872053,1.0,94.0,True,
EV_S_qb0of3__ACCRUAL_qb0of3__None__v0,EV_S_qb0,ACCRUAL_qb0,0.15433085717622674,0.15703616256886455,-0.0027053053926378023,-0.543958995319615,0.4886143163484121,162.996632996633,1.0,92.0,True,
EV_S_qb0of3__NETDEBT_EBITDA_qb2of3__None__v0,EV_S_qb0,NETDEBT_EBITDA_qb2,0.1541547522146991,0.15703616256886455,-0.002881410354165448,-0.5926369808794729,0.508424599831508,124.17845117845118,1.0,77.0,True,
MOM_qb2of3__EPS_qb2of3__None__v0,MOM_qb2,EPS_qb2,0.15408648242792378,0.11517070621059111,0.038915776217332665,-0.6442290966378208,0.49486561300116083,173.62626262626262,1.0,75.0,True,
OCF_E_qb2of3__EV_EBITDA_qb0of3__None__v0,OCF_E_qb2,EV_EBITDA_qb0,0.15339211904025563,0.10702478116805669,0.04636733787219893,-0.5126520422320688,0.49266223343269894,150.7003367003367,1.0,108.0,True,
MOM_qb2of3__REVENUE_qb1of3__None__v0,MOM_qb2,REVENUE_qb1,0.1522110922596498,0.11517070621059111,0.03704038604905868,-0.678037361289958,0.46353273479269647,146.96632996632997,1.0,102.0,True,
MOM_qb2of3__ACCRUAL_qb0of3__None__v0,MOM_qb2,ACCRUAL_qb0,0.15172057801880778,0.11517070621059111,0.03654987180821667,-0.6665732313705154,0.47812447006952685,140.9090909090909,1.0,101.0,True,
MOM_qb2of3__FCF_OI_qb1of3__None__v0,MOM_qb2,FCF_OI_qb1,0.1494073362333117,0.11517070621059111,0.03423663002272059,-0.654273371697033,0.48240385400506247,155.22222222222223,1.0,88.0,True,
MOM_qb2of3__ROIC_qb1of3__None__v0,MOM_qb2,ROIC_qb1,0.1489494323621996,0.11517070621059111,0.033778726151608485,-0.6336329785251416,0.48408313601683767,148.11111111111111,1.0,96.0,True,
MOM_qb2of3__CROIC_qb1of3__None__v0,MOM_qb2,CROIC_qb1,0.1431301231017299,0.11517070621059111,0.02795941689113879,-0.6597660779297234,0.4813058256264327,155.06397306397307,1.0,93.0,True,
PB_qb1of3__EPS_qb2of3__None__v0,PB_qb1,EPS_qb2,0.14276597951177594,0.1059915100055453,0.036774469506230645,-0.5339485296003008,0.5159800480325143,131.04713804713805,1.0,38.0,True,
MOM_qb2of3__ROE_qb1of3__None__v0,MOM_qb2,ROE_qb1,0.142453064325746,0.11517070621059111,0.027282358115154892,-0.645036845032225,0.4804154563858815,145.5185185185185,1.0,98.0,True,
P_IC_qb1of3__MOM_qb2of3__None__v0,MOM_qb2,P_IC_qb1,0.14135123829913576,0.11517070621059111,0.02618053208854465,-0.6761239040907139,0.46693735498839906,146.7037037037037,1.0,82.0,True,
P_IC_qb1of3__NETDEBT_EBITDA_qb0of3__None__v0,P_IC_qb1,NETDEBT_EBITDA_qb0,0.14111189279231584,0.10774864588230604,0.0333632469100098,-0.5928940296961107,0.5344827586206896,159.25252525252526,1.0,61.0,True,
