strategy,primary,secondary,CAGR,primary_solo_CAGR,配對增益,max_drawdown,win_ratio,平均持股數,持股月份覆蓋率,持股數p10,晉升,未過原因
EV_S_qb0of3__PB_qb1of3__None__v0,EV_S_qb0,PB_qb1,0.10150379242012786,0.10160886715511852,-0.00010507473499066222,-0.257089815780542,0.4625506072874494,203.12765957446808,1.0,194.0,True,
EV_S_qb0of3__NETDEBT_EBITDA_qb1of3__None__v0,EV_S_qb0,NETDEBT_EBITDA_qb1,0.10112184410158442,0.10160886715511852,-0.0004870230535340969,-0.24877566710519383,0.4562814070351759,210.14893617021278,1.0,201.8,True,
EV_S_qb0of3__OCF_E_qb0of3__None__v0,EV_S_qb0,OCF_E_qb0,0.10037125868050367,0.10160886715511852,-0.0012376084746148486,-0.28447899994241443,0.46018614270941055,184.59574468085106,1.0,163.0,True,
EV_S_qb0of3__P_IC_qb1of3__None__v0,EV_S_qb0,P_IC_qb1,0.09997336248748878,0.10160886715511852,-0.0016355046676297391,-0.26229119253724364,0.4670103092783505,233.10638297872342,1.0,225.4,True,
EV_S_qb0of3__DEBTRATIO_qb2of3__None__v0,EV_S_qb0,DEBTRATIO_qb2,0.09970084976840887,0.10160886715511852,-0.0019080173867096484,-0.25864105607636945,0.484573502722323,247.31914893617022,1.0,234.0,True,
EV_S_qb0of3__VOL_qb1of3__None__v0,EV_S_qb0,VOL_qb1,0.09902738078411644,0.10160886715511852,-0.002581486371002084,-0.2927432701773759,0.45840042941492215,205.9787234042553,1.0,191.0,True,
EV_S_qb0of3__REV_G_qb2of3__None__v0,EV_S_qb0,REV_G_qb2,0.09866234162717791,0.10160886715511852,-0.0029465255279406133,-0.2897765516771077,0.43794579172610554,191.2340425531915,1.0,180.6,True,
MOM_qb2of3__FCF_OI_qb1of3__None__v0,MOM_qb2,FCF_OI_qb1,0.0986297465296071,0.10205881692342578,-0.0034290703938186784,-0.2884247525746676,0.41043414812112367,208.89361702127658,1.0,192.0,True,
EV_S_qb0of3__VOL_qb0of3__None__v0,EV_S_qb0,VOL_qb0,0.0969959965704077,0.10160886715511852,-0.0046128705847108264,-0.19620789957817164,0.5130111524163569,243.08510638297872,1.0,217.0,True,
EV_S_qb0of3__ROIC_qb2of3__None__v0,EV_S_qb0,ROIC_qb2,0.09675519367418395,0.10160886715511852,-0.004853673480934573,-0.24533296872993826,0.43605546995377503,185.36170212765958,1.0,165.0,True,
