strategy,primary,secondary,CAGR,primary_solo_CAGR,配對增益,max_drawdown,win_ratio,平均持股數,晉升,未過原因
P_IC_qb1of3__EPS_qb1of3__None__v0,P_IC_qb1,EPS_qb1,0.1553997665807394,0.17262268734172137,-0.017222920760981975,-0.5343790745440498,0.5858092259577795,197.97756410256412,False,配對後退步過多
VOL_qb1of3__ACCRUAL_qb0of3__None__v0,—,—,0.1553731439750603,,,-0.6136865291481558,0.5601404266810694,187.31730769230768,False,兩邊都不具 primary 資格
OCF_E_qb2of3__CROIC_qb1of3__None__v0,—,—,0.15530460120207978,,,-0.6058993756361973,0.5583134988099286,135.51282051282053,False,兩邊都不具 primary 資格
CROIC_qb0of3__REV_G_qb1of3__None__v0,—,—,0.15528505598904907,,,-0.5242431486372585,0.5573035475497522,140.77884615384616,False,兩邊都不具 primary 資格
OCF_E_qb1of3__CROIC_qb2of3__None__v0,—,—,0.1552486264380697,,,-0.5095536690001665,0.5586355529131986,164.19871794871796,False,兩邊都不具 primary 資格
CROIC_qb0of3__NETDEBT_EBITDA_qb1of3__None__v0,—,—,0.15524146645313142,,,-0.5324440034976272,0.5462348809988294,134.00641025641025,False,兩邊都不具 primary 資格
DEBTRATIO_qb0of3__NETDEBT_EBITDA_qb2of3__None__v0,—,—,0.15522203402520796,,,-0.6614843987960919,0.5773263433813892,35.25,False,兩邊都不具 primary 資格
REVENUE_qb1of3__MOM_qb2of3__None__v0,REVENUE_qb1,MOM_qb2,0.1552125801496227,0.1555425319936541,-0.0003299518440313953,-0.5757268387058116,0.5315190748538747,195.82692307692307,False,配對後退步過多
P_IC_qb2of3__EV_S_qb1of3__None__v0,EV_S_qb1,P_IC_qb2,0.1551080173815973,0.1615394213063195,-0.00643140392472219,-0.5020648285330442,0.5567331670822943,211.8846153846154,False,配對後退步過多
REV_G_qb0of3__NETDEBT_EBITDA_qb1of3__None__v0,—,—,0.15500071180736152,,,-0.5893053001983137,0.5789015769439912,173.52564102564102,False,兩邊都不具 primary 資格
EPS_qb1of3__MOM_qb2of3__None__v0,EPS_qb1,MOM_qb2,0.154967481537714,0.15387632968116116,0.001091151856552841,-0.5251243217803507,0.5484901917566674,191.6346153846154,False,配對後退步過多
EV_EBITDA_qb1of3__DEBTRATIO_qb2of3__None__v0,EV_EBITDA_qb1,DEBTRATIO_qb2,0.15472031177272938,0.14872946822528932,0.005990843547440061,-0.5698758920525488,0.5943951224729918,201.6346153846154,False,配對後退步過多
REVENUE_qb0of3__ROE_qb1of3__None__v0,REVENUE_qb0,ROE_qb1,0.15458592062613707,0.26113072634453705,-0.10654480571839997,-0.4781724304671775,0.5614529513073431,182.0801282051282,False,配對後退步過多
REVENUE_qb1of3__NETDEBT_EBITDA_qb0of3__None__v0,REVENUE_qb1,NETDEBT_EBITDA_qb0,0.15437539993322935,0.1555425319936541,-0.001167132060424736,-0.5206484727123043,0.5791666666666667,188.96794871794873,False,配對後退步過多
P_IC_qb1of3__REV_G_qb1of3__None__v0,P_IC_qb1,REV_G_qb1,0.15429752775784022,0.17262268734172137,-0.018325159583881145,-0.5082746161663485,0.586628262197783,206.15705128205127,False,配對後退步過多
P_IC_qb2of3__NETDEBT_EBITDA_qb0of3__None__v0,P_IC_qb2,NETDEBT_EBITDA_qb0,0.15422207927585707,0.14508857664127173,0.009133502634585344,-0.5041791562182889,0.5009708737864078,297.83012820512823,False,配對後退步過多
PB_qb1of3__FCF_OI_qb0of3__None__v0,PB_qb1,FCF_OI_qb0,0.15421176304330664,0.1452505229196135,0.008961240123693148,-0.52802330765001,0.5490724347625279,189.28205128205127,False,配對後退步過多
EV_EBITDA_qb1of3__FCF_P_qb0of3__None__v0,EV_EBITDA_qb1,FCF_P_qb0,0.15420623792343058,0.14872946822528932,0.0054767696981412595,-0.5553148510838164,0.5781263247138618,131.33653846153845,False,配對後退步過多
PS_qb1of3__CROIC_qb0of3__None__v0,PS_qb1,CROIC_qb0,0.15411867154022207,0.14877249053726738,0.0053461810029546974,-0.5412983276387733,0.5661305914403726,149.08653846153845,False,配對後退步過多
REV_G_qb1of3__FCF_OI_qb0of3__None__v0,—,—,0.1540294332543497,,,-0.5220337979394916,0.5534729045423626,148.05128205128204,False,兩邊都不具 primary 資格
MOM_qb2of3__FCF_OI_qb1of3__None__v0,—,—,0.1540082723096532,,,-0.5799555740111996,0.539480065961781,201.1698717948718,False,兩邊都不具 primary 資格
ROIC_qb0of3__ROE_qb1of3__None__v0,—,—,0.15387290139401388,,,-0.5600435990397561,0.567069660333909,74.78525641025641,False,兩邊都不具 primary 資格
ROIC_qb2of3__NETDEBT_EBITDA_qb1of3__None__v0,—,—,0.15373638897293063,,,-0.4808865511260857,0.571609288876841,292.1025641025641,False,兩邊都不具 primary 資格
ACCRUAL_qb2of3__DEBTRATIO_qb1of3__None__v0,—,—,0.15368021325768932,,,-0.5228815229169805,0.56638714185884,202.36217948717947,False,兩邊都不具 primary 資格
PS_qb1of3__MOM_qb0of3__None__v0,PS_qb1,MOM_qb0,0.1535601848546888,0.14877249053726738,0.0047876943174214315,-0.6101343788288984,0.5950478266133915,177.25,False,配對後退步過多
FCF_P_qb1of3__None__None__v0,FCF_P_qb1,（空集合）,0.1534547550392218,0.1534547550392218,0.0,-0.5276080899581082,0.5558226752572363,589.224358974359,False,primary 單獨不夠強
CROIC_qb1of3__MOM_qb0of3__None__v0,—,—,0.15344549397533536,,,-0.641110665682766,0.5685056631348191,181.31410256410257,False,兩邊都不具 primary 資格
EPS_qb1of3__OCF_E_qb0of3__None__v0,EPS_qb1,OCF_E_qb0,0.15343226081194516,0.15387632968116116,-0.00044406886921599664,-0.5066412529052389,0.564080814312153,147.25320512820514,False,配對後退步過多
EV_S_qb2of3__DEBTRATIO_qb2of3__None__v0,—,—,0.15338104869483038,,,-0.5863978457764462,0.5605055292259083,211.87179487179486,False,兩邊都不具 primary 資格
PB_qb1of3__ROIC_qb0of3__None__v0,PB_qb1,ROIC_qb0,0.15335262495317314,0.1452505229196135,0.008102102033559655,-0.5563363578830447,0.5383062254627033,155.5,False,配對後退步過多
VOL_qb0of3__EV_EBITDA_qb0of3__None__v0,EV_EBITDA_qb0,VOL_qb0,0.153268253146972,0.25599388902078135,-0.10272563587380934,-0.5103031776789921,0.5880722891566265,107.6698717948718,False,配對後退步過多
