strategy,primary,secondary,CAGR,primary_solo_CAGR,配對增益,max_drawdown,win_ratio,平均持股數,晉升,未過原因
PS_qb2of3__REVENUE_qb2of3__None__v0,—,—,0.07046694835685408,,,-0.6103510194843964,0.45591739475774423,99.73469387755102,False,兩邊都不具 primary 資格
EV_S_qb2of3__REV_G_qb0of3__None__v0,—,—,0.07046456209856977,,,-0.6906743106016242,0.45131999327391964,191.35622317596565,False,兩邊都不具 primary 資格
OCF_E_qb1of3__CROIC_qb0of3__None__v0,—,—,0.07027403233862617,,,-0.5768588438124311,0.4373732921992067,152.92446043165467,False,兩邊都不具 primary 資格
P_IC_qb2of3__NETDEBT_EBITDA_qb0of3__None__v0,—,—,0.0702438795199174,,,-0.645953227456253,0.445017648655987,243.4734693877551,False,兩邊都不具 primary 資格
EV_S_qb2of3__REVENUE_qb2of3__None__v0,—,—,0.07020728837073587,,,-0.6236185358868465,0.4517512508934953,94.88571428571429,False,兩邊都不具 primary 資格
MOM_qb1of3__CROIC_qb2of3__None__v0,—,—,0.07020177365101432,,,-0.6377951411050926,0.4867780097425191,134.727868852459,False,兩邊都不具 primary 資格
FCF_OI_qb0of3__FCF_P_qb1of3__None__v0,—,—,0.07003586912099569,,,-0.4814406532670963,0.30335403726708077,54.85064935064935,False,兩邊都不具 primary 資格
FCF_P_qb1of3__CROIC_qb0of3__None__v0,—,—,0.06997976107983117,,,-0.3929279264051774,0.25379113018598,46.68646864686469,False,兩邊都不具 primary 資格
EV_S_qb2of3__FCF_OI_qb2of3__None__v0,—,—,0.0699032191762845,,,-0.6564367423835271,0.44160199290984,198.94718309859155,False,兩邊都不具 primary 資格
ROIC_qb1of3__EPS_qb2of3__None__v0,—,—,0.06980214361736126,,,-0.5973850060519325,0.4748764415156507,89.02076124567473,False,兩邊都不具 primary 資格
PB_qb1of3__VOL_qb2of3__None__v0,—,—,0.06973723517603925,,,-0.7368807012218126,0.4567340762140597,132.12211221122112,False,兩邊都不具 primary 資格
EPS_qb0of3__FCF_OI_qb1of3__None__v0,—,—,0.06968317551087044,,,-0.5242426139563486,0.3481511013654939,164.1986301369863,False,兩邊都不具 primary 資格
ROIC_qb0of3__OCF_E_qb1of3__None__v0,—,—,0.0696375066313224,,,-0.5671815178247295,0.3605548410802866,172.08219178082192,False,兩邊都不具 primary 資格
ROIC_qb1of3__FCF_P_qb1of3__None__v0,—,—,0.06954099581276707,,,-0.6246197806380696,0.38405981816636925,166.2012987012987,False,兩邊都不具 primary 資格
OCF_E_qb0of3__CROIC_qb0of3__None__v0,—,—,0.06953106396528641,,,-0.6170496758109225,0.40168838619785263,168.5194805194805,False,兩邊都不具 primary 資格
MOM_qb1of3__FCF_P_qb0of3__None__v0,—,—,0.0694983519937642,,,-0.6293915633217126,0.4823765402617251,132.20143884892087,False,兩邊都不具 primary 資格
P_IC_qb1of3__VOL_qb2of3__None__v0,—,—,0.0694871879402319,,,-0.7172391657489403,0.4554057929452251,129.66996699669966,False,兩邊都不具 primary 資格
EV_S_qb1of3__OCF_E_qb0of3__None__v0,—,—,0.06946077001658746,,,-0.6514227435358402,0.4102592883600853,129.33766233766235,False,兩邊都不具 primary 資格
FCF_OI_qb2of3__VOL_qb2of3__None__v0,—,—,0.06924965755071688,,,-0.7631155075928774,0.4544971859403207,124.19344262295083,False,兩邊都不具 primary 資格
EPS_qb0of3__CROIC_qb0of3__None__v0,—,—,0.06909501676408314,,,-0.6063433132637619,0.40005330490405117,171.64285714285714,False,兩邊都不具 primary 資格
PS_qb2of3__FCF_P_qb2of3__None__v0,—,—,0.06909153100340881,,,-0.6335310480842131,0.449181626187962,129.4718309859155,False,兩邊都不具 primary 資格
EV_S_qb2of3__FCF_P_qb2of3__None__v0,—,—,0.06907099920524229,,,-0.639707641976081,0.44955527318932653,136.89788732394365,False,兩邊都不具 primary 資格
