因子桶,單獨,單獨持股,小型,小型持股,中型,中型持股,大型,大型持股,小型超額,中大型最佳,中大型超額,規模落差,判定
PS_qb0,0.2446102370423932,578.9583333333334,0.4926633903879303,93.84294871794872,0.2284324649873672,199.59615384615384,0.1713243121118421,268.33012820512823,0.3691458282085571,0.2284324649873672,0.10491490280799404,0.2642309254005631,✅ 撐得住規模控制
EV_EBITDA_qb0,0.2559938890207813,586.5865384615385,0.3110251543949873,266.3333333333333,0.2243363662171755,144.47115384615384,0.1823106889803749,150.4647435897436,0.18750759221561414,0.2243363662171755,0.10081880403780236,0.08668878817781178,✅ 撐得住規模控制
EV_S_qb0,0.233132761316245,578.9583333333334,0.4025223578951269,116.33333333333331,0.2156394790819495,200.1602564102564,0.1689727754121395,247.45192307692307,0.27900479571575376,0.2156394790819495,0.09212191690257635,0.18688287881317742,✅ 撐得住規模控制
PB_qb0,0.2479266984947963,587.6634615384615,0.3322547663786896,229.9198717948718,0.2053392636073605,177.57371794871796,0.1747078657395009,154.1602564102564,0.20873720419931646,0.2053392636073605,0.08182170142798734,0.12691550277132913,✅ 撐得住規模控制
P_IC_qb0,0.2081868827440878,587.6346153846154,0.2480822551224788,205.6217948717949,0.1992369907474001,166.4198717948718,0.171115383007125,191.7852564102564,0.12456469294310565,0.1992369907474001,0.07571942856802694,0.04884526437507872,✅ 撐得住規模控制
VOL_qb2,0.2528581944213681,583.7307692307693,0.3096456973918329,288.5705128205128,0.191867245431397,180.16346153846155,0.1695232235980839,90.30448717948718,0.18612813521245974,0.191867245431397,0.06834968325202384,0.1177784519604359,✅ 撐得住規模控制
EPS_qb0,0.2656029344464758,588.7692307692307,0.3152367198806327,324.7019230769231,0.1896181714481262,172.55769230769232,0.173742784836294,91.50320512820512,0.19171915770125952,0.1896181714481262,0.06610060926875305,0.12561854843250647,✅ 撐得住規模控制
FCF_P_qb2,0.192608634647216,589.5641025641025,0.2530136580110038,164.44871794871796,0.1806381241995742,200.08333333333331,0.150716330794123,225.03205128205127,0.12949609583163063,0.1806381241995742,0.05712056202020105,0.07237553381142958,✅ 撐得住規模控制
ACCRUAL_qb0,0.2416909795257831,608.8621794871794,0.3752868464974905,197.60576923076923,0.1785641117717225,207.63141025641025,0.146520927343881,181.50641025641025,0.25176928431811735,0.1785641117717225,0.055046549592349336,0.196722734725768,✅ 撐得住規模控制
OCF_E_qb2,0.2237152181000417,609.7948717948718,0.4300643407662736,112.76282051282053,0.1766976875972563,197.63782051282053,0.1403815538703536,278.75961538461536,0.30654677858690044,0.1766976875972563,0.05318012541788314,0.2533666531690173,✅ 撐得住規模控制
CROIC_qb2,0.2114804299126029,609.5641025641025,0.3562590647003871,113.7948717948718,0.1725381297979722,229.03205128205127,0.1413162287605986,247.59935897435895,0.23274150252101394,0.1725381297979722,0.04902056761859905,0.1837209349024149,✅ 撐得住規模控制
DEBTRATIO_qb2,0.1893628607641744,589.8044871794872,0.2950488221112319,133.29807692307693,0.1648554350673696,214.70833333333331,0.1482263330268924,241.79807692307693,0.17153125993185875,0.1648554350673696,0.04133787288799645,0.1301933870438623,✅ 撐得住規模控制
ROE_qb2,0.1822022634716211,589.8205128205128,0.3229272990656306,116.24358974358974,0.163587543767564,187.43269230769232,0.128075992283019,286.1442307692308,0.19940973688625746,0.163587543767564,0.040069981588190834,0.15933975529806663,✅ 撐得住規模控制
ROIC_qb0,0.2327167398471268,608.8653846153846,0.2804499659613317,327.06089743589746,0.1606056465756868,156.66666666666666,0.1416311145349573,100.34615384615384,0.15693240378195855,0.1606056465756868,0.03708808439631364,0.11984431938564491,✅ 撐得住規模控制
NETDEBT_EBITDA_qb1,0.1560424069562878,575.3012820512821,0.2256577145473592,87.14423076923077,0.1600075053547682,188.0544871794872,0.1317989896297891,281.0993589743589,0.10214015236798604,0.1600075053547682,0.036489943175395056,0.06565020919259099,✅ 撐得住規模控制
ROE_qb0,0.2216080485150799,589.1955128205128,0.2743282919100369,290.8397435897436,0.1591241210420848,181.98076923076923,0.1435071426121399,116.36858974358974,0.15081072973066373,0.1591241210420848,0.035606558862711635,0.1152041708679521,✅ 撐得住規模控制
FCF_OI_qb1,0.1571723025719216,599.4294871794872,0.2183813145336048,100.25,0.1588226002997892,215.1442307692308,0.1320442928717256,266.8333333333333,0.09486375235423164,0.1588226002997892,0.03530503812041605,0.05955871423381559,✅ 撐得住規模控制
REV_G_qb1,0.1561070689408699,588.3269230769231,0.198354284233224,128.88141025641025,0.158503569600042,201.15705128205127,0.1312712676739238,242.71794871794876,0.07483672205385083,0.158503569600042,0.034986007420668847,0.03985071463318199,✅ 撐得住規模控制
MOM_qb0,0.1930076162562337,589.5512820512821,0.2623437148990251,210.78846153846155,0.1573627087148452,188.4294871794872,0.1375499749681792,166.84615384615384,0.13882615271965193,0.1573627087148452,0.03384514653547205,0.10498100618417988,✅ 撐得住規模控制
ROIC_qb2,0.1588218825730112,609.5673076923077,0.2322399527993908,103.75320512820512,0.1561877847664925,219.75641025641025,0.1252484240762805,265.7852564102564,0.10872239062001765,0.1561877847664925,0.03267022258711935,0.0760521680328983,✅ 撐得住規模控制
MOM_qb2,0.1709149143504185,590.2147435897435,0.2282820024910026,180.2467948717949,0.1552125801496227,195.82692307692307,0.1312572349161844,190.43589743589743,0.10476444031162946,0.1552125801496227,0.03169501797024954,0.07306942234137992,✅ 撐得住規模控制
NETDEBT_EBITDA_qb0,0.216130590957474,574.9807692307693,0.2891875420535996,249.8653846153846,0.1543753999332293,188.96794871794876,0.1181682426218628,117.37820512820512,0.16566997987422644,0.1543753999332293,0.030857837753856143,0.1348121421203703,✅ 撐得住規模控制
FCF_P_qb0,0.1888842275363058,588.9294871794872,0.2341443973946151,279.6602564102564,0.1523045902970026,167.25320512820514,0.1265924581640651,142.00641025641025,0.11062683521524194,0.1523045902970026,0.028787028117629454,0.08183980709761249,✅ 撐得住規模控制
FCF_OI_qb0,0.1818988266346524,599.125,0.2313767791545851,254.4551282051282,0.1517221416535747,172.13782051282053,0.1231567801313588,148.45192307692307,0.10785921697521195,0.1517221416535747,0.028204579474201547,0.0796546375010104,✅ 撐得住規模控制
EV_EBITDA_qb1,0.1487294682252893,586.8910256410256,0.1945864006964306,110.57692307692308,0.1515505469786973,206.823717948718,0.1252010676468966,252.72435897435895,0.07106883851705745,0.1515505469786973,0.028032984799324145,0.0430358537177333,✅ 撐得住規模控制
CROIC_qb0,0.1855582949980068,608.8653846153846,0.228590279524018,282.2980769230769,0.1513267343485582,164.80769230769232,0.125686903048263,137.5352564102564,0.10507271734464485,0.1513267343485582,0.027809172169185048,0.0772635451754598,✅ 撐得住規模控制
