因子桶,單獨,單獨持股,小型,小型持股,中型,中型持股,大型,大型持股,小型超額,中大型最佳,中大型超額,規模落差,判定
P_IC_qb0,0.1818074876140536,463.010101010101,0.2405530303908203,95.42424242424242,0.1848484363427456,152.2962962962963,0.1417353826156537,215.2895622895623,0.15381128789416174,0.1848484363427456,0.09810669384608703,0.05570459404807471,✅ 撐得住規模控制
PB_qb0,0.1813653578473695,463.010101010101,0.2017136101252761,122.03367003367003,0.1792315276696701,160.43097643097644,0.1520231970711398,180.54545454545453,0.11497186762861755,0.1792315276696701,0.09248978517301154,0.02248208245560601,✅ 撐得住規模控制
PS_qb0,0.1662084180591589,462.6363636363636,0.2095689024040155,54.168350168350166,0.173368966049987,165.65319865319864,0.1395410175142739,242.8148148148148,0.12282715990735693,0.173368966049987,0.08662722355332844,0.03619993635402849,✅ 撐得住規模控制
EV_S_qb0,0.1576570259642526,460.2154882154882,0.2016024825109346,70.48484848484848,0.1640360544217574,159.6161616161616,0.1296950144579989,230.1144781144781,0.11486074001427604,0.1640360544217574,0.07729431192509884,0.037566428089177206,✅ 撐得住規模控制
MOM_qb2,0.118067778495646,434.9220779220779,0.1185733257946679,124.6969696969697,0.1581004528320575,146.77777777777777,0.1318893851594362,172.21548821548822,0.031831583298009336,0.1581004528320575,0.07135871033539895,-0.039527127037389614,✅ 撐得住規模控制
EV_EBITDA_qb0,0.150647161022658,460.3569023569024,0.1385560092355708,175.55218855218854,0.1501010774125857,130.16498316498317,0.1369347259500659,154.63973063973063,0.051814266738912235,0.1501010774125857,0.06335933491592713,-0.011545068177014894,✅ 撐得住規模控制
FCF_P_qb2,0.1256751598067451,461.71380471380473,0.1191004391873011,120.1818181818182,0.1246798678761049,161.12794612794613,0.1168857199752577,180.4040404040404,0.032358696690642536,0.1246798678761049,0.03793812537944634,-0.005579428688803803,✅ 撐得住規模控制
EV_EBITDA_qb1,0.1235638350768937,460.53198653198655,0.1351121908033663,91.42087542087542,0.1219201769492566,173.6127946127946,0.1137569578810084,195.4983164983165,0.04837044830670775,0.1219201769492566,0.03517843445259804,0.013192013854109716,✅ 撐得住規模控制
VOL_qb0,0.0953726436786717,430.27272727272725,0.1389607096764067,100.05387205387206,0.1193222338897415,149.75420875420875,0.0931853482064064,189.5084175084175,0.05221896717974814,0.1193222338897415,0.032580491393082944,0.019638475786665194,✅ 撐得住規模控制
NETDEBT_EBITDA_qb2,0.1177860159239916,497.3063973063973,0.1127393085726791,131.96969696969697,0.1172113085643566,171.13804713804714,0.1058165733122409,194.1986531986532,0.025997566076020537,0.1172113085643566,0.030469566067698045,-0.004471999991677508,✅ 撐得住規模控制
EPS_qb1,0.1086612443331949,510.5218855218855,0.0936816180451083,149.32996632996634,0.1162108101973016,186.66329966329965,0.1075952603372627,174.45454545454547,0.006939875548449742,0.1162108101973016,0.029469067700643045,-0.022529192152193303,✅ 撐得住規模控制
DEBTRATIO_qb2,0.1169870041215523,511.2121212121212,0.1260571987270953,111.53535353535354,0.1122155285133004,155.56565656565655,0.1087012973797991,243.996632996633,0.03931545623043675,0.1122155285133004,0.02547378601664184,0.013841670213794913,✅ 撐得住規模控制
OCF_E_qb2,0.1079267930217726,506.67003367003366,0.1026195672610856,116.44444444444444,0.1029754459761034,182.83838383838383,0.1119988093759096,207.3872053872054,0.015877824764427048,0.1119988093759096,0.02525706687925104,-0.009379242114823994,✅ 撐得住規模控制
ROIC_qb1,0.1041930868681597,510.962962962963,0.0914548093340776,127.33670033670032,0.1060536201993358,178.45117845117846,0.1095252944617557,205.1010101010101,0.004713066837419039,0.1095252944617557,0.02278355196509714,-0.0180704851276781,✅ 撐得住規模控制
EV_S_qb1,0.1169057936985036,460.3164983164983,0.1306327330625623,127.07407407407408,0.1094989736255367,170.21885521885525,0.1028157592482061,163.02356902356902,0.04389099056590373,0.1094989736255367,0.022757231128878147,0.021133759437025584,✅ 撐得住規模控制
CROIC_qb1,0.1130077406541303,504.55555555555554,0.1079448181858255,167.15488215488216,0.1076748013383761,171.78451178451178,0.1093566876882727,165.6161616161616,0.021203075689166948,0.1093566876882727,0.02261494519161414,-0.0014118695024471911,✅ 撐得住規模控制
FCF_OI_qb1,0.1098916312911992,503.7037037037037,0.1084913165294954,132.94612794612794,0.1034394193672669,179.4006734006734,0.1092074656927459,191.3569023569024,0.021749574032836838,0.1092074656927459,0.022465723196087348,-0.0007161491632505096,✅ 撐得住規模控制
VOL_qb1,0.0884970604188455,430.6818181818182,0.1201364008201344,123.61616161616162,0.1087606502151878,147.1043771043771,0.095430385314124,168.8080808080808,0.03339465832347584,0.1087606502151878,0.02201890771852924,0.011375750604946597,✅ 撐得住規模控制
ROE_qb2,0.1096895179268933,511.2121212121212,0.1081068368388797,110.7912457912458,0.1082009985537975,187.7205387205387,0.1061276470085985,212.7003367003367,0.02136509434222114,0.1082009985537975,0.021459256057138942,-9.41617149178009e-05,✅ 撐得住規模控制
ACCRUAL_qb0,0.1063668059373923,506.0471380471381,0.0949491183947797,168.93265993265993,0.105158262221723,169.15151515151516,0.1080382011923819,167.96296296296296,0.008207375898121136,0.1080382011923819,0.021296458695723344,-0.013089082797602208,✅ 撐得住規模控制
PS_qb1,0.1083116224025371,463.020202020202,0.1240555168142167,137.13804713804714,0.107030439626202,172.76430976430976,0.0869808399910545,153.11784511784512,0.03731377431755814,0.107030439626202,0.02028869712954344,0.0170250771880147,✅ 撐得住規模控制
ROIC_qb2,0.1050560428842111,511.2121212121212,0.0975144569152877,130.97306397306397,0.1045968766219824,194.63636363636363,0.1033758537628151,185.6026936026936,0.010772714418629148,0.1045968766219824,0.017855134125323843,-0.007082419706694695,⚠️ 勉強（中大型僅小贏基準）
ROE_qb1,0.0991729282837221,510.962962962963,0.0842740635484995,137.65656565656565,0.1042147041552556,181.41750841750843,0.1033734647781021,191.8148148148148,-0.002467678948159052,0.1042147041552556,0.017472961658597047,-0.0199406406067561,⚠️ 勉強（中大型僅小贏基準）
OCF_E_qb1,0.1043726727924438,506.5286195286195,0.099189114849385,169.12121212121212,0.1040522382965158,174.40740740740742,0.1004970914246659,163.0,0.012447372352726443,0.1040522382965158,0.017310495799857245,-0.004863123447130802,⚠️ 勉強（中大型僅小贏基準）
ACCRUAL_qb1,0.1016643297997912,506.5286195286195,0.0977073334104803,162.53872053872053,0.0946072600086376,166.5050505050505,0.1038824327500922,177.4848484848485,0.010965590913821738,0.1038824327500922,0.017140690253433635,-0.0061750993396118975,⚠️ 勉強（中大型僅小贏基準）
REV_G_qb1,0.1013472605885588,504.2561403508772,0.0986503167028916,124.62105263157896,0.0965780080695484,175.72982456140352,0.102714643819334,203.90526315789472,0.011908574206233036,0.102714643819334,0.01597290132267544,-0.004064327116442404,⚠️ 勉強（中大型僅小贏基準）
DEBTRATIO_qb1,0.1010507758318886,511.0,0.0896244115807896,136.5050505050505,0.1014949715991329,194.66329966329965,0.1000538898737861,179.7912457912458,0.00288266908413104,0.1014949715991329,0.014753229102474341,-0.011870560018343301,⚠️ 勉強（中大型僅小贏基準）
NETDEBT_EBITDA_qb0,0.1032357262765657,496.6464646464647,0.1059625517422377,222.12121212121207,0.0923029589527546,153.03367003367003,0.1012012570179081,121.49158249158248,0.019220809245579146,0.1012012570179081,0.014459514521249536,0.004761294724329609,⚠️ 勉強（中大型僅小贏基準）
EPS_qb2,0.0978790064567252,511.2693602693603,0.0859318375599249,94.11111111111111,0.0939824018830579,183.989898989899,0.1010885985182798,233.16835016835017,-0.000809904936733663,0.1010885985182798,0.014346856021621238,-0.0151567609583549,⚠️ 勉強（中大型僅小贏基準）
P_IC_qb1,0.1092739807102005,463.3299663299664,0.1159716268437602,145.62626262626262,0.100701097708195,166.37037037037038,0.0936882697267653,151.33333333333334,0.029229884347101637,0.100701097708195,0.013959355211536448,0.015270529135565189,⚠️ 勉強（中大型僅小贏基準）
VOL_qb2,0.0882904802988195,430.948051948052,0.1028457635890978,171.22895622895624,0.0997800641910975,145.65656565656565,0.0974267073945016,122.83164983164984,0.016104021092439247,0.0997800641910975,0.013038321694438942,0.0030656993980003044,⚠️ 勉強（中大型僅小贏基準）
PB_qb1,0.1075163745644609,463.3299663299664,0.113829219636953,144.44107744107745,0.0990212143608064,155.41414141414143,0.097088139251612,163.4747474747475,0.02708747714029444,0.0990212143608064,0.012279471864147837,0.014808005276146605,⚠️ 勉強（中大型僅小贏基準）
FCF_OI_qb2,0.0999354803809176,504.013468013468,0.0923852608823774,178.72390572390572,0.0985005253781394,168.996632996633,0.0951703219150745,156.2929292929293,0.005643518385718846,0.0985005253781394,0.011758782881480842,-0.006115264495761996,⚠️ 勉強（中大型僅小贏基準）
DEBTRATIO_qb0,0.0994993238562105,510.6262626262626,0.0980141112553321,262.4713804713805,0.093921841643813,160.63636363636363,0.0978528547323953,87.4040404040404,0.011272368758673545,0.0978528547323953,0.011111112235736742,0.00016125652293680348,⚠️ 勉強（中大型僅小贏基準）
MOM_qb1,0.0840313288647149,434.6331168831169,0.1388580168052979,124.56565656565655,0.0975887748107988,149.64983164983164,0.0778753479498628,169.16161616161617,0.052116274308639354,0.0975887748107988,0.010847032314140248,0.041269241994499106,⚠️ 勉強（中大型僅小贏基準）
REV_G_qb2,0.0983279594135135,504.5929824561404,0.1011558343717473,151.46315789473684,0.0974469731635561,173.31929824561402,0.0894845213178738,179.81052631578947,0.014414091875088741,0.0974469731635561,0.010705230666897547,0.0037088612081911942,⚠️ 勉強（中大型僅小贏基準）
NETDEBT_EBITDA_qb1,0.0990534221085615,497.050505050505,0.0977987682203176,125.11447811447812,0.0952310842269714,182.1077441077441,0.0971493299778512,189.8282828282828,0.011057025723659047,0.0971493299778512,0.010407587481192637,0.0006494382424664102,⚠️ 勉強（中大型僅小贏基準）
CROIC_qb2,0.0968839970129702,504.92929292929296,0.0873669097235767,151.68350168350167,0.0956872049868817,176.59595959595958,0.0962049971041765,176.64983164983164,0.0006251672269181469,0.0962049971041765,0.009463254607517943,-0.008838087380599796,⚠️ 勉強（中大型僅小贏基準）
FCF_P_qb0,0.0998706488389564,461.06734006734007,0.1124029877529828,146.72727272727272,0.0933907740792909,149.25925925925927,0.0839243549583033,165.08080808080808,0.02566124525632424,0.0933907740792909,0.006649031582632345,0.019012213673691894,⚠️ 勉強（中大型僅小贏基準）
FCF_P_qb1,0.0962970099804898,461.3636363636364,0.0871630997180008,161.62626262626262,0.0929919629143118,157.83501683501683,0.091391025526623,141.9023569023569,0.0004213572213422473,0.0929919629143118,0.006250220417653246,-0.005828863196310999,⚠️ 勉強（中大型僅小贏基準）
ACCRUAL_qb2,0.0839488805517625,506.67003367003366,0.0952317090081913,168.40404040404042,0.0829276351535239,173.4747474747475,0.0671052321060114,164.7912457912458,0.008489966511532748,0.0829276351535239,-0.0038141073431346567,0.012304073854667405,❌ 兩層都沒效
EPS_qb0,0.0970784964444602,510.8888888888889,0.1023282679143238,266.969696969697,0.0818757841907564,140.25925925925927,0.0602838379364296,103.57912457912458,0.01558652541766524,0.0818757841907564,-0.004865958305902154,0.020452483723567394,❌ 兩層都沒效
ROIC_qb0,0.0937497290690401,510.5488215488216,0.099232379898025,252.2020202020202,0.0813349036892221,137.77777777777777,0.0619283206598213,120.48821548821547,0.012490637401366439,0.0813349036892221,-0.005406838807436462,0.0178974762088029,❌ 兩層都沒效
FCF_OI_qb0,0.0848641698230576,503.38047138047136,0.0921997737681781,183.6969696969697,0.0812100379985127,160.2828282828283,0.0750305601111751,159.4006734006734,0.005458031271519545,0.0812100379985127,-0.005531704498145856,0.010989735769665401,❌ 兩層都沒效
ROE_qb0,0.0937602459033606,510.5488215488216,0.0991758074713224,262.06397306397304,0.0795753200155828,141.72727272727272,0.0579000020755793,106.67676767676768,0.012434064974663844,0.0795753200155828,-0.007166422481075754,0.0196004874557396,❌ 兩層都沒效
CROIC_qb0,0.0825743472533366,504.2760942760943,0.0910774501419806,179.1919191919192,0.0790687621671519,160.2996632996633,0.0743640728140755,164.78451178451178,0.00433570764532204,0.0790687621671519,-0.007672980329506654,0.012008687974828694,❌ 兩層都沒效
OCF_E_qb0,0.0827831110987566,506.0471380471381,0.0912777482324231,214.30976430976432,0.0775462918548011,151.88552188552188,0.0636813010480028,139.85185185185185,0.004536005735764542,0.0775462918548011,-0.009195450641857464,0.013731456377622006,❌ 兩層都沒效
