,min,p25,median,p75,max,mean,std
CAGR,-0.20365007485668596,0.03984545753661606,0.08842644099745478,0.1276746488753162,0.3392709352681387,0.08137847271062948,0.06899073811336245
max_drawdown,-0.9935418614397435,-0.6985352084626337,-0.6142862091016255,-0.5301006333600882,-0.08528788610935578,-0.6171474929256584,0.1367616795841439
daily_sharpe,7.09,19.02,24.72,36.2275,2431.05,32.73457191296976,40.539567503129675
win_ratio,0.0,0.4261526751872171,0.461628559958602,0.4929789155776341,1.0,0.4536926668417006,0.06765185180194605
