C_kind,mean,median,std,count
C7,0.09324571416012035,0.10611478692388254,0.06968836654730172,325
C9,0.09528421424560907,0.10410776703468139,0.05474961763200759,322
C10,0.09120528136055489,0.1001293616869744,0.06531931269356782,320
C1,0.08382361580399585,0.09948649900909168,0.06078563318228158,326
C2,0.0892457309081166,0.09839448998763234,0.06101560714010677,323
C8,0.0819872955217345,0.09726124882454679,0.06822111747271978,325
C14,0.08944695384014399,0.09674386820285208,0.061938168570031926,321
C11,0.0938844045267261,0.09323221599561204,0.07512839131832866,313
C4,0.09045116418181025,0.0928221300529195,0.0773113367518567,315
C3,0.08616094167226976,0.09143829532747516,0.06342048382677284,326
C12,0.08016960318345821,0.08694071804267023,0.06257168660931821,323
C5,0.07214619266562804,0.08176013974766327,0.0652945919673268,326
None,0.06592152142092664,0.0773794200293112,0.0513855841408964,332
C13,0.07167970065289699,0.07726489514963175,0.05954866320132193,325
C6,0.07426483490228017,0.07622080423766686,0.0647642172341344,326
C20,0.0631533080014393,0.07183381578850256,0.06006049747132717,324
C19,0.05852126789617926,0.06932134013267888,0.07098022702785871,324
C15,0.05759951319252853,0.0657154285590088,0.06039925256726735,324
C16,0.051258378062199565,0.061655708192821956,0.06425341656749763,324
C17,0.030558072941201653,0.033276509380558705,0.06545998547171952,327
C18,0.03016178760550477,0.02512911402752105,0.06478228868451996,318
