,min,p25,median,p75,max,mean,std
CAGR,-0.21755326015773535,0.018027255829235145,0.07837208621699787,0.11854794630158472,0.3392709352681387,0.06730276031580035,0.07248100079913568
max_drawdown,-0.9900686349594735,-0.6849175932963357,-0.5941140048018148,-0.4838462245316814,-0.013096996224332025,-0.5738462518352416,0.1833757276674614
daily_sharpe,8.83,19.485,26.43,47.230000000000004,5249.25,101.24083987627884,349.87564727996613
win_ratio,0.0,0.4037303058387396,0.45373961218836567,0.4904202115679196,1.0,0.42210147884079346,0.12645467464318552
