strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v1,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v1,0.29875290652587694,13.78,-0.39476769398085043,0.5739644970414202
EPS_qb3of5__FCF_P_qb4of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,FCF_P_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.28768444097464463,8.83,-0.47244723857669624,0.5279187817258884
ROE_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,ROE_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.28565287944210316,19.45,-0.40554538846309074,0.4492525570416995
EPS_qb3of5__None__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,None,C18_FCF_P_DYN_qmax8,v1,0.26697734865732903,9.13,-0.5749239853574495,0.47953216374269003
EPS_qb3of5__None__C11_EPS_DYN_qmax8__v1,EPS_qb3of5,None,C11_EPS_DYN_qmax8,v1,0.26595761946439467,12.1,-0.34899820167778983,0.5336633663366337
EPS_qb3of5__FCF_P_qb4of5__C10_EPS_DYN_qmax4__v1,EPS_qb3of5,FCF_P_qb4of5,C10_EPS_DYN_qmax4,v1,0.26409751280152594,10.46,-0.3790637960279599,0.5706666666666667
EPS_qb3of5__FCF_P_qb4of5__C11_EPS_DYN_qmax8__v1,EPS_qb3of5,FCF_P_qb4of5,C11_EPS_DYN_qmax8,v1,0.2595612186376892,12.85,-0.4468142233513792,0.5815899581589958
ROE_qb4of5__FCF_P_qb4of5__C10_EPS_DYN_qmax4__v1,ROE_qb4of5,FCF_P_qb4of5,C10_EPS_DYN_qmax4,v1,0.2492749131508245,12.22,-0.42775045144772916,0.532258064516129
ROE_qb3of5__FCF_P_qb1of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,ROE_qb3of5,FCF_P_qb1of5,C7_ROE_DYN_ytdavg_gt_lyavg,v1,0.24738770682807876,19.47,-0.6346192913032641,0.5150214592274678
EPS_qb3of5__FCF_P_qb3of5__C13_EPS_DYN_ytdavg_gt_lyytdavg__v1,EPS_qb3of5,FCF_P_qb3of5,C13_EPS_DYN_ytdavg_gt_lyytdavg,v1,0.2433783547388344,14.72,-0.5904369926790627,0.4880546075085324
FCF_P_qb4of5__None__C10_EPS_DYN_qmax4__v1,FCF_P_qb4of5,None,C10_EPS_DYN_qmax4,v1,0.24265810892609618,12.77,-0.4267319991616001,0.5182625863770978
ROE_qb3of5__None__C11_EPS_DYN_qmax8__v1,ROE_qb3of5,None,C11_EPS_DYN_qmax8,v1,0.24258022448715444,15.45,-0.40542576371381545,0.5228966986155484
FCF_P_qb1of5__None__C4_ROE_DYN_qmax8__v1,FCF_P_qb1of5,None,C4_ROE_DYN_qmax8,v1,0.24191847742162298,17.27,-0.517562160342812,0.5547785547785548
EPS_qb3of5__FCF_P_qb4of5__C3_ROE_DYN_qmax4__v1,EPS_qb3of5,FCF_P_qb4of5,C3_ROE_DYN_qmax4,v1,0.24089473147266505,11.47,-0.3999242453446271,0.5462184873949579
EPS_qb3of5__FCF_P_qb3of5__C14_EPS_DYN_ytdavg_gt_lyavg__v1,EPS_qb3of5,FCF_P_qb3of5,C14_EPS_DYN_ytdavg_gt_lyavg,v1,0.2407724241537763,16.12,-0.5821311722421535,0.4911660777385159
FCF_P_qb4of5__None__C3_ROE_DYN_qmax4__v1,FCF_P_qb4of5,None,C3_ROE_DYN_qmax4,v1,0.23902055305350234,12.44,-0.3694739355767269,0.5169927909371782
ROE_qb4of5__FCF_P_qb0of5__C7_ROE_DYN_ytdavg_gt_lyavg__v0,ROE_qb4of5,FCF_P_qb0of5,C7_ROE_DYN_ytdavg_gt_lyavg,v0,0.23830078104466934,17.79,-0.3925055875986486,0.45066518847006654
EPS_qb2of5__FCF_P_qb3of5__C11_EPS_DYN_qmax8__v0,EPS_qb2of5,FCF_P_qb3of5,C11_EPS_DYN_qmax8,v0,0.2382426472372594,12.68,-0.5657292863224297,0.5244865718799369
ROE_qb3of5__FCF_P_qb1of5__C14_EPS_DYN_ytdavg_gt_lyavg__v1,ROE_qb3of5,FCF_P_qb1of5,C14_EPS_DYN_ytdavg_gt_lyavg,v1,0.23812357589627342,16.8,-0.6425113426350674,0.52
