候選因子批,排名,stock_id,累積報酬(倍),佔正貢獻比重,佔淨總報酬比重
EV_S,1,3545,2.0230673828794985,0.07779463033097138,0.10540857339648509
EV_S,2,3027,1.178834684684686,0.0453306742486465,0.0614212277032739
EV_S,3,5209,1.0719094618445784,0.04121899301929302,0.055850066161617855
EV_S,4,6751,1.0615657303370805,0.040821237227430425,0.05531112317285307
EV_S,5,6290,0.9003209299686454,0.03462076177930204,0.0469097300614452
EV_S,6,2404,0.8165539275725502,0.03139960214789989,0.042545189218665826
EV_S,7,5609,0.7738963257499485,0.029759255220912374,0.04032258556705845
EV_S,8,3652,0.6652006053178865,0.02557949162967932,0.03465917518240826
EV_S,9,5371,0.630072718508538,0.024228690864579815,0.03282889485346719
EV_S,10,6230,0.6279482759790951,0.024146997974547568,0.03271820429605597
PB,1,9103,19.28990705269673,0.21674431093961394,0.2866085514071322
PB,2,8929,3.6457685125486243,0.04096440599423328,0.054168660807581134
PB,3,6116,3.1375883322496643,0.035254416686811056,0.04661814307147113
PB,4,6182,2.9191718402118236,0.032800255972855144,0.043372920882718206
PB,5,8087,2.5329047649301155,0.028460100738209284,0.03763378245139626
PB,6,1721,1.7466982182446085,0.01962616515977212,0.025952361756275005
PB,7,2017,1.5845512661561125,0.017804257500737213,0.023543189802972687
PB,8,1418,1.4354616455230094,0.01612906399129763,0.02132802307963076
PB,9,5356,1.2028804507448552,0.013515746536631318,0.017872342389319305
PB,10,2527,1.0825552823609197,0.012163754759852737,0.016084556573963713
P_IC,1,9103,19.28990705269673,0.1817002551669753,0.23656998959837072
P_IC,2,6116,3.4992552879487793,0.03296104937041642,0.04291460735454178
P_IC,3,8929,3.372215405031401,0.031764403939237774,0.041356599651433595
P_IC,4,2609,3.0459369722268166,0.028691041567189136,0.03735514514758919
P_IC,5,6182,2.9191718402118236,0.027496984137545925,0.03580050696917295
P_IC,6,5475,2.4707711956041356,0.023273298076245643,0.03030135471608246
P_IC,7,2030,1.9930153942326587,0.018773102674600913,0.024442192997352924
P_IC,8,1721,1.7466982182446085,0.01645293111510236,0.021421377417360443
P_IC,9,2017,1.5845512661561125,0.014925596510091486,0.019432819221398563
P_IC,10,2356,1.578006888318686,0.014863952090565718,0.019352559456916628
