candidate,net_contribution
P_IC,0.009481766984385631
EV_S,0.006339700327962938
PB,0.005287625130850904
PS,0.004538535886856487
OCF_E,0.0009490769441002911
EV_EBITDA,-0.0017812860267303332
CROIC,-0.006436793814636577
FCF_OI,-0.007431546432364211
ROIC,-0.010258468199409121
MOM,-0.09539478099670862
