C_kind,mean,median,std,count
C9,0.10809043525828986,0.11608381376736943,0.05566677992747126,337
C7,0.10279194609199209,0.11265071885202937,0.06764563824373424,340
C11,0.10264362834965403,0.1115830136852014,0.07431564042478393,326
C4,0.09893521088565703,0.11078527172913366,0.07607856627243842,326
C2,0.10138832183876856,0.10816709925056078,0.061938883321953256,339
C10,0.10149199926103944,0.1045807493884473,0.06541480484272842,330
C14,0.09845161243625118,0.1037343658214378,0.061182083296023246,337
C1,0.0908363639140968,0.10209049291012007,0.0626680836501605,340
C8,0.09098577913702867,0.1010091215553639,0.0689748790783934,337
C3,0.09436298969375911,0.09673601613090699,0.06483345832211207,337
C12,0.08644132893955778,0.0933033771495273,0.06518752867858096,338
C5,0.0783562860245251,0.08647857299932193,0.06507037524092069,340
C13,0.07956587219579186,0.0846769428035502,0.061643404818331374,338
C6,0.08109169317458524,0.08318607920107546,0.06307812903061884,340
None,0.07356119023698178,0.08078545037791374,0.05308293129990348,340
C20,0.06926118539881888,0.07906503122100528,0.06315158187874198,340
C19,0.06731248869013633,0.0754139252225915,0.0729194350808712,340
C15,0.06363266542593209,0.06936046552405417,0.06503124736868399,340
C16,0.05896136075084637,0.06799919043301306,0.07052530988801212,340
C17,0.032834395606630866,0.03994092320055076,0.06959602445535598,339
C18,0.0335980435413055,0.027937839071558,0.06577794579911865,330
