,min,p25,median,p75,max,mean,std
CAGR,-0.23452597733201386,0.040069597993091566,0.08983415161075736,0.12779831696550875,0.3668296640235882,0.08158712428370804,0.0687908584120536
max_drawdown,-0.9932668132735694,-0.6993382507392949,-0.6164698730721219,-0.5341475403775842,-0.07954844418932794,-0.6191510456687432,0.1351858408621634
daily_sharpe,8.72,18.8125,24.465,36.22,522.47,32.17486146451796,27.501102156786526
win_ratio,0.0,0.42515208436629925,0.46027549731429906,0.49314155656846576,1.0,0.452583268002696,0.06792532377228291
