C_kind,mean,median,std,count
C9,0.09768668169272027,0.10694253899629569,0.056839078467581426,331
C7,0.09397102224028021,0.10619257551355266,0.07028930568908463,335
C11,0.09755809697366982,0.10141213212733224,0.0757708802189445,319
C2,0.09149597319323897,0.10120613966507341,0.0614853253087269,333
C10,0.09385490311168812,0.1001293616869744,0.06329848148082269,324
C8,0.08357780879718718,0.09870833447384142,0.06729881245521845,328
C1,0.08281102703890256,0.09824533281578884,0.062498265028735726,331
C14,0.09054093319065229,0.09820548094705683,0.06226160257713041,332
C3,0.08900062802008422,0.09618975186139533,0.06547899344460763,328
C4,0.09467446547912423,0.09479859725356499,0.07621529075208182,319
C12,0.07971106068458567,0.08684747954768535,0.06394422366535821,332
C5,0.0717551679052536,0.08100103656445956,0.06577120874384468,334
C6,0.07354853842032165,0.07910369107425352,0.06352223471338772,334
C13,0.07153935886497664,0.07875890173518707,0.0608279633743579,333
None,0.06648515414479857,0.0769050823962023,0.0518633147962382,335
C20,0.06311023407421423,0.07427893047331002,0.058336273137186756,329
C19,0.06017388005875912,0.07279268866504018,0.07085579000541316,330
C15,0.05784443549814383,0.06924476846017136,0.061548459758278086,331
C16,0.05119882610889134,0.06623336406871361,0.06652464099274616,331
C17,0.02473399173153234,0.024752800808021114,0.06748320286147792,333
C18,0.02743447699327809,0.015921116174213434,0.06304965694725215,326
