market,company_symbol,sector_name,industry_name,type
US,NWL,Consumer Defensive,Household & Personal Products,
US,NWN,Utilities,Utilities - Regulated Gas,
US,NWPX,Basic Materials,Steel,
US,NWS,Communication Services,Entertainment,
US,NWSA,Communication Services,Entertainment,
US,NX,Industrials,Building Products & Equipment,
US,NXDR,Communication Services,Internet Content & Information,
US,NXDT,Real Estate,REIT - Diversified,
US,NXRT,Real Estate,REIT - Residential,
US,NXST,Communication Services,Broadcasting,
US,NXT,Technology,Solar,
US,NYT,Communication Services,Publishing,
US,O,Real Estate,REIT - Retail,
US,OABI,Healthcare,Biotechnology,
US,OBIO,Healthcare,Biotechnology,
US,OBK,Financial Services,Banks - Regional,
US,OBT,Financial Services,Banks - Regional,
US,OC,Industrials,Building Products & Equipment,
US,OCFC,Financial Services,Banks - Regional,
US,OCGN,Healthcare,Biotechnology,
US,OCUL,Healthcare,Biotechnology,
US,ODC,Basic Materials,Specialty Chemicals,
US,ODD,Consumer Defensive,Household & Personal Products,
US,ODFL,Industrials,Trucking,
US,OEC,Basic Materials,Specialty Chemicals,
US,OFG,Financial Services,Banks - Regional,
US,OFIX,Healthcare,Medical Devices,
US,OFLX,Industrials,Specialty Industrial Machinery,
US,OFRM,Consumer Defensive,Packaged Foods,
US,OGE,Utilities,Utilities - Regulated Electric,
US,OGN,Healthcare,Drug Manufacturers - General,
US,OGS,Utilities,Utilities - Regulated Gas,
US,OHI,Real Estate,REIT - Healthcare Facilities,
US,OI,Consumer Cyclical,Packaging & Containers,
US,OII,Energy,Oil & Gas Equipment & Services,
US,OIS,Energy,Oil & Gas Equipment & Services,
US,OKE,Energy,Oil & Gas Midstream,
US,OKLO,Utilities,Utilities - Independent Power Producers,
US,OKTA,Technology,Software - Infrastructure,
US,OKUR,Healthcare,Biotechnology,
US,OLED,Technology,Electronic Components,
US,OLLI,Consumer Defensive,Discount Stores,
US,OLMA,Healthcare,Biotechnology,
US,OLN,Basic Materials,Chemicals,
US,OLP,Real Estate,REIT - Diversified,
US,OLPX,Consumer Cyclical,Specialty Retail,
US,OMC,Communication Services,Advertising Agencies,
US,OMCL,Healthcare,Health Information Services,
US,OMDA,Healthcare,Health Information Services,
US,OMER,Healthcare,Biotechnology,
US,OMF,Financial Services,Credit Services,
US,ON,Technology,Semiconductors,
US,ONB,Financial Services,Banks - Regional,
US,ONDS,Technology,Communication Equipment,
US,ONEW,Consumer Cyclical,Specialty Retail,
US,ONIT,Financial Services,Mortgage Finance,
US,ONL,Real Estate,REIT - Office,
US,ONON,Consumer Cyclical,Footwear & Accessories,
US,ONT,Industrials,Waste Management,
US,ONTO,Technology,Semiconductor Equipment & Materials,
US,OOMA,Technology,Software - Application,
US,OPAL,Industrials,Engineering & Construction,
US,OPBK,Financial Services,Banks - Regional,
US,OPCH,Healthcare,Medical Care Facilities,
US,OPEN,Real Estate,Real Estate Services,
US,OPFI,Financial Services,Credit Services,
US,OPK,Healthcare,Diagnostics & Research,
US,OPLN,Consumer Cyclical,Auto & Truck Dealerships,
US,OPRT,Financial Services,Credit Services,
US,OPTU,Communication Services,Telecom Services,
US,OPTX,Technology,Electronic Components,
US,ORA,Utilities,Utilities - Renewable,
US,ORC,Real Estate,REIT - Mortgage,
US,ORCL,Technology,Software - Infrastructure,
US,ORGO,Healthcare,Drug Manufacturers - Specialty & Generic,
US,ORI,Financial Services,Insurance - Property & Casualty,
US,ORIC,Healthcare,Biotechnology,
US,ORKA,Healthcare,Biotechnology,
US,ORLY,Consumer Cyclical,Auto Parts,
US,ORMP,Healthcare,Biotechnology,
US,ORN,Industrials,Engineering & Construction,
US,ORRF,Financial Services,Banks - Regional,
