as_of,end,avg_coverage_frac,n_hot,port_ret_beta0.0,ew_benchmark_ret,port_ret_beta1.0,port_ret_beta2.0,port_ret_beta5.0,port_ret_beta10.0
2023-12-31,2024-03-31,0.028089887640449448,178,-0.003393414052980361,-0.0008789522965436585,-0.003238872842306692,-0.003092551908796512,-0.0026968366748207117,-0.0021530174936258833
2024-03-31,2024-06-30,0.01872659176029963,178,0.11644938686800677,0.11928795558883883,0.1166226596419922,0.11678967708117678,0.11725641074684327,0.11793614379305571
2024-06-30,2024-09-30,0.02883895131086143,178,0.0063089551653431305,0.00028746568854699875,0.006285104563379229,0.006262554596224977,0.006201725044893349,0.006118497015358161
2024-09-30,2024-12-31,0.03576779026217228,178,-0.0483739195676893,-0.04254391072344046,-0.048333246418192324,-0.048295288603038,-0.048195235540789166,-0.04806362551269989
2024-12-31,2025-03-31,0.02584269662921348,178,-0.024376336400034625,-0.05294349646914938,-0.024486022901384134,-0.02459031882681259,-0.024874564139995326,-0.02527047725478551
2025-03-31,2025-06-30,0.04775280898876403,178,-0.020030054320955795,-0.02233546791099083,-0.020262894124665677,-0.020475435073693177,-0.021014739658640463,-0.02168118068566657
2025-06-30,2025-09-30,0.021722846441947566,178,0.05395404808717418,0.0872299791399569,0.05407479966856336,0.0541905235459176,0.0545104844284404,0.0549676182841883
2025-09-30,2025-12-31,0.0297752808988764,178,-0.0013497752853096384,0.024534959497207163,-0.0010611112077432829,-0.0007886710921186198,-5.608028731666161e-05,0.0009407929145999981
