label,combo,n_members,val_frac,v1_frac,avg_holdings,frac_top10pct_mktcap,oos_cagr,oos_mdd,oos_sharpe
anchored_w4,baseline,30,0.7666666666666667,0.3333333333333333,27.504550059065075,0.10561797752808989,0.0024100475054662507,-0.1362210192630262,0.08322910163150554
anchored_w4,holdings_width,30,0.8,0.16666666666666666,32.29615426396772,0.12454212454212454,0.0154730323169181,-0.13800023771694303,0.1857085279253426
anchored_w4,exclude_v1,30,0.7,0.0,34.255899640418264,0.12396694214876033,0.030334206353448634,-0.1441420871363045,0.3029500969411955
anchored_w4,combo,30,0.7333333333333333,0.0,34.6547506683974,0.12379110251450677,0.02763549733164461,-0.1406206853334253,0.2807298025267291
rolling_w6,baseline,50,0.8,0.56,19.02580850387298,0.07775768535262206,0.1420739249578753,-0.15870526531725582,1.090044127736244
rolling_w6,holdings_width,50,0.88,0.26,23.146950216373856,0.07587253414264036,0.14074518903583,-0.15922653476851456,1.093443581229693
rolling_w6,exclude_v1,50,0.78,0.0,32.93848148938672,0.14186369958275383,0.1510138989628964,-0.1569923802372919,1.1755932950582921
rolling_w6,combo,50,0.74,0.0,38.57116321154391,0.13246753246753246,0.14541088617787512,-0.16099168874258318,1.1221730481443617
