label,rule,k,target_total,n_members,val_frac,v1_frac,avg_holdings,frac_top10pct_mktcap,oos_cagr,oos_mdd,oos_sharpe
anchored_w4,baseline,6,30,30,0.7666666666666667,0.3333333333333333,27.504550059065075,0.10561797752808989,0.0024100475054662507,-0.1362210192630262,0.08322910163150554
anchored_w4,A_purity,6,30,30,0.6333333333333333,0.36666666666666664,27.59606176482349,0.11038961038961038,0.0018230509027410413,-0.12875274064590003,0.07613511986919912
anchored_w4,A_holdings_width,6,30,30,0.8,0.16666666666666666,32.29615426396772,0.12454212454212454,0.0154730323169181,-0.13800023771694303,0.1857085279253426
rolling_w6,baseline,10,50,50,0.8,0.56,19.02580850387298,0.07775768535262206,0.1420739249578753,-0.15870526531725582,1.090044127736244
rolling_w6,A_purity,10,50,50,0.78,0.58,19.189947704672978,0.08145580589254767,0.1331976766378542,-0.15474564560271153,1.0232776004806556
rolling_w6,A_holdings_width,10,50,50,0.88,0.26,23.146950216373856,0.07587253414264036,0.14074518903583,-0.15922653476851456,1.093443581229693
