end,state,base_gross,base_turnover,base_net,cond_gross,cond_turnover,cond_net
2024-03-31,NONE,-0.0033934140529803666,1.1102230246251565e-16,-0.003393414052980367,-0.0033934140529803666,1.1102230246251565e-16,-0.003393414052980367
2024-06-30,NONE,0.11644938686800681,1.1102230246251565e-16,0.11644938686800681,0.11644938686800681,1.1102230246251565e-16,0.11644938686800681
2024-09-30,NONE,0.00630895516534314,0.8070874610745612,0.0015874935180569573,0.00630895516534314,0.8070874610745612,0.0015874935180569573
2024-12-31,TRIGGERED,-0.048373919567689425,0.7469870594358565,-0.05274379386538919,-0.0025233835675646916,0.8852670895166329,-0.007702196041236994
2025-03-31,TRIGGERED,-0.02437633640003473,0.7436676209105189,-0.028726791982361263,-0.07818727573213136,0.4473019439770446,-0.08080399210439707
2025-06-30,TRIGGERED,-0.020030054320955788,0.8439511318561189,-0.024967168442314086,0.0507341621283751,0.42666334053610466,0.04823818158623889
2025-09-30,TRIGGERED,0.05395404808717412,0.7622060515959663,0.049495142685337716,0.11733051165767162,0.44627706923408594,0.11471979080265222
2025-12-31,TRIGGERED,-0.0013497752853096272,0.7688285156548217,-0.005847422101890334,0.08500599183719189,0.5970788270879398,0.08151308069872744
2026-03-31,TRIGGERED,-0.001045128276789117,0.7439420356528685,-0.005397189185358398,0.054121275552715925,0.5458291289224428,0.05092817514851963
2026-06-30,TRIGGERED,0.22356127295612935,0.7702734209710036,0.21905517344344896,0.3647007958559054,0.551822401886199,0.3614726348048712
