as_of,end,n_unique_stocks,n_empty_strategies,total_weight,stock_level_return
2023-12-31,2024-03-31,1653,0,0.9999999999999991,-0.00844303506843924
2024-03-31,2024-06-30,1653,0,0.9999999999999991,0.11053898909016023
2024-06-30,2024-09-30,1639,0,1.0,0.0034687958768483563
2024-09-30,2024-12-31,1617,0,1.000000000000001,-0.04184506058311436
2024-12-31,2025-03-31,1646,0,1.0000000000000007,-0.040951122231555365
2025-03-31,2025-06-30,1627,0,1.0000000000000009,-0.032262679140230316
2025-06-30,2025-09-30,1680,0,1.0000000000000002,0.08300339390855527
2025-09-30,2025-12-31,1634,0,0.9999999999999994,0.017069468823262136
