date,q1_weight
2000-01-31,0.8371647315354528
2000-02-29,0.8280051745748489
2000-03-31,0.8342252174584069
2000-04-30,0.8346101309825373
2000-05-31,0.8409114226650006
2000-06-30,0.8490082534513548
2000-07-31,0.8503417353996825
2000-08-31,0.8621017459958251
2000-09-30,0.8575379807188254
2000-10-31,0.8770397482755559
2000-11-30,0.8856810293969142
2000-12-31,0.879152804632531
2001-01-31,0.8737317040380922
2001-02-28,0.8576245539198858
2001-03-31,0.8491191948276796
2001-04-30,0.8554334290636415
2001-05-31,0.8654641615197382
2001-06-30,0.8649889401035552
2001-07-31,0.8744385795009358
2001-08-31,0.8654994828337029
2001-09-30,0.8588568712957176
2001-10-31,0.8742539199243641
2001-11-30,0.8775254383870045
2001-12-31,0.8847194405361127
2002-01-31,0.8759323800951663
2002-02-28,0.8745211950425493
2002-03-31,0.8643782174841269
2002-04-30,0.8562397693082832
2002-05-31,0.8598256006047166
2002-06-30,0.8589924698838602
2002-07-31,0.8517471007944052
2002-08-31,0.8512691962805601
2002-09-30,0.8522761072050004
2002-10-31,0.8519571380810357
2002-11-30,0.8512722850916914
2002-12-31,0.8521042801328089
2003-01-31,0.8538443420007016
2003-02-28,0.8511317281187727
2003-03-31,0.855876628276354
2003-04-30,0.8613017113648989
2003-05-31,0.8610219134582234
2003-06-30,0.8570428534559349
2003-07-31,0.8577476629854438
2003-08-31,0.8675533110872071
2003-09-30,0.8677892404716049
2003-10-31,0.8714125335561638
2003-11-30,0.862357707418875
2003-12-31,0.8618381699944528
2004-01-31,0.8579139311972829
2004-02-29,0.8541022910231748
2004-03-31,0.8562667174577332
2004-04-30,0.8598468043924478
2004-05-31,0.8622884116678666
2004-06-30,0.8704324507544628
2004-07-31,0.8708767842567604
2004-08-31,0.8736961565722755
2004-09-30,0.874224042571894
2004-10-31,0.8774877570361729
2004-11-30,0.8814773055766733
2004-12-31,0.8786295813004579
2005-01-31,0.8801576465377371
2005-02-28,0.8780624142459236
2005-03-31,0.8766595551150288
2005-04-30,0.8819860200428163
2005-05-31,0.8853023426801335
2005-06-30,0.8805744287913262
2005-07-31,0.8782977535349094
2005-08-31,0.8825552825915766
2005-09-30,0.8841877610827586
2005-10-31,0.8868624465088211
2005-11-30,0.8859208629648767
2005-12-31,0.8784988914486777
2006-01-31,0.882258874190428
2006-02-28,0.8842957736435608
2006-03-31,0.8815105836526077
2006-04-30,0.8773407371577642
2006-05-31,0.8709654457323813
2006-06-30,0.8767280066412251
2006-07-31,0.873490068050006
2006-08-31,0.8748586873480757
2006-09-30,0.8756111129134347
2006-10-31,0.8720335257018476
2006-11-30,0.8687101423636396
2006-12-31,0.8624105383477059
2007-01-31,0.8611104439689422
2007-02-28,0.8593519249393488
2007-03-31,0.851977091273407
2007-04-30,0.8523058274187755
2007-05-31,0.8517761424209614
2007-06-30,0.8484410076895784
2007-07-31,0.8385537555368532
2007-08-31,0.84971430825675
2007-09-30,0.8511069477837623
2007-10-31,0.8627890998216511
2007-11-30,0.863841772762298
2007-12-31,0.8677156831315391
2008-01-31,0.8727189846649115
2008-02-29,0.8678023131993007
2008-03-31,0.8647693601279794
2008-04-30,0.8625979461246837
2008-05-31,0.8638044216719489
2008-06-30,0.873516142130414
2008-07-31,0.8703824899558462
2008-08-31,0.8716136412192096
2008-09-30,0.8846030356730059
2008-10-31,0.8808242609107323
2008-11-30,0.8820041475506846
2008-12-31,0.8816119148209053
2009-01-31,0.8782043706093597
2009-02-28,0.8763905805136097
2009-03-31,0.8684832039702816
2009-04-30,0.8691545610115289
2009-05-31,0.8676851541043902
2009-06-30,0.8703576713688462
2009-07-31,0.8630748219261895
2009-08-31,0.8642275778293672
2009-09-30,0.8618069717888076
2009-10-31,0.8583619263897052
2009-11-30,0.8528983942053042
2009-12-31,0.8448243265359995
2010-01-31,0.8483838927076176
2010-02-28,0.8462920312335324
2010-03-31,0.8395331644426096
2010-04-30,0.8394467400552784
2010-05-31,0.8413725878789263
2010-06-30,0.8392969475810754
2010-07-31,0.8390805246877575
2010-08-31,0.8413471083703651
2010-09-30,0.840439714844
2010-10-31,0.8454987140893863
2010-11-30,0.848843411270431
2010-12-31,0.8514515320237176
2011-01-31,0.8534209534831073
2011-02-28,0.8511913834339302
2011-03-31,0.8526642179654801
2011-04-30,0.8557616150943514
2011-05-31,0.8565571661143457
2011-06-30,0.85693661510099
2011-07-31,0.8613357522291542
2011-08-31,0.8651780243251079
2011-09-30,0.866045473917423
2011-10-31,0.8669150955252309
2011-11-30,0.8725955177742694
2011-12-31,0.8734551263118958
2012-01-31,0.8713362918548008
2012-02-29,0.8645380722441174
2012-03-31,0.8649951637706649
2012-04-30,0.8668950692846253
2012-05-31,0.8661660974208345
2012-06-30,0.8667933803298155
2012-07-31,0.8694149329810895
2012-08-31,0.8675080106793008
2012-09-30,0.8682544323146871
2012-10-31,0.8730431890328171
2012-11-30,0.8748196133733025
2012-12-31,0.8698131375667202
2013-01-31,0.8690752223306739
2013-02-28,0.867669473540787
2013-03-31,0.8644607901692991
2013-04-30,0.8674491808082847
2013-05-31,0.8641105142116742
2013-06-30,0.8661638140649686
2013-07-31,0.8636590842801367
2013-08-31,0.8623278310918693
2013-09-30,0.8597452984416725
2013-10-31,0.8608130950724199
2013-11-30,0.8598366546800151
2013-12-31,0.854843348749385
2014-01-31,0.851544080807419
2014-02-28,0.8456081775368991
2014-03-31,0.8444732944647043
2014-04-30,0.848876608796094
2014-05-31,0.8482635992459866
2014-06-30,0.8496667380748357
2014-07-31,0.8515243262417785
2014-08-31,0.8562926391455828
2014-09-30,0.8543219781824175
2014-10-31,0.8634863843092911
2014-11-30,0.8666759981380527
2014-12-31,0.8601332881637269
2015-01-31,0.859827948215483
2015-02-28,0.8629869538552772
2015-03-31,0.8602549644912743
2015-04-30,0.8629192080997269
2015-05-31,0.8673607694053405
2015-06-30,0.8701049149178752
2015-07-31,0.8763787452463664
2015-08-31,0.8794106139458945
2015-09-30,0.8704937292376661
2015-10-31,0.8669678086411912
2015-11-30,0.8661983702564793
2015-12-31,0.864981433064339
2016-01-31,0.8654941650229852
2016-02-29,0.8633259143443628
2016-03-31,0.8655934358152304
2016-04-30,0.8652441656598567
2016-05-31,0.8674694322427448
2016-06-30,0.8679084937774317
2016-07-31,0.8687602243832985
2016-08-31,0.869015360089912
2016-09-30,0.870327687938073
2016-10-31,0.8753359159816375
2016-11-30,0.874293083027261
2016-12-31,0.8716225480480986
2017-01-31,0.8722901139917855
2017-02-28,0.8691892489262353
2017-03-31,0.8684050013762006
2017-04-30,0.8702369711056878
2017-05-31,0.8716371540355735
2017-06-30,0.8744662187117677
2017-07-31,0.8758292915301933
2017-08-31,0.8750476655926553
2017-09-30,0.8729786382535023
2017-10-31,0.8751221147408066
2017-11-30,0.87258320382878
2017-12-31,0.8724184925508599
2018-01-31,0.8755076270983007
2018-02-28,0.8748095380433663
2018-03-31,0.8723893721674506
2018-04-30,0.8742831561412572
2018-05-31,0.8736618233490253
2018-06-30,0.8724796045996172
2018-07-31,0.8770672230789149
2018-08-31,0.8796524459903315
2018-09-30,0.8832064558469014
2018-10-31,0.8864073862451716
2018-11-30,0.8786695523990331
2018-12-31,0.8769905840786372
2019-01-31,0.8759306217984335
2019-02-28,0.875405269984369
2019-03-31,0.8753609588701516
2019-04-30,0.8779787878941102
2019-05-31,0.8765437625337521
2019-06-30,0.8775032370476932
2019-07-31,0.8765279872928284
2019-08-31,0.8747885985061905
2019-09-30,0.8764317451864012
2019-10-31,0.8796524303836681
2019-11-30,0.8808461928680087
2019-12-31,0.8822595426216023
2020-01-31,0.8841660766548513
2020-02-29,0.8840591902942551
2020-03-31,0.8887960901804719
2020-04-30,0.8840283065920315
2020-05-31,0.879326501139963
2020-06-30,0.8804580000256993
2020-07-31,0.8891849793842245
2020-08-31,0.8836370940933407
2020-09-30,0.8852618556836939
2020-10-31,0.8843839475054793
2020-11-30,0.8852482441687228
2020-12-31,0.8890641498751115
2021-01-31,0.8972877956721336
2021-02-28,0.894588965406915
2021-03-31,0.8905445781194011
2021-04-30,0.889601231889053
2021-05-31,0.895936967106613
2021-06-30,0.8936377031602638
2021-07-31,0.8902472705146036
2021-08-31,0.8949259836129034
2021-09-30,0.8933455234813594
2021-10-31,0.8924361285613078
2021-11-30,0.892566773633997
2021-12-31,0.8923311470744844
2022-01-31,0.8961253782374786
2022-02-28,0.8932060777076825
2022-03-31,0.8920384903320998
2022-04-30,0.8911442051300886
2022-05-31,0.8916434929586211
2022-06-30,0.8866940762188792
2022-07-31,0.8873882286677468
2022-08-31,0.8873882286677468
2022-09-30,0.8873882286677468
2022-10-31,0.8873882286677468
2022-11-30,0.8873882286677468
2022-12-31,0.8873882286677468
2023-01-31,0.8873882286677468
2023-02-28,0.8873882286677468
2023-03-31,0.8873882286677468
2023-04-30,0.8775085601376702
2023-05-31,0.8810418256577126
2023-06-30,0.8800037386934748
2023-07-31,0.8821012019951487
2023-08-31,0.882064378887143
2023-09-30,0.8799336779607573
2023-10-31,0.8807286289519277
2023-11-30,0.8804954988487608
2023-12-31,0.8827164093854485
2024-01-31,0.8835800961649465
2024-02-29,0.8841298452361969
2024-03-31,0.8907181074481542
2024-04-30,0.8882386131017904
2024-05-31,0.8875632450303216
2024-06-30,0.8938673084408449
2024-07-31,0.8923573107881878
2024-08-31,0.8917083047394813
2024-09-30,0.8925557231023961
2024-10-31,0.8979230502268452
2024-11-30,0.8969124683937679
2024-12-31,0.9015936140978873
2025-01-31,0.9048857592781255
2025-02-28,0.8977893948737955
2025-03-31,0.897324424715703
2025-04-30,0.900537749454539
2025-05-31,0.9031752523419033
2025-06-30,0.9086244942013513
2025-07-31,0.9133207716344326
2025-08-31,0.910734959948313
2025-09-30,0.9170620868513844
2025-10-31,0.9247338269506388
2025-11-30,0.9240540027218708
2025-12-31,0.926146971036129
2026-01-31,0.9317117117150018
2026-02-28,0.9359400533886217
2026-03-31,0.9324925836884355
2026-04-30,0.9411101800295941
2026-05-31,0.9448257963690646
2026-06-30,0.9460212915995053
2026-07-31,0.9470449742151731
