window_no,n_months,cum_port,cum_ew,cum_excess,ann_excess
1,36,0.7875274445230369,0.24784102508598127,0.5396864194370556,0.13702742766294396
2,36,0.9482053334733576,0.46511303120098857,0.483092302272369,0.11317963077292226
3,36,1.1562448277784756,0.5525886022932254,0.6036562254852502,0.13397285842237272
