scheme,window_no,is_end,oos_start,oos_end,n_quarters,cum_port,cum_ew,cum_excess,ann_port,ann_ew,ann_excess
A,1,2012-12,2013-01,2014-12,8,0.6252007596318008,0.4718554232444023,0.15334533638739845,0.2748336203724002,0.21320048765420552,0.061633132718194705
A,2,2014-12,2015-01,2016-12,8,0.2656736505883017,0.015311972750830627,0.2503616778374711,0.12502162227590174,0.0076269015616994285,0.11739472071420232
A,3,2016-12,2017-01,2018-12,8,0.3869299990795063,0.15631934837422912,0.2306106507052772,0.17767992216879813,0.07532290423585275,0.10235701793294538
A,4,2018-12,2019-01,2020-12,8,0.8918929799725437,0.5894258515289266,0.3024671284436171,0.375461006343889,0.2607243360580165,0.11473667028587253
A,5,2020-12,2021-01,2022-12,8,0.41258813837143316,0.217711904270262,0.19487623410117116,0.18852351191359817,0.10349984334854434,0.08502366856505383
B,1,2012-12,2013-01,2015-12,12,0.6019770824655863,0.35059265685947527,0.2513844256061111,0.17008864900797227,0.10537115678567832,0.06471749222229395
B,2,2015-12,2016-01,2018-12,12,0.7470213586995471,0.2794345326868952,0.4675868260126519,0.20438703435482064,0.08560713616724813,0.11877989818757251
B,3,2018-12,2019-01,2021-12,12,1.693882038770134,1.1158432038673527,0.5780388349027814,0.3914241117142303,0.28379149327502895,0.10763261843920136
C,1,2012-12,2013-01,2016-12,16,1.0107968761262556,0.4943924333782832,0.5164044427479724,0.1908088413207556,0.10564616778974556,0.08516267353101004
C,2,2016-12,2017-01,2020-12,16,1.6442938051252654,0.8378838649290827,0.8064099401961826,0.275197424434932,0.1643391921990447,0.11085823223588731
D,1,2014-12,2015-01,2016-12,8,0.2656736505883017,0.015311972750830627,0.2503616778374711,0.12502162227590174,0.0076269015616994285,0.11739472071420232
D,2,2016-12,2017-01,2018-12,8,0.3869299990795063,0.15631934837422912,0.2306106507052772,0.17767992216879813,0.07532290423585275,0.10235701793294538
D,3,2018-12,2019-01,2020-12,8,0.8918929799725437,0.5894258515289266,0.3024671284436171,0.375461006343889,0.2607243360580165,0.11473667028587253
D,4,2020-12,2021-01,2022-12,8,0.41258813837143316,0.217711904270262,0.19487623410117116,0.18852351191359817,0.10349984334854434,0.08502366856505383
E,1,2014-12,2015-01,2017-12,12,0.7216051246602917,0.24566461991695898,0.4759405047433327,0.19851787495725826,0.07597053002582332,0.12254734493143493
E,2,2017-12,2018-01,2020-12,12,0.931473023763153,0.4980159689471342,0.4334570548160188,0.24536373704879932,0.14420932017995391,0.10115441686884541
E,3,2020-12,2021-01,2023-12,12,1.0920277763704487,0.560712474903486,0.5313153014669627,0.2789566237695116,0.15995453520368952,0.11900208856582206
F,1,2014-12,2015-01,2018-12,16,0.7498438654790853,0.17402487872779338,0.575818986751292,0.15013766172316645,0.04092472646848977,0.10921293525467668
F,2,2018-12,2019-01,2022-12,16,1.6482757572098632,0.9354627803616717,0.7128129768481914,0.27567722268301287,0.17949527652539543,0.09618194615761744
G,1,2016-12,2017-01,2018-12,8,0.3869299990795063,0.15631934837422912,0.2306106507052772,0.17767992216879813,0.07532290423585275,0.10235701793294538
G,2,2018-12,2019-01,2020-12,8,0.8918929799725437,0.5894258515289266,0.3024671284436171,0.375461006343889,0.2607243360580165,0.11473667028587253
G,3,2020-12,2021-01,2022-12,8,0.41258813837143316,0.217711904270262,0.19487623410117116,0.18852351191359817,0.10349984334854434,0.08502366856505383
H,1,2016-12,2017-01,2019-12,12,0.8353081320050524,0.41088918205395775,0.42441894995109464,0.22434270043749693,0.12158183744453477,0.10276086299296217
H,2,2019-12,2020-01,2022-12,12,0.9183541568076081,0.5862429802830482,0.3321111765245599,0.2425377607547594,0.16624529424709023,0.07629246650766919
I,1,2016-12,2017-01,2020-12,16,1.6442938051252654,0.8378838649290827,0.8064099401961826,0.275197424434932,0.1643391921990447,0.11085823223588731
J,1,2018-12,2019-01,2020-12,8,0.8918929799725437,0.5894258515289266,0.3024671284436171,0.375461006343889,0.2607243360580165,0.11473667028587253
J,2,2020-12,2021-01,2022-12,8,0.41258813837143316,0.217711904270262,0.19487623410117116,0.18852351191359817,0.10349984334854434,0.08502366856505383
K,1,2018-12,2019-01,2021-12,12,1.693882038770134,1.1158432038673527,0.5780388349027814,0.3914241117142303,0.28379149327502895,0.10763261843920136
L,1,2018-12,2019-01,2022-12,16,1.6482757572098632,0.9354627803616717,0.7128129768481914,0.27567722268301287,0.17949527652539543,0.09618194615761744
R,1,2014-12,2015-01,2017-12,12,0.7216051246602917,0.24566461991695898,0.4759405047433327,0.19851787495725826,0.07597053002582332,0.12254734493143493
R,2,2017-12,2018-01,2020-12,12,0.9897138212376086,0.4980159689471342,0.49169785229047447,0.25775737412760735,0.14420932017995391,0.11354805394765344
R,3,2020-12,2021-01,2023-12,12,0.9882183559801474,0.560712474903486,0.42750588107666143,0.2574421857711655,0.15995453520368952,0.09748765056747599
