period,n_stocks,portfolio_return,equal_weight_bench,cap_weight_bench_taiex,vs_equal,vs_cap
2023-12-31->2024-03-31,445,-0.003393414052980361,-0.0008789522965436585,0.1350165108744037,-0.0025144617564367023,-0.13840992492738405
2024-03-31->2024-06-30,445,0.11644938686800677,0.11928795558883883,0.1411474198785181,-0.0028385687208320604,-0.024698033010511322
2024-06-30->2024-09-30,421,0.0063089551653431305,0.00028746568854699875,-0.02026617967627664,0.006021489476796132,0.02657513484161977
2024-09-30->2024-12-31,474,-0.0483739195676893,-0.04254391072344046,0.03810778511500046,-0.005830008844248842,-0.08648170468268976
2024-12-31->2025-03-31,396,-0.024376336400034625,-0.05294349646914938,-0.0989407345707145,0.028567160069114753,0.07456439817067988
2025-03-31->2025-06-30,466,-0.020030054320955795,-0.02233546791099083,0.08557605937192037,0.002305413590035034,-0.10560611369287616
2025-06-30->2025-09-30,387,0.05395404808717418,0.0872299791399569,0.17823782583110903,-0.033275931052782724,-0.12428377774393484
2025-09-30->2025-12-31,315,-0.0013497752853096384,0.024534959497207163,0.12339708897892687,-0.0258847347825168,-0.1247468642642365
