label,target_cap,hard_limit,calib_improvement_net,forward_improvement_net,calib_excess_vs_market_net,forward_excess_vs_market_net,n_drift_breaches
7%（現行W2c，自訂C2=8%留1pp緩衝）,0.07,0.08,0.23720565177589958,0.22191381996805415,-0.4253136467369969,-0.1685601335570155,1
10%（台灣舊法規）,0.1,0.1,0.25010701050044726,0.2111463550249677,-0.4124122880124492,-0.17932759850010194,3
23%（台灣新法規25%留2pp緩衝）,0.23,0.25,0.27582736473599123,0.19985506385134322,-0.38669193377690525,-0.19061888967372642,0
25%（台灣新法規，無緩衝）,0.25,0.25,0.2785192704120649,0.199773246892607,-0.38400002810083156,-0.19070070663246264,1
