tree_key,mode,window_no,is_start,is_end,oos_start,oos_end,n_universe,n_clusters,target_total,n_capped_clusters,n_backfilled,a_n_members,a_is_cagr,a_is_mdd,a_is_sharpe,a_oos_cagr,a_oos_mdd,a_oos_sharpe,a_oos_enb,a_n_clusters_covered,a_max_cluster_share,b_n_members,b_is_cagr,b_is_mdd,b_is_sharpe,b_oos_cagr,b_oos_mdd,b_oos_sharpe,b_oos_enb,b_n_clusters_covered,b_max_cluster_share,n_stocks_held,n_stocks_with_mktcap,median_mktcap_pct,frac_top10pct_mktcap
TW,rolling_6_2,1,2007-01,2012-12,2013-01,2014-12,6679,6,30,0,2,30,0.3655619441865481,-0.32223604493633773,1.1958173846472318,0.24717800795983624,-0.08308506776721447,2.234462883008337,4.012260165365358,6,0.16666666666666666,6679,0.125886728881051,-0.5490781259939754,0.5572053552825892,0.23949836727471951,-0.0877583719868048,2.0968302655466564,,6,0.4250636322802815,395,394,0.4767199444058374,0.12944162436548223
TW,rolling_6_2,2,2009-01,2014-12,2015-01,2016-12,6680,6,30,0,2,30,0.46878338298447586,-0.13844902790008162,1.7464575193555938,0.10962876306688707,-0.154825587382878,0.9729570220820944,3.8861941036775804,6,0.16666666666666666,6680,0.2905904765890759,-0.22724430652678873,1.2448069773960149,0.06636535832932555,-0.17700777548077984,0.5972076628803048,,6,0.49880239520958086,486,485,0.4435009797517962,0.10515463917525773
TW,rolling_6_2,3,2011-01,2016-12,2017-01,2018-12,6680,6,30,0,1,30,0.22751390633598945,-0.14110439634817318,1.3143334717602695,0.1645189256624644,-0.1351187273529355,1.3443724753079902,3.468773428451975,6,0.16666666666666666,6680,0.08439165444354235,-0.22724430652678862,0.6296719274497057,0.11487729477501496,-0.15117475335065955,0.9520707539953636,,6,0.27365269461077846,430,430,0.406307409675444,0.10930232558139535
TW,rolling_6_2,4,2013-01,2018-12,2019-01,2020-12,6680,6,30,0,0,30,0.24920146027033963,-0.12118464862744582,1.978366272592865,0.33576369372934933,-0.2047747544323707,1.6454199870175295,2.8415960365489474,6,0.16666666666666666,6680,0.13796050307629537,-0.17700777548077973,1.1613895404079373,0.29476883827619615,-0.19864737831071655,1.4870875016463925,,6,0.28338323353293415,406,406,0.44297472075249855,0.09852216748768473
TW,rolling_6_2,5,2015-01,2020-12,2021-01,2022-12,6680,6,30,0,0,30,0.2633208390599784,-0.15041211293372614,1.6777544240217976,0.20768936081787404,-0.14307299123062223,0.9750397448906487,2.10585005682075,6,0.16666666666666666,6680,0.15462718692290434,-0.19864737831071655,1.0456325162151638,0.1389881484878157,-0.13448400402694405,0.739860305681901,,6,0.23233532934131737,441,441,0.5173987450085568,0.11564625850340136
TW,rolling_6_2,6,2017-01,2022-12,2023-01,2025-12,6680,6,30,0,0,30,0.291175474555619,-0.1316454954746098,1.5477034582278189,0.15228374920442822,-0.14649177380816236,1.1724898625546216,5.311458455981175,6,0.16666666666666666,6680,0.1802649354386039,-0.19864737831071655,1.0338845881065304,0.12657507998913076,-0.13601268427951485,1.0145371573884596,,6,0.2588323353293413,462,462,0.4583098591549296,0.07792207792207792
