window_no,as_of,n_pool,n_selected,pct_selected,tsmc_index_weight
1,2015-03-31,7128,183,0.025673400673400674,0.1305865355957232
1,2015-06-30,7128,270,0.03787878787878788,0.12898681449849667
1,2015-09-30,7128,97,0.013608305274971942,0.13508574508048624
1,2015-12-31,7128,56,0.007856341189674524,0.1437562289265193
1,2016-03-31,7128,232,0.03254769921436588,0.15495641897863768
1,2016-06-30,7128,34,0.004769921436588103,0.15664549056369217
1,2016-09-30,7128,201,0.0281986531986532,0.1657080335810349
1,2016-12-31,7128,312,0.04377104377104377,0.16295320591417037
1,2017-03-31,7128,120,0.016835016835016835,0.15925715063758544
1,2017-06-30,7128,361,0.05064534231200898,0.16550679929903156
1,2017-09-30,7128,323,0.04531425364758698,0.17069909760606453
1,2017-12-31,7128,189,0.026515151515151516,0.17561580986181086
2,2018-03-31,7128,263,0.03689674523007856,0.18379675093612846
2,2018-06-30,7128,36,0.005050505050505051,0.16017723124948338
2,2018-09-30,7128,325,0.04559483726150393,0.19306108663265
2,2018-12-31,7128,48,0.006734006734006734,0.18608756008071972
2,2019-03-31,7128,48,0.006734006734006734,0.184030750867011
2,2019-06-30,7128,104,0.014590347923681257,0.1777604282385636
2,2019-09-30,7128,192,0.026936026936026935,0.19971449548726575
2,2019-12-31,7128,299,0.04194725028058362,0.21938579280177287
2,2020-03-31,7128,161,0.022586980920314255,0.2248304450196818
2,2020-06-30,7128,247,0.03465207631874299,0.2111137827686792
2,2020-09-30,7128,336,0.04713804713804714,0.2720912247290012
2,2020-12-31,7128,315,0.04419191919191919,0.28270669273865545
3,2021-03-31,7128,120,0.016835016835016835,0.2793152419404696
3,2021-06-30,7128,70,0.009820426487093154,0.2617334146212453
3,2021-09-30,7128,42,0.005892255892255892,0.2664446085434995
3,2021-12-31,7128,112,0.015712682379349047,0.2590480465311005
3,2022-03-31,7128,188,0.026374859708193043,0.2595992956177669
3,2022-06-30,7128,166,0.023288439955106623,0.24542534472826566
3,2022-09-30,7128,408,0.05723905723905724,0.25710255775179947
3,2022-12-31,7128,384,0.05387205387205387,0.25710255775179947
3,2023-03-31,7128,405,0.056818181818181816,0.25710255775179947
3,2023-06-30,7128,63,0.008838383838383838,0.25466209452421174
3,2023-09-30,7128,47,0.006593714927048261,0.23992893759800005
3,2023-12-31,7128,219,0.030723905723905723,0.2477714829268426
