window_no,beta,ann_return,ann_ew_benchmark,ann_excess,avg_coverage_frac,n_rep
1,0.0,0.1906737116449977,0.07199616311418722,0.11867754853081047,0.038104359753672906,35
1,1.0,0.19039500635619167,0.07199616311418722,0.11839884324200445,0.038104359753672906,35
1,2.0,0.19012946879472703,0.07199616311418722,0.11813330568053981,0.038104359753672906,35
1,5.0,0.1894050131520142,0.07199616311418722,0.11740885003782697,0.038104359753672906,35
1,10.0,0.18839967174219052,0.07199616311418722,0.1164035086280033,0.038104359753672906,35
2,0.0,0.24536373704879932,0.14420932017995391,0.10115441686884541,0.03742515389805341,35
2,1.0,0.2452719252695248,0.14420932017995391,0.10106260508957088,0.03742515389805341,35
2,2.0,0.24518673810952185,0.14420932017995391,0.10097741792956794,0.03742515389805341,35
2,5.0,0.24496885365341847,0.14420932017995391,0.10075953347346456,0.03742515389805341,35
2,10.0,0.2447108306461021,0.14420932017995391,0.10050151046614819,0.03742515389805341,35
3,0.0,0.2789566237695116,0.15995453520368952,0.11900208856582206,0.04536552442163417,30
3,1.0,0.2787519720914773,0.15995453520368952,0.11879743688778777,0.04536552442163417,30
3,2.0,0.27855750736928364,0.15995453520368952,0.11860297216559412,0.04536552442163417,30
3,5.0,0.27802414919528107,0.15995453520368952,0.11806961399159155,0.04536552442163417,30
3,10.0,0.2772652044622219,0.15995453520368952,0.1173106692585324,0.04536552442163417,30
