window_no,is_start,is_end,n_universe,n_picks,pool_估值倍數,pick_估值倍數,pool_動量,pick_動量,pool_現金流品質,pick_現金流品質
1,2007-01,2012-12,6679,30,0.7266057793082796,0.7333333333333333,0.17876927683785,0.13333333333333333,0.09462494385387034,0.13333333333333333
2,2009-01,2014-12,6680,30,0.7266467065868264,0.8,0.17874251497005988,0.13333333333333333,0.09461077844311377,0.06666666666666667
3,2011-01,2016-12,6680,30,0.7266467065868264,0.7333333333333333,0.17874251497005988,0.26666666666666666,0.09461077844311377,0.0
4,2013-01,2018-12,6680,30,0.7266467065868264,0.5666666666666667,0.17874251497005988,0.43333333333333335,0.09461077844311377,0.0
5,2015-01,2020-12,6680,30,0.7266467065868264,0.7333333333333333,0.17874251497005988,0.23333333333333334,0.09461077844311377,0.03333333333333333
6,2017-01,2022-12,6680,30,0.7266467065868264,0.7333333333333333,0.17874251497005988,0.16666666666666666,0.09461077844311377,0.1
