window_no,as_of,end,portfolio_return,equal_weight_bench,excess_vs_ball,excess_vs_ball_old_placeholder,ball_benchmark_return,ball_excess_vs_equal_weight
1,2014-12-31,2015-03-31,0.0653773087819157,0.0288918910959487,0.0079280597325975,0.036485417685967,0.0574492490493181,0.0285573579533694
1,2015-03-31,2015-06-30,-0.0360361249172672,-0.0741773264703142,0.0020220770375351,0.038141201553047,-0.0380582019548024,0.03611912451551181
1,2015-06-30,2015-09-30,-0.0735632159175894,-0.088418953477227,-0.0025113612517478,0.0148557375596376,-0.0710518546658415,0.017367098811385498
1,2015-09-30,2015-12-31,0.0522714995851286,0.0567357203750204,0.0065963624253084,-0.0044642207898917,0.0456751371598201,-0.0110605832152003
1,2015-12-31,2016-03-31,0.0717109217787024,0.0447723171899277,0.0062462467812853,0.0269386045887747,0.0654646749974171,0.020692357807489396
1,2016-03-31,2016-06-30,0.0235609546950145,-0.0131814500704075,0.0131028932028174,0.036742404765422,0.0104580614921971,0.0236395115626046
1,2016-06-30,2016-09-30,0.135476492545856,0.0790804653299118,0.0327351197591104,0.0563960272159441,0.1027413727867456,0.023660907456833802
1,2016-09-30,2016-12-31,0.0149494774263098,-0.0054480258515395,0.0072064501010303,0.0203975032778494,0.0077430273252794,0.013191053176818901
1,2016-12-31,2017-03-31,0.1504461342225728,0.1029147729826507,0.0289847262710003,0.047531361239922,0.1214614079515725,0.018546634968921796
1,2017-03-31,2017-06-30,0.0343529393218385,0.0163420241023239,0.0005855085435639,0.0180109152195146,0.0337674307782745,0.017425406675950602
1,2017-06-30,2017-09-30,0.0813479540383748,0.0594049399567225,-0.0002238431931902,0.0219430140816523,0.081571797231565,0.022166857274842508
1,2017-09-30,2017-12-31,0.0570883900170395,0.0331367044986298,0.0136244669216743,0.0239516855184096,0.0434639230953651,0.0103272185967353
2,2017-12-31,2018-03-31,0.074844600558594,0.0462373197637156,0.0237501685594274,0.0286072807948783,0.0510944319991666,0.004857112235451003
2,2018-03-31,2018-06-30,0.029959397674396,0.0147022640312448,-0.0018698423164326,0.0152571336431512,0.0318292399908287,0.0171269759595839
2,2018-06-30,2018-09-30,-0.0201002302616734,-0.0443401400412394,0.004843109657217,0.0242399097795659,-0.0249433399188904,0.019396800122349
2,2018-09-30,2018-12-31,-0.0650157655054338,-0.071025081068428,0.000820467479218,0.0060093155629942,-0.0658362329846518,0.005188848083776204
2,2018-12-31,2019-03-31,0.1409306008092329,0.1102829269241488,0.0124227490860645,0.030647673885084,0.1285078517231683,0.018224924799019507
2,2019-03-31,2019-06-30,0.0184094634554505,-0.0040679537170591,0.0091107013099446,0.0224774171725097,0.0092987621455059,0.013366715862565
2,2019-06-30,2019-09-30,0.0777127144263486,0.0494188137824771,0.011895888733073,0.0282939006438715,0.0658168256932755,0.0163980119107984
2,2019-09-30,2019-12-31,0.0595848479962837,0.0514845516441429,-0.0021380373494748,0.0081002963521407,0.0617228853457585,0.010238333701615601
2,2019-12-31,2020-03-31,-0.1722239586732754,-0.2138344392868858,0.019363139786506,0.0416104806136104,-0.1915870984597814,0.022247340827104417
2,2020-03-31,2020-06-30,0.292073215252726,0.3304949246324924,-0.0115793128117698,-0.0384217093797663,0.3036525280644959,-0.02684239656799653
2,2020-06-30,2020-09-30,0.1566001974006112,0.0934689334186874,0.0328233820489248,0.0631312639819238,0.1237768153516864,0.030307881932999006
2,2020-09-30,2020-12-31,0.1602011217060506,0.1389154268067182,-0.0098190629964471,0.0212856948993323,0.1700201847024978,0.0311047578957796
3,2020-12-31,2021-03-31,0.1548079868730017,0.1199739877347572,0.0178363849468013,0.0348339991382445,0.1369716019262004,0.01699761419144319
3,2021-03-31,2021-06-30,0.1260001131815161,0.0695861510477426,0.0359492482093885,0.0564139621337735,0.0900508649721276,0.020464713924384995
3,2021-06-30,2021-09-30,-0.0059052982066765,-0.0047248290336803,-0.0028146508093879,-0.0011804691729962,-0.0030906473972886,0.0016341816363916995
3,2021-09-30,2021-12-31,0.1144389947036338,0.1165452581718006,-0.0096029194555828,-0.0021062634681667,0.1240419141592167,0.007496655987416098
3,2021-12-31,2022-03-31,0.0025899707709789,-0.0212965362577749,0.013477998256687,0.0238865070287538,-0.0108880274857081,0.0104085087720668
3,2022-03-31,2022-06-30,-0.0660026243138485,-0.088583651011794,0.0016917860029613,0.0225810266979454,-0.0676944103168099,0.0208892406949841
3,2022-06-30,2022-09-30,0.0158268054661355,-0.0146675368849515,0.0091609704607726,0.030494342351087,0.0066658350053629,0.0213333718903144
3,2022-09-30,2022-12-31,0.03084792832696,0.0407600463534182,-0.004228410670742,-0.0099121180264582,0.035076338997702,-0.005683707355716196
3,2022-12-31,2023-03-31,0.1557254677758744,0.1334397717671429,0.0003012678209823,0.0222856960087314,0.155424199954892,0.021984428187749122
3,2023-03-31,2023-06-30,0.1645975671094805,0.0750189805270203,0.0379000008989687,0.0895785865824602,0.1266975662105118,0.051678585683491485
3,2023-06-30,2023-09-30,0.017703016621904,-0.025598437304516,0.0211887835138303,0.0433014539264201,-0.0034857668919263,0.0221126704125897
3,2023-09-30,2023-12-31,0.0811856363587719,0.0795078338900107,0.0027584721939886,0.0016778024687612,0.0784271641647833,-0.0010806697252273983
