symbol,name,as_of,n_pool,n_selected,pct_selected,index_weight
2330,台積電,2023-12-31,7128,219,0.030723905723905723,0.2477714829268426
2330,台積電,2024-03-31,7128,219,0.030723905723905723,0.28928171528912844
2330,台積電,2024-06-30,7128,150,0.021043771043771045,0.31678191307152165
2330,台積電,2024-09-30,7128,119,0.01669472502805836,0.32393883079136027
2330,台積電,2024-12-31,7128,325,0.04559483726150393,0.35296487227132234
2330,台積電,2025-03-31,7128,120,0.016835016835016835,0.33236108961959165
2330,台積電,2025-06-30,7128,249,0.03493265993265993,0.3617983007231801
2330,台積電,2025-09-30,7128,709,0.0994668911335578,0.3838149107811754
2317,鴻海,2023-12-31,7128,224,0.031425364758698095,0.023329133132722193
2317,鴻海,2024-03-31,7128,224,0.031425364758698095,0.029774538003315327
2317,鴻海,2024-06-30,7128,384,0.05387205387205387,0.03751376506627173
2317,鴻海,2024-09-30,7128,309,0.04335016835016835,0.03399610309471451
2317,鴻海,2024-12-31,7128,516,0.0723905723905724,0.032362941286995385
2317,鴻海,2025-03-31,7128,952,0.1335578002244669,0.028564636548199716
2317,鴻海,2025-06-30,7128,576,0.08080808080808081,0.029437223055764516
2317,鴻海,2025-09-30,7128,1887,0.2647306397306397,0.034208616908837905
2454,聯發科,2023-12-31,7128,120,0.016835016835016835,0.02606427287931721
2454,聯發科,2024-03-31,7128,120,0.016835016835016835,0.02737048041103072
2454,聯發科,2024-06-30,7128,120,0.016835016835016835,0.028313264697277036
2454,聯發科,2024-09-30,7128,64,0.008978675645342313,0.02456520072064358
2454,聯發科,2024-12-31,7128,161,0.022586980920314255,0.028695195379980217
2454,聯發科,2025-03-31,7128,62,0.008698092031425365,0.03135496539682665
2454,聯發科,2025-06-30,7128,0,0.0,0.02635082714823307
2454,聯發科,2025-09-30,7128,433,0.06074635241301908,0.023920804122156757
