window_no,beta,ann_return,ann_ew_benchmark,ann_excess,n_rep
4,0.0,0.03548858129005361,0.051014702625144404,-0.015526121335090792,30
4,1.0,0.03568679124529939,0.051014702625144404,-0.015327911379845016,30
4,2.0,0.03587966304283641,0.051014702625144404,-0.015135039582307996,30
4,5.0,0.03642548626793163,0.051014702625144404,-0.014589216357212775,30
4,10.0,0.0372298911427833,0.051014702625144404,-0.013784811482361103,30
4,20.0,0.038510033825359,0.051014702625144404,-0.012504668799785401,30
4,50.0,0.04080488815236061,0.051014702625144404,-0.010209814472783796,30
4,100.0,0.0425541059025365,0.051014702625144404,-0.008460596722607905,30
4,200.0,0.04392561226523406,0.051014702625144404,-0.007089090359910344,30
4,500.0,0.045029363403458644,0.051014702625144404,-0.005985339221685759,30
