symbol,as_of,n_pool,n_selected,pct_selected,index_weight
NVDA,2023-12-31,8682,271,0.031214005989403364,
NVDA,2024-03-31,8682,166,0.019120018428933426,
NVDA,2024-06-30,8682,426,0.04906703524533518,
NVDA,2024-09-30,8682,155,0.017853029255931813,
NVDA,2024-12-31,8682,116,0.013360976733471551,
NVDA,2025-03-31,8682,59,0.006795669200645013,
NVDA,2025-06-30,8682,196,0.022575443446210552,
NVDA,2025-09-30,8682,35,0.004031329186823312,
