window_no,is_start,is_end,oos_start,oos_end,variant,target_total,n_members,v1_frac,avg_holdings,frac_top10pct_mktcap,is_cagr,is_mdd,is_sharpe,oos_cagr,oos_mdd,oos_sharpe
1,2007-01,2012-12,2013-01,2014-12,baseline,30,30,0.3,34.1628440041507,0.12944162436548223,0.3655619441865481,-0.32223604493633773,1.1958173846472318,0.24717800795983624,-0.08308506776721447,2.234462883008337
1,2007-01,2012-12,2013-01,2014-12,holdings_ge10,30,30,0.3,34.1628440041507,0.12944162436548223,0.3655619441865481,-0.32223604493633773,1.1958173846472318,0.24717800795983624,-0.08308506776721447,2.234462883008337
1,2007-01,2012-12,2013-01,2014-12,holdings_ge30,30,30,0.16666666666666666,46.859490233306424,0.10660980810234541,0.280340220870535,-0.3900352824713752,1.0345067757699136,0.24012641815899283,-0.08365882862518459,2.2316852643639176
1,2007-01,2012-12,2013-01,2014-12,exclude_v1,30,30,0.0,36.520015667399434,0.12435233160621761,0.3247718276673406,-0.3381346433116007,1.152361089088105,0.284027706745531,-0.0821640575800987,2.4132865584278105
1,2007-01,2012-12,2013-01,2014-12,cagr_gt_bench,30,30,0.3,34.1628440041507,0.12944162436548223,0.3655619441865481,-0.32223604493633773,1.1958173846472318,0.24717800795983624,-0.08308506776721447,2.234462883008337
1,2007-01,2012-12,2013-01,2014-12,combo_best,30,30,0.16666666666666666,47.259919417855784,0.10775862068965517,0.28821286361688836,-0.37735430457677466,1.0541612410791137,0.23819024627413565,-0.08319713424817754,2.221809055499692
2,2009-01,2014-12,2015-01,2016-12,baseline,30,30,0.3333333333333333,28.26855739629973,0.10515463917525773,0.46878338298447586,-0.13844902790008162,1.7464575193555938,0.10962876306688707,-0.154825587382878,0.9729570220820944
2,2009-01,2014-12,2015-01,2016-12,holdings_ge10,30,30,0.3333333333333333,28.26855739629973,0.10515463917525773,0.46878338298447586,-0.13844902790008162,1.7464575193555938,0.10962876306688707,-0.154825587382878,0.9729570220820944
2,2009-01,2014-12,2015-01,2016-12,holdings_ge30,30,30,0.16666666666666666,41.369826143282886,0.11238095238095239,0.434741817572337,-0.15421772557625946,1.6597732869324238,0.10130299534269582,-0.15840667432143118,0.9222632025879424
2,2009-01,2014-12,2015-01,2016-12,exclude_v1,30,30,0.0,32.42238362257942,0.11226611226611227,0.4756585594630922,-0.14590680549472823,1.7038554947845101,0.11195860054977391,-0.15672655617157638,0.9938293808921262
2,2009-01,2014-12,2015-01,2016-12,cagr_gt_bench,30,30,0.3333333333333333,28.26855739629973,0.10515463917525773,0.46878338298447586,-0.13844902790008162,1.7464575193555938,0.10962876306688707,-0.154825587382878,0.9729570220820944
2,2009-01,2014-12,2015-01,2016-12,combo_best,30,30,0.16666666666666666,41.27428098199256,0.11259541984732824,0.4388853808748667,-0.15462786299806575,1.656654794851938,0.10110913392300969,-0.15851350036628153,0.9182153428326757
3,2011-01,2016-12,2017-01,2018-12,baseline,30,30,0.3,30.02743803934834,0.10930232558139535,0.22751390633598945,-0.14110439634817318,1.3143334717602695,0.1645189256624644,-0.1351187273529355,1.3443724753079902
3,2011-01,2016-12,2017-01,2018-12,holdings_ge10,30,30,0.3,30.02743803934834,0.10930232558139535,0.22751390633598945,-0.14110439634817318,1.3143334717602695,0.1645189256624644,-0.1351187273529355,1.3443724753079902
