variant,uid,as_of,symbol,V,F1_factor,F1_band,F1_nbands,F1_pass,F2_factor,F2_pass,C_source,C_rule,C_pass,V_pass,selected
rolling_baseline,TW::PB_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2024-12-31,mtk,v0,PB,0,3,False,CROIC,False,ROE,qmax8,False,,False
rolling_baseline,TW::PB_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2025-03-31,tsmc,v0,PB,0,3,False,CROIC,False,ROE,qmax8,True,,False
rolling_baseline,TW::PB_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2025-03-31,mtk,v0,PB,0,3,False,CROIC,False,ROE,qmax8,False,,False
rolling_baseline,TW::PB_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2025-06-30,tsmc,v0,PB,0,3,False,CROIC,True,ROE,qmax8,False,,False
rolling_baseline,TW::PB_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2025-06-30,mtk,v0,PB,0,3,False,CROIC,False,ROE,qmax8,False,,False
rolling_baseline,TW::PB_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2025-09-30,tsmc,v0,PB,0,3,False,CROIC,False,ROE,qmax8,False,,False
rolling_baseline,TW::PB_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2025-09-30,mtk,v0,PB,0,3,False,CROIC,True,ROE,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2023-12-31,tsmc,v0,EV_S,0,3,False,CROIC,False,ROE,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2023-12-31,mtk,v0,EV_S,0,3,False,CROIC,True,ROE,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2024-03-31,tsmc,v0,EV_S,0,3,False,CROIC,False,ROE,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2024-03-31,mtk,v0,EV_S,0,3,False,CROIC,True,ROE,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2024-06-30,tsmc,v0,EV_S,0,3,False,CROIC,True,ROE,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2024-06-30,mtk,v0,EV_S,0,3,False,CROIC,False,ROE,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2024-09-30,tsmc,v0,EV_S,0,3,False,CROIC,True,ROE,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2024-09-30,mtk,v0,EV_S,0,3,False,CROIC,False,ROE,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2024-12-31,tsmc,v0,EV_S,0,3,False,CROIC,False,ROE,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2024-12-31,mtk,v0,EV_S,0,3,False,CROIC,False,ROE,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2025-03-31,tsmc,v0,EV_S,0,3,False,CROIC,False,ROE,qmax8,True,,False
rolling_baseline,TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2025-03-31,mtk,v0,EV_S,0,3,False,CROIC,False,ROE,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2025-06-30,tsmc,v0,EV_S,0,3,False,CROIC,True,ROE,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2025-06-30,mtk,v0,EV_S,0,3,False,CROIC,False,ROE,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2025-09-30,tsmc,v0,EV_S,0,3,False,CROIC,False,ROE,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,2025-09-30,mtk,v0,EV_S,0,3,False,CROIC,True,ROE,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,2023-12-31,tsmc,v0,EV_S,0,3,False,DEBTRATIO,False,EPS,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,2023-12-31,mtk,v0,EV_S,0,3,False,DEBTRATIO,False,EPS,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,2024-03-31,tsmc,v0,EV_S,0,3,False,DEBTRATIO,False,EPS,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,2024-03-31,mtk,v0,EV_S,0,3,False,DEBTRATIO,False,EPS,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,2024-06-30,tsmc,v0,EV_S,0,3,False,DEBTRATIO,False,EPS,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,2024-06-30,mtk,v0,EV_S,0,3,False,DEBTRATIO,False,EPS,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,2024-09-30,tsmc,v0,EV_S,0,3,False,DEBTRATIO,False,EPS,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,2024-09-30,mtk,v0,EV_S,0,3,False,DEBTRATIO,False,EPS,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,2024-12-31,tsmc,v0,EV_S,0,3,False,DEBTRATIO,False,EPS,qmax8,True,,False
rolling_baseline,TW::EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,2024-12-31,mtk,v0,EV_S,0,3,False,DEBTRATIO,False,EPS,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,2025-03-31,tsmc,v0,EV_S,0,3,False,DEBTRATIO,False,EPS,qmax8,True,,False
rolling_baseline,TW::EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,2025-03-31,mtk,v0,EV_S,0,3,False,DEBTRATIO,False,EPS,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,2025-06-30,tsmc,v0,EV_S,0,3,False,DEBTRATIO,False,EPS,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,2025-06-30,mtk,v0,EV_S,0,3,False,DEBTRATIO,False,EPS,qmax8,False,,False
rolling_baseline,TW::EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,2025-09-30,tsmc,v0,EV_S,0,3,False,DEBTRATIO,True,EPS,qmax8,True,,False
rolling_baseline,TW::EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,2025-09-30,mtk,v0,EV_S,0,3,False,DEBTRATIO,False,EPS,qmax8,False,,False
rolling_baseline,TW::PB_qb0of3__REVENUE_qb1of3__C5_ROE_DYN_yoy__v1,2023-12-31,tsmc,v1,PB,0,3,False,REVENUE,False,ROE,yoy,False,False,False
rolling_baseline,TW::PB_qb0of3__REVENUE_qb1of3__C5_ROE_DYN_yoy__v1,2023-12-31,mtk,v1,PB,0,3,False,REVENUE,False,ROE,yoy,False,False,False
rolling_baseline,TW::PB_qb0of3__REVENUE_qb1of3__C5_ROE_DYN_yoy__v1,2024-03-31,tsmc,v1,PB,0,3,False,REVENUE,False,ROE,yoy,False,False,False
rolling_baseline,TW::PB_qb0of3__REVENUE_qb1of3__C5_ROE_DYN_yoy__v1,2024-03-31,mtk,v1,PB,0,3,False,REVENUE,False,ROE,yoy,False,False,False
rolling_baseline,TW::PB_qb0of3__REVENUE_qb1of3__C5_ROE_DYN_yoy__v1,2024-06-30,tsmc,v1,PB,0,3,False,REVENUE,False,ROE,yoy,False,False,False
rolling_baseline,TW::PB_qb0of3__REVENUE_qb1of3__C5_ROE_DYN_yoy__v1,2024-06-30,mtk,v1,PB,0,3,False,REVENUE,False,ROE,yoy,True,False,False
rolling_baseline,TW::PB_qb0of3__REVENUE_qb1of3__C5_ROE_DYN_yoy__v1,2024-09-30,tsmc,v1,PB,0,3,False,REVENUE,False,ROE,yoy,True,False,False
rolling_baseline,TW::PB_qb0of3__REVENUE_qb1of3__C5_ROE_DYN_yoy__v1,2024-09-30,mtk,v1,PB,0,3,False,REVENUE,False,ROE,yoy,True,False,False
