strategy_uid,strategy,market,f_combo,F1_factor,F1_band,F1_nbands,F2_factor,F2_band,F2_nbands,F2_empty,C_id,C_source,C_rule,V,factor_type,factor_type_basis,CAGR,max_drawdown,win_ratio,avg_holdings,sharpe_ann,daily_sharpe,avg_drawdown,artifacts_dir,category,cagr_is,mdd_is,calmar_is
TW::PB_qb1of3__ROIC_qb1of3__C4_ROE_DYN_qmax8__v0,PB_qb1of3__ROIC_qb1of3__C4_ROE_DYN_qmax8__v0,TW,PB_qb1of3__ROIC_qb1of3,PB,1,3,ROIC,1.0,3.0,False,C4,ROE,qmax8,v0,混合型,F1=PB(估值型)；F2=ROIC(體質型),0.1560138575681109,-0.7629584408841722,0.5219594594594594,18.965665236051503,0.7187237068388804,15.18,-0.1750438200362056,D:\git\stock_factor_lab\code\results_artifacts\TW_L3_openSec_M\PB_qb1of3__ROIC_qb1of3__C4_ROE_DYN_qmax8__v0,估值倍數,0.32821178994430955,-0.1658000534325773,1.9795638369789614
TW::PS_qb0of3__REVENUE_qb0of3__C3_ROE_DYN_qmax4__v0,PS_qb0of3__REVENUE_qb0of3__C3_ROE_DYN_qmax4__v0,TW,PS_qb0of3__REVENUE_qb0of3,PS,0,3,REVENUE,0.0,3.0,False,C3,ROE,qmax4,v0,混合型,F1=PS(估值型)；F2=REVENUE(規模型),0.3198244946210331,-0.5394552266749292,0.4951076320939334,16.717557251908396,1.1446872839051414,11.23,-0.08385478129282872,D:\git\stock_factor_lab\code\results_artifacts\TW_L3_openSec_M\PS_qb0of3__REVENUE_qb0of3__C3_ROE_DYN_qmax4__v0,估值倍數,0.37168026542318855,-0.19018799217838778,1.9542782967842112
TW::MOM_qb2of3__EPS_qb1of3__C11_EPS_DYN_qmax8__v0,MOM_qb2of3__EPS_qb1of3__C11_EPS_DYN_qmax8__v0,TW,MOM_qb2of3__EPS_qb1of3,MOM,2,3,EPS,1.0,3.0,False,C11,EPS,qmax8,v0,混合型,F1=MOM(動能型)；F2=EPS(體質型),0.2232513032863781,-0.4528043881039131,0.5057573073516386,34.39055793991416,0.9822908034030179,13.78,-0.0806242980283207,D:\git\stock_factor_lab\code\results_artifacts\TW_L3_openSec_M\MOM_qb2of3__EPS_qb1of3__C11_EPS_DYN_qmax8__v0,動量,0.31553923610553936,-0.16689203397507568,1.8906788334346938
TW::PS_qb0of3__NETDEBT_EBITDA_qb0of3__C10_EPS_DYN_qmax4__v0,PS_qb0of3__NETDEBT_EBITDA_qb0of3__C10_EPS_DYN_qmax4__v0,TW,PS_qb0of3__NETDEBT_EBITDA_qb0of3,PS,0,3,NETDEBT_EBITDA,0.0,3.0,False,C10,EPS,qmax4,v0,混合型,F1=PS(估值型)；F2=NETDEBT_EBITDA(結構型),0.2028677897478636,-0.5017196851461155,0.535840188014101,27.27099236641221,0.8812341010845006,13.31,-0.07240094694186262,D:\git\stock_factor_lab\code\results_artifacts\TW_L3_openSec_M\PS_qb0of3__NETDEBT_EBITDA_qb0of3__C10_EPS_DYN_qmax4__v0,估值倍數,0.29040512846822786,-0.16403003814246708,1.7704387059643223
TW::PB_qb1of3__NETDEBT_EBITDA_qb0of3__C11_EPS_DYN_qmax8__v0,PB_qb1of3__NETDEBT_EBITDA_qb0of3__C11_EPS_DYN_qmax8__v0,TW,PB_qb1of3__NETDEBT_EBITDA_qb0of3,PB,1,3,NETDEBT_EBITDA,0.0,3.0,False,C11,EPS,qmax8,v0,混合型,F1=PB(估值型)；F2=NETDEBT_EBITDA(結構型),0.1518141762965004,-0.6535650201572976,0.5394230769230769,17.4,0.7558096433884341,15.33,-0.12540394185077353,D:\git\stock_factor_lab\code\results_artifacts\TW_L3_openSec_M\PB_qb1of3__NETDEBT_EBITDA_qb0of3__C11_EPS_DYN_qmax8__v0,估值倍數,0.2810833607376464,-0.17527925371785658,1.6036316607674546
TW::MOM_qb2of3__EV_EBITDA_qb1of3__C17_FCF_P_DYN_qmax4__v0,MOM_qb2of3__EV_EBITDA_qb1of3__C17_FCF_P_DYN_qmax4__v0,TW,MOM_qb2of3__EV_EBITDA_qb1of3,MOM,2,3,EV_EBITDA,1.0,3.0,False,C17,FCF_P,qmax4,v0,混合型,F1=MOM(動能型)；F2=EV_EBITDA(估值型),0.1519087552763163,-0.6727196104772792,0.4691929418571015,39.534351145038165,0.7317674782223882,16.16,-0.10543197705609865,D:\git\stock_factor_lab\code\results_artifacts\TW_L3_openSec_M\MOM_qb2of3__EV_EBITDA_qb1of3__C17_FCF_P_DYN_qmax4__v0,動量,0.2295915146812706,-0.14573826701800752,1.5753687715588254
TW::P_IC_qb1of3__MOM_qb2of3__C4_ROE_DYN_qmax8__v0,P_IC_qb1of3__MOM_qb2of3__C4_ROE_DYN_qmax8__v0,TW,P_IC_qb1of3__MOM_qb2of3,P_IC,1,3,MOM,2.0,3.0,False,C4,ROE,qmax8,v0,混合型,F1=P_IC(估值型)；F2=MOM(動能型),0.2021734254998659,-0.6817025470861799,0.5225048923679061,31.600858369098717,0.9053390754263353,15.01,-0.09904157483325599,D:\git\stock_factor_lab\code\results_artifacts\TW_L3_openSec_M\P_IC_qb1of3__MOM_qb2of3__C4_ROE_DYN_qmax8__v0,估值倍數,0.2783484342012348,-0.18665655660641878,1.4912330928088218
TW::EV_S_qb1of3__NETDEBT_EBITDA_qb2of3__C2_ROE_DYN_riseq2__v1,EV_S_qb1of3__NETDEBT_EBITDA_qb2of3__C2_ROE_DYN_riseq2__v1,TW,EV_S_qb1of3__NETDEBT_EBITDA_qb2of3,EV_S,1,3,NETDEBT_EBITDA,2.0,3.0,False,C2,ROE,riseq2,v1,混合型,F1=EV_S(估值型)；F2=NETDEBT_EBITDA(結構型),0.1811403485067808,-0.6582375914984382,0.488262910798122,10.576642335766424,0.7380023066237131,15.63,-0.12829179174370475,D:\git\stock_factor_lab\code\results_artifacts\TW_L4_openSec_M\EV_S_qb1of3__NETDEBT_EBITDA_qb2of3__C2_ROE_DYN_riseq2__v1,估值倍數,0.26596308358939824,-0.1492937187566833,1.781475374880714
TW::MOM_qb2of3__FCF_P_qb0of3__C9_EPS_DYN_riseq2__v1,MOM_qb2of3__FCF_P_qb0of3__C9_EPS_DYN_riseq2__v1,TW,MOM_qb2of3__FCF_P_qb0of3,MOM,2,3,FCF_P,0.0,3.0,False,C9,EPS,riseq2,v1,混合型,F1=MOM(動能型)；F2=FCF_P(估值型),0.2332233826478087,-0.5857476623277935,0.5039447731755424,11.791970802919709,0.7140174685028962,13.88,-0.1076462050184101,D:\git\stock_factor_lab\code\results_artifacts\TW_L4_openSec_M\MOM_qb2of3__FCF_P_qb0of3__C9_EPS_DYN_riseq2__v1,動量,0.252306685299978,-0.15237599949188896,1.65581644183675
TW::EV_S_qb0of3__REVENUE_qb1of3__C5_ROE_DYN_yoy__v1,EV_S_qb0of3__REVENUE_qb1of3__C5_ROE_DYN_yoy__v1,TW,EV_S_qb0of3__REVENUE_qb1of3,EV_S,0,3,REVENUE,1.0,3.0,False,C5,ROE,yoy,v1,混合型,F1=EV_S(估值型)；F2=REVENUE(規模型),0.1604881623460374,-0.5858572888260312,0.5248380129589633,12.865853658536585,0.7329276535277045,14.29,-0.09235906347247952,D:\git\stock_factor_lab\code\results_artifacts\TW_L4_openSec_M\EV_S_qb0of3__REVENUE_qb1of3__C5_ROE_DYN_yoy__v1,估值倍數,0.24912254057466843,-0.1674060978646401,1.4881330115949656
TW::EV_S_qb0of3__OCF_E_qb1of3__C2_ROE_DYN_riseq2__v1,EV_S_qb0of3__OCF_E_qb1of3__C2_ROE_DYN_riseq2__v1,TW,EV_S_qb0of3__OCF_E_qb1of3,EV_S,0,3,OCF_E,1.0,3.0,False,C2,ROE,riseq2,v1,混合型,F1=EV_S(估值型)；F2=OCF_E(體質型),0.2045332018580208,-0.6497842065823758,0.5235042735042735,11.544444444444444,0.7924250679288737,11.93,-0.1221380578176528,D:\git\stock_factor_lab\code\results_artifacts\TW_L4_openSec_M\EV_S_qb0of3__OCF_E_qb1of3__C2_ROE_DYN_riseq2__v1,估值倍數,0.2727068261582435,-0.1866641962852461,1.4609487603156286
TW::OCF_E_qb2of3__EV_EBITDA_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,OCF_E_qb2of3__EV_EBITDA_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,TW,OCF_E_qb2of3__EV_EBITDA_qb0of3,OCF_E,2,3,EV_EBITDA,0.0,3.0,False,C6,ROE,ytdavg_gt_lyytdavg,v1,混合型,F1=OCF_E(體質型)；F2=EV_EBITDA(估值型),0.1745836325843122,-0.6297892782681356,0.5513937282229965,13.569395017793594,0.8107081348652843,14.56,-0.08724979259197185,D:\git\stock_factor_lab\code\results_artifacts\TW_L4_openSec_M\OCF_E_qb2of3__EV_EBITDA_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,現金流品質,0.2433528964727547,-0.1666674343219452,1.460110653666625
TW::P_IC_qb1of3__DEBTRATIO_qb0of3__C9_EPS_DYN_riseq2__v1,P_IC_qb1of3__DEBTRATIO_qb0of3__C9_EPS_DYN_riseq2__v1,TW,P_IC_qb1of3__DEBTRATIO_qb0of3,P_IC,1,3,DEBTRATIO,0.0,3.0,False,C9,EPS,riseq2,v1,混合型,F1=P_IC(估值型)；F2=DEBTRATIO(結構型),0.1968690470302307,-0.5747560261910856,0.5382198952879581,11.974452554744524,0.8614064112632098,14.48,-0.10191980191545563,D:\git\stock_factor_lab\code\results_artifacts\TW_L4_openSec_M\P_IC_qb1of3__DEBTRATIO_qb0of3__C9_EPS_DYN_riseq2__v1,估值倍數,0.25699451651096683,-0.11647596474868394,2.206416723531544
TW::PB_qb1of3__NETDEBT_EBITDA_qb0of3__C9_EPS_DYN_riseq2__v1,PB_qb1of3__NETDEBT_EBITDA_qb0of3__C9_EPS_DYN_riseq2__v1,TW,PB_qb1of3__NETDEBT_EBITDA_qb0of3,PB,1,3,NETDEBT_EBITDA,0.0,3.0,False,C9,EPS,riseq2,v1,混合型,F1=PB(估值型)；F2=NETDEBT_EBITDA(結構型),0.1731956979815401,-0.7477580328061687,0.5545023696682464,10.74169741697417,0.77144643213313,12.72,-0.13528024236998906,D:\git\stock_factor_lab\code\results_artifacts\TW_L4_openSec_M\PB_qb1of3__NETDEBT_EBITDA_qb0of3__C9_EPS_DYN_riseq2__v1,估值倍數,0.2864419373664735,-0.165943448594144,1.72614188624607
TW::EV_S_qb0of3__NETDEBT_EBITDA_qb0of3__C9_EPS_DYN_riseq2__v1,EV_S_qb0of3__NETDEBT_EBITDA_qb0of3__C9_EPS_DYN_riseq2__v1,TW,EV_S_qb0of3__NETDEBT_EBITDA_qb0of3,EV_S,0,3,NETDEBT_EBITDA,0.0,3.0,False,C9,EPS,riseq2,v1,混合型,F1=EV_S(估值型)；F2=NETDEBT_EBITDA(結構型),0.1993805877144649,-0.6649939252387046,0.54337899543379,14.07037037037037,0.8657263941401516,12.54,-0.08186889032767933,D:\git\stock_factor_lab\code\results_artifacts\TW_L4_openSec_M\EV_S_qb0of3__NETDEBT_EBITDA_qb0of3__C9_EPS_DYN_riseq2__v1,估值倍數,0.258348870870609,-0.15570150834098073,1.6592573419702152
TW::MOM_qb2of3__NETDEBT_EBITDA_qb0of3__C16_FCF_P_DYN_riseq2__v1,MOM_qb2of3__NETDEBT_EBITDA_qb0of3__C16_FCF_P_DYN_riseq2__v1,TW,MOM_qb2of3__NETDEBT_EBITDA_qb0of3,MOM,2,3,NETDEBT_EBITDA,0.0,3.0,False,C16,FCF_P,riseq2,v1,混合型,F1=MOM(動能型)；F2=NETDEBT_EBITDA(結構型),0.2301247086414977,-0.5981322449405583,0.5269271383315733,11.16117216117216,0.8394153509670289,12.14,-0.10383063539289925,D:\git\stock_factor_lab\code\results_artifacts\TW_L4_openSec_M\MOM_qb2of3__NETDEBT_EBITDA_qb0of3__C16_FCF_P_DYN_riseq2__v1,動量,0.32436296201999926,-0.2058972647369317,1.5753631425576602
TW::P_IC_qb1of3__OCF_E_qb1of3__C8_EPS_DYN_riseq1__v1,P_IC_qb1of3__OCF_E_qb1of3__C8_EPS_DYN_riseq1__v1,TW,P_IC_qb1of3__OCF_E_qb1of3,P_IC,1,3,OCF_E,1.0,3.0,False,C8,EPS,riseq1,v1,混合型,F1=P_IC(估值型)；F2=OCF_E(體質型),0.1841273309082924,-0.6132218058559409,0.5315175097276265,14.494736842105263,0.7989742536739368,14.99,-0.09377990584129871,D:\git\stock_factor_lab\code\results_artifacts\TW_L4_openSec_M\P_IC_qb1of3__OCF_E_qb1of3__C8_EPS_DYN_riseq1__v1,估值倍數,0.20549719866628635,-0.13823373780310022,1.486592216431245
