quarter_end,state_used_for_config,apply_w2c_this_quarter,real_decision,simulated_decision(人核准後),portfolio_realized_return
2024-03-31,NONE,False,A0,A0,-0.003393414052980361
2024-06-30,NONE,False,A0,A0,0.11644938686800677
2024-09-30,NONE,False,A0,A0,0.0063089551653431305
2024-12-31,NONE,False,A5,W2c,-0.0483739195676893
2025-03-31,TRIGGERED,True,A5,W2c,-0.07679237497276371
2025-06-30,TRIGGERED,True,A5,W2c,0.05030983564829344
2025-09-30,TRIGGERED,True,A5,W2c,0.1143774054053985
2025-12-31,TRIGGERED,True,A5,W2c,0.08303684540782973
