window_no,alpha,ann_return,ann_ew_benchmark,ann_excess,avg_mcap_coverage
1,1.0,0.19851787495725803,0.07597053002582332,0.12254734493143471,1.0
1,0.75,0.1783213864890949,0.07597053002582332,0.10235085646327158,0.9470304692372822
1,0.5,0.14205153589880415,0.07597053002582332,0.06608100587298082,0.9470304692372822
1,0.25,0.10577165560682777,0.07597053002582332,0.02980112558100445,0.9470304692372822
1,0.0,0.08493263601933498,0.07597053002582332,0.00896210599351166,0.9470304692372822
2,1.0,0.2453637370488,0.14420932017995391,0.10115441686884608,1.0
2,0.75,0.22142774436163282,0.14420932017995391,0.0772184241816789,0.9785421474506036
2,0.5,0.1890038222274486,0.14420932017995391,0.04479450204749469,0.9785421474506036
2,0.25,0.148038348040324,0.14420932017995391,0.0038290278603700934,0.9785421474506036
2,0.0,0.10515366497881051,0.14420932017995391,-0.0390556552011434,0.9785421474506036
3,1.0,0.2789566237695118,0.15995453520368952,0.11900208856582228,1.0
3,0.75,0.2472059957882755,0.15995453520368952,0.087251460584586,0.9853085698754994
3,0.5,0.2127107357281448,0.15995453520368952,0.05275620052445529,0.9853085698754994
3,0.25,0.17542782889604802,0.15995453520368952,0.015473293692358503,0.9853085698754994
3,0.0,0.1498339841372942,0.15995453520368952,-0.010120551066395311,0.9853085698754994
