strategy,F組合,C,CAGR,max_drawdown,win_ratio,持股數,V
PB_qb0of3__EPS_qb0of3__C10_EPS_DYN_qmax4__v0,PB_qb0of3__EPS_qb0of3,C10_EPS_DYN_qmax4,0.5287702737834659,-0.5258332644694323,0.5478260869565217,35.96052631578947,v0
EPS_qb0of3__OCF_E_qb2of3__C18_FCF_P_DYN_qmax8__v0,EPS_qb0of3__OCF_E_qb2of3,C18_FCF_P_DYN_qmax8,0.5281166562361166,-0.5387811955275765,0.5426460711887172,31.84536082474227,v0
P_IC_qb0of3__ROIC_qb0of3__C11_EPS_DYN_qmax8__v0,P_IC_qb0of3__ROIC_qb0of3,C11_EPS_DYN_qmax8,0.527884468949517,-0.5198200513180757,0.6087212728344137,27.069204152249135,v0
REVENUE_qb0of3__PS_qb0of3__C17_FCF_P_DYN_qmax4__v0,REVENUE_qb0of3__PS_qb0of3,C17_FCF_P_DYN_qmax4,0.5267633267607696,-0.4610937410776281,0.5706756109247724,24.673267326732674,v0
REVENUE_qb0of3__PS_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,REVENUE_qb0of3__PS_qb0of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,0.5231955897087919,-0.477324819411828,0.5905325443786982,42.27333333333333,v0
REVENUE_qb0of3__EV_S_qb0of3__C11_EPS_DYN_qmax8__v0,REVENUE_qb0of3__EV_S_qb0of3,C11_EPS_DYN_qmax8,0.5224541085090149,-0.394072509346031,0.6005040957781979,22.625429553264606,v0
REVENUE_qb0of3__OCF_E_qb2of3__C12_EPS_DYN_yoy__v0,REVENUE_qb0of3__OCF_E_qb2of3,C12_EPS_DYN_yoy,0.5213658674752422,-0.39507686777608975,0.5473129610115911,65.68333333333334,v0
CROIC_qb2of3__ROIC_qb0of3__C18_FCF_P_DYN_qmax8__v0,CROIC_qb2of3__ROIC_qb0of3,C18_FCF_P_DYN_qmax8,0.5187645999948771,-0.5818023762414388,0.5466330572560317,28.97938144329897,v0
EPS_qb0of3__ROE_qb2of3__C10_EPS_DYN_qmax4__v0,EPS_qb0of3__ROE_qb2of3,C10_EPS_DYN_qmax4,0.5154883510433694,-0.5499486635907802,0.5272591486183719,18.92763157894737,v0
OCF_E_qb2of3__ROE_qb0of3__C18_FCF_P_DYN_qmax8__v0,OCF_E_qb2of3__ROE_qb0of3,C18_FCF_P_DYN_qmax8,0.5144621749090501,-0.6703325524837842,0.5405797101449276,28.825342465753426,v0
EV_S_qb0of3__EPS_qb0of3__C10_EPS_DYN_qmax4__v0,EV_S_qb0of3__EPS_qb0of3,C10_EPS_DYN_qmax4,0.5130827185223061,-0.5780385530618062,0.5705705705705706,27.174342105263158,v0
REVENUE_qb0of3__OCF_E_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,REVENUE_qb0of3__OCF_E_qb2of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.5130538567688419,-0.4033037583352368,0.5568106312292359,67.19,v0
CROIC_qb2of3__ROIC_qb0of3__C5_ROE_DYN_yoy__v0,CROIC_qb2of3__ROIC_qb0of3,C5_ROE_DYN_yoy,0.5086887798320858,-0.5639865061410934,0.5237467018469657,24.64666666666667,v0
PS_qb0of3__EPS_qb0of3__C10_EPS_DYN_qmax4__v0,PS_qb0of3__EPS_qb0of3,C10_EPS_DYN_qmax4,0.5079877410914149,-0.663945956821248,0.5710607621009269,25.87828947368421,v0
PB_qb0of3__ROIC_qb0of3__C11_EPS_DYN_qmax8__v0,PB_qb0of3__ROIC_qb0of3,C11_EPS_DYN_qmax8,0.5066451449768818,-0.5538576928244601,0.591358024691358,24.632302405498283,v0
REVENUE_qb0of3__PS_qb0of3__C4_ROE_DYN_qmax8__v0,REVENUE_qb0of3__PS_qb0of3,C4_ROE_DYN_qmax8,0.5054523191875107,-0.5063118780932919,0.5830039525691699,12.23793103448276,v0
EPS_qb0of3__OCF_E_qb2of3__C10_EPS_DYN_qmax4__v0,EPS_qb0of3__OCF_E_qb2of3,C10_EPS_DYN_qmax4,0.501049359184252,-0.49766833374800534,0.5534623217922607,23.53135313531353,v0
CROIC_qb2of3__ROIC_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,CROIC_qb2of3__ROIC_qb0of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.49884170458577404,-0.5889873861899342,0.5311894614490508,28.973333333333333,v0
EPS_qb0of3__NETDEBT_EBITDA_qb0of3__C18_FCF_P_DYN_qmax8__v0,EPS_qb0of3__NETDEBT_EBITDA_qb0of3,C18_FCF_P_DYN_qmax8,0.4981880515272985,-0.5682389463285495,0.5189333333333334,23.003424657534246,v0
CROIC_qb2of3__ROE_qb0of3__C18_FCF_P_DYN_qmax8__v0,CROIC_qb2of3__ROE_qb0of3,C18_FCF_P_DYN_qmax8,0.497997754289611,-0.6467680921824073,0.5445146467547387,36.79109589041096,v0
CROIC_qb2of3__ROIC_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,CROIC_qb2of3__ROIC_qb0of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,0.4970313872328387,-0.6017346131326338,0.5384615384615384,26.633333333333333,v0
REVENUE_qb0of3__PS_qb0of3__C15_FCF_P_DYN_riseq1__v0,REVENUE_qb0of3__PS_qb0of3,C15_FCF_P_DYN_riseq1,0.49345244486436246,-0.5518494219175027,0.5542922114837976,46.64193548387097,v0
REVENUE_qb0of3__ACCRUAL_qb0of3__C12_EPS_DYN_yoy__v0,REVENUE_qb0of3__ACCRUAL_qb0of3,C12_EPS_DYN_yoy,0.4930205664723959,-0.4004991444882443,0.5107950651130911,85.45182724252491,v0
REVENUE_qb0of3__PS_qb0of3__None__v0,REVENUE_qb0of3__PS_qb0of3,None,0.4926633903879303,-0.5109285687264109,0.6351059230436662,93.84294871794872,v0
EPS_qb0of3__CROIC_qb2of3__C5_ROE_DYN_yoy__v0,EPS_qb0of3__CROIC_qb2of3,C5_ROE_DYN_yoy,0.49131320540183676,-0.5250232792967311,0.5556711758584808,45.50666666666667,v0
EPS_qb0of3__ROE_qb2of3__C8_EPS_DYN_riseq1__v0,EPS_qb0of3__ROE_qb2of3,C8_EPS_DYN_riseq1,0.4910504852464874,-0.5031611697930323,0.5133570792520036,30.498381877022652,v0
EPS_qb0of3__REV_G_qb2of3__C18_FCF_P_DYN_qmax8__v0,EPS_qb0of3__REV_G_qb2of3,C18_FCF_P_DYN_qmax8,0.4890297870306115,-0.6138835970375817,0.522615315718764,27.28965517241379,v0
EPS_qb0of3__ROE_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,EPS_qb0of3__ROE_qb2of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.48624605906728946,-0.455935703698087,0.5342706502636204,33.5,v0
REVENUE_qb0of3__PS_qb0of3__C3_ROE_DYN_qmax4__v0,REVENUE_qb0of3__PS_qb0of3,C3_ROE_DYN_qmax4,0.48603477549399976,-0.4550525370950691,0.5853018372703412,23.960264900662253,v0
REVENUE_qb0of3__EV_S_qb0of3__C9_EPS_DYN_riseq2__v0,REVENUE_qb0of3__EV_S_qb0of3,C9_EPS_DYN_riseq2,0.48581089756111373,-0.5519592925026868,0.5851063829787234,62.13636363636363,v0
EPS_qb0of3__ACCRUAL_qb0of3__C18_FCF_P_DYN_qmax8__v0,EPS_qb0of3__ACCRUAL_qb0of3,C18_FCF_P_DYN_qmax8,0.48539143381100236,-0.5384799043430912,0.5320526205888495,54.657534246575345,v0
ACCRUAL_qb0of3__FCF_OI_qb0of3__C11_EPS_DYN_qmax8__v0,ACCRUAL_qb0of3__FCF_OI_qb0of3,C11_EPS_DYN_qmax8,0.48521488836145976,-0.6476124094972076,0.512114537444934,11.663230240549828,v0
ACCRUAL_qb0of3__ROE_qb0of3__C18_FCF_P_DYN_qmax8__v0,ACCRUAL_qb0of3__ROE_qb0of3,C18_FCF_P_DYN_qmax8,0.48395109079375587,-0.6496613889675045,0.5313510019392372,52.43493150684932,v0
P_IC_qb0of3__ROE_qb0of3__C11_EPS_DYN_qmax8__v0,P_IC_qb0of3__ROE_qb0of3,C11_EPS_DYN_qmax8,0.48323917435147745,-0.8069446960362396,0.5937106918238994,10.544827586206896,v0
REVENUE_qb0of3__OCF_E_qb2of3__C16_FCF_P_DYN_riseq2__v0,REVENUE_qb0of3__OCF_E_qb2of3,C16_FCF_P_DYN_riseq2,0.4824023564201574,-0.37996751875469226,0.5421869726628417,74.71428571428571,v0
REVENUE_qb0of3__EV_S_qb0of3__C2_ROE_DYN_riseq2__v0,REVENUE_qb0of3__EV_S_qb0of3,C2_ROE_DYN_riseq2,0.4794556245340562,-0.5516288278490195,0.5784557907845579,57.76298701298701,v0
REVENUE_qb0of3__PS_qb0of3__C19_FCF_P_DYN_yoy__v0,REVENUE_qb0of3__PS_qb0of3,C19_FCF_P_DYN_yoy,0.4794252391098721,-0.5627388333150414,0.5824135393671818,46.17666666666667,v0
EPS_qb0of3__ROE_qb2of3__C12_EPS_DYN_yoy__v0,EPS_qb0of3__ROE_qb2of3,C12_EPS_DYN_yoy,0.4791227820717552,-0.41924447181921387,0.5225225225225225,33.63666666666666,v0
REVENUE_qb0of3__ACCRUAL_qb0of3__C18_FCF_P_DYN_qmax8__v0,REVENUE_qb0of3__ACCRUAL_qb0of3,C18_FCF_P_DYN_qmax8,0.47757877676034033,-0.4780221533212272,0.5154394299287411,39.71917808219178,v0
EPS_qb0of3__ROE_qb2of3__C9_EPS_DYN_riseq2__v0,EPS_qb0of3__ROE_qb2of3,C9_EPS_DYN_riseq2,0.4756015882902933,-0.5366233824684841,0.5148514851485149,31.725490196078432,v0
REVENUE_qb0of3__CROIC_qb2of3__C18_FCF_P_DYN_qmax8__v0,REVENUE_qb0of3__CROIC_qb2of3,C18_FCF_P_DYN_qmax8,0.47508516800710887,-0.49773221478950247,0.5452638937434463,32.06506849315068,v0
EV_EBITDA_qb0of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0,EV_EBITDA_qb0of3__EPS_qb0of3,C11_EPS_DYN_qmax8,0.47461384832643816,-0.5905848887222481,0.515986769570011,29.72852233676976,v0
EPS_qb0of3__CROIC_qb2of3__C12_EPS_DYN_yoy__v0,EPS_qb0of3__CROIC_qb2of3,C12_EPS_DYN_yoy,0.4745746318786441,-0.4997332512941366,0.5516633064516129,48.50333333333333,v0
REVENUE_qb0of3__PS_qb0of3__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v0,REVENUE_qb0of3__PS_qb0of3,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,0.4744932174732164,-0.5542709628028556,0.5813148788927336,46.196666666666665,v0
OCF_E_qb2of3__ROIC_qb0of3__C12_EPS_DYN_yoy__v0,OCF_E_qb2of3__ROIC_qb0of3,C12_EPS_DYN_yoy,0.47383972743189395,-0.5552364208754648,0.5100563153660499,44.89666666666667,v0
REVENUE_qb0of3__PS_qb0of3__C1_ROE_DYN_riseq1__v0,REVENUE_qb0of3__PS_qb0of3,C1_ROE_DYN_riseq1,0.47300254397480757,-0.4867286709162024,0.5754172989377845,46.487096774193546,v0
REVENUE_qb0of3__EPS_qb0of3__C18_FCF_P_DYN_qmax8__v0,REVENUE_qb0of3__EPS_qb0of3,C18_FCF_P_DYN_qmax8,0.47213755606788554,-0.5006953710299111,0.49244505494505497,38.35616438356164,v0
VOL_qb2of3__PB_qb0of3__C12_EPS_DYN_yoy__v0,VOL_qb2of3__PB_qb0of3,C12_EPS_DYN_yoy,0.4698837482836855,-0.5947175184268423,0.5602324485629024,99.15562913907284,v0
